,HepG2
RF,0.6304921779853878
MLR,0.49963861336063947
lasso,0.4314812185807142
PLS,0.42871940821142096
kNN,0.5156119663230561
LGBM,0.7259177407096794
XGB,0.7229929579864656
DT,0.5666220868993238
