,HepG2
RF,0.05766066189315739
MLR,0.11009714613326178
lasso,0.10506125702984061
PLS,0.1082128920090278
kNN,0.084658235784428
LGBM,0.058582512121770645
XGB,0.054598087875568066
DT,0.05878695126759553
