,RLU_N2a
0,0.4883359253499221
1,0.4778083502811341
2,0.29477210192606773
3,0.35614307931570754
4,0.38569206842923787
5,0.29357578657734174
6,0.33269529848067947
7,0.2972843641583921
8,0.4537624117717429
9,0.27993779160186616
10,0.43988515372652226
11,0.41883000358894595
12,0.30458188778562023
13,0.3200143557841846
14,0.3415480320612513
15,0.34752960880488093
16,0.3372412968058379
17,0.3691829166168201
18,0.4232563703792319
19,0.330781193922718
20,0.32300514415599946
21,0.2841248953224069
22,0.35698050005981574
23,0.33544682378274904
24,0.3731307572676158
25,0.3738485464768512
26,0.4013637994975475
27,0.37839454480200974
28,0.22622323244407225
29,0.3932288551262112
30,0.3599712884316305
31,0.3712166527096543
32,0.4383299437731786
33,0.4778083502811341
34,0.5002990788371815
35,0.42014595047254455
36,0.45101088646967336
37,0.5782988395741118
38,0.11018064361765759
39,0.11018064361765759
40,0.11018064361765759
41,0.11018064361765759
42,0.22395023328149297
43,0.382701280057423
44,0.3114008852733581
45,0.16963751644933603
46,0.36571360210551496
47,0.36499581289627936
48,0.39813374805598756
49,0.317860988156478
50,0.35614307931570754
51,0.2543366431391314
52,0.3691829166168201
53,0.3407106113171431
54,0.37767675559277414
55,0.3584160784782868
56,0.33269529848067947
57,0.3691829166168201
58,0.1984687163536308
59,0.3959803804282809
60,0.23495633448977152
61,0.24309127886110773
62,0.4475415719583682
63,0.4254097380069386
64,0.12633090082545753
65,0.48211508553654736
66,0.33365235075966027
67,0.317860988156478
68,0.11018064361765759
69,0.11018064361765759
70,0.11018064361765759
71,0.11018064361765759
72,0.11018064361765759
73,0.11018064361765759
74,0.11018064361765759
75,0.11018064361765759
76,0.11018064361765759
77,0.11018064361765759
78,0.11018064361765759
79,0.11018064361765759
80,0.0
81,0.11018064361765759
82,0.014116521114965891
83,0.13637994975475534
84,0.16963751644933603
85,0.21689197272401003
86,0.2306495992343581
87,0.13147505682497904
88,0.14559157793994496
89,0.3057782031343461
90,0.0
91,0.11018064361765759
92,0.10970211747816724
93,0.11018064361765759
94,0.22622323244407225
95,0.08302428520157915
96,0.14559157793994496
97,0.2369900705826055
98,0.2677353750448618
99,0.0
100,0.11018064361765759
101,0.11018064361765759
102,0.10970211747816724
103,0.11018064361765759
104,0.06699365952865169
105,0.22167723411891374
106,0.08302428520157915
107,0.189615982773059
108,0.2469194879770307
109,0.29477210192606773
110,0.058140925948079875
111,0.04857040315827252
112,0.23495633448977152
113,0.23495633448977152
114,0.09702117478167246
115,0.3490848187582246
116,0.3390357698289269
117,0.24309127886110773
118,0.3425050843402321
119,0.11018064361765759
120,0.11018064361765759
121,0.11018064361765759
122,0.11018064361765759
123,0.11018064361765759
124,0.11018064361765759
125,0.11018064361765759
126,0.47505682497906443
127,0.4023208517765282
128,0.36702954898911355
129,0.4331857877736571
130,0.3114008852733581
131,0.29357578657734174
132,0.14104557961478645
133,0.014116521114965891
134,0.06699365952865169
135,0.5431271683215695
136,0.4769709295370259
137,0.4151214260078957
138,0.4475415719583682
139,0.3642780236870439
140,0.3965785381026439
141,0.390955855963632
142,0.37516449336044977
143,0.37516449336044977
144,0.36774733819834904
145,0.22167723411891374
146,0.3057782031343461
147,0.3959803804282809
148,0.41081469075248234
149,0.34417992582844836
150,0.3953822227539179
151,0.34334250508434017
152,0.32599593252781434
153,0.3801890178250986
154,0.17657614547194642
155,0.2328029668620649
156,0.5883478885034095
157,0.4906089245125014
158,0.4775690872113888
159,0.43904773298241406
160,0.37707859791841125
161,0.4883359253499221
162,0.4701519320492882
163,0.4691948797703075
164,0.6613231247756909
165,0.5786577341787295
166,0.5349922239502333
167,0.47362124656059335
168,0.693264744586673
169,0.7548749850460581
170,0.8684053116401482
171,0.8227060653188178
172,0.9260677114487379
173,0.8018901782509869
174,0.8298839574111736
175,0.9584878573992104
176,0.9503529130278741
177,0.894604617777246
178,0.4371336284244526
179,0.2645053236033018
180,0.33269529848067947
181,0.33448977150376835
182,0.31475056824979064
183,0.3523148701997846
184,0.2785022131833951
185,0.4059097978227061
186,0.2306495992343581
187,0.21689197272401003
188,0.4007656418231845
189,0.4254097380069386
190,0.3738485464768512
191,0.3523148701997846
192,0.33544682378274904
193,0.35614307931570754
194,0.3490848187582246
195,0.2855604737408781
196,0.13637994975475534
197,0.16210072975236275
198,0.1832755114248116
199,0.19559755951668858
200,0.47218566814212215
201,0.38928101447541574
202,0.36499581289627936
203,0.38928101447541574
204,0.35387008015312826
205,0.42229931810025123
206,0.34417992582844836
207,0.32204809187701877
208,0.38748654145232675
209,0.23495633448977152
210,0.5849982055269769
211,0.434382103122383
212,0.5442038521354229
213,0.4537624117717429
214,0.6701758583562627
215,0.5668142122263429
216,0.43988515372652226
217,0.7935159708099053
218,0.6513937073812657
219,0.5998325158511784
220,0.8331140088527333
221,0.8217490130398373
222,0.6952984806795071
223,0.9320492881923674
224,0.808589544203852
225,0.9734417992582844
226,0.826175379830123
227,0.74434740997727
228,1.0
229,0.9757147984208636
230,0.8888623041033616
231,0.09702117478167246
232,0.13147505682497904
233,0.13147505682497904
234,0.15408541691589903
235,0.22622323244407225
236,0.13147505682497904
237,0.16963751644933603
238,0.2661801650915181
239,0.11018064361765759
240,0.058140925948079875
241,0.1731068309606412
242,0.2561311161622203
243,0.14989831319535826
244,0.08302428520157915
245,0.20122024165570043
246,0.11018064361765759
247,0.11018064361765759
248,0.0
249,0.15815288910156713
250,0.12633090082545753
251,0.09702117478167246
252,0.11556406268692423
253,0.08302428520157915
254,0.14989831319535826
255,0.12106711329106354
256,0.24500538341906922
257,0.33448977150376835
258,0.5363081708338318
259,0.3288670893647565
260,0.29094389281014477
261,0.382701280057423
262,0.2855604737408781
263,0.29094389281014477
264,0.5346333293456155
265,0.5436056944610599
266,0.5613111616222035
267,0.7353750448618256
268,0.6274674004067472
269,0.4023208517765282
270,0.3832994377317861
271,0.47362124656059335
272,0.4232563703792319
273,0.41883000358894595
274,0.3091278861107788
275,0.2785022131833951
276,0.3697810742911831
277,0.15815288910156713
278,0.18004545998325158
279,0.41918889819356375
280,0.3838975954061491
281,0.4023208517765282
282,0.4160784782868764
283,0.4049527455437253
284,0.4707500897236512
285,0.28962794592654617
286,0.3821031223830601
287,0.42959684172747925
288,0.21689197272401003
289,0.17657614547194642
290,0.34752960880488093
291,0.411771743031463
292,0.4554372532599593
293,0.38868285680105275
294,0.4348606292618734
295,0.41081469075248234
296,0.27993779160186616
297,0.37839454480200974
298,0.3614068668501016
299,0.2143797104916856
300,0.12633090082545753
301,0.42098337121665264
302,0.42014595047254455
303,0.4165570044263668
304,0.415599952147386
305,0.45136978107429115
306,0.4707500897236512
307,0.4674004067472185
308,0.654504127287953
309,0.5559277425529369
310,0.5446823782749132
311,0.7254456274674004
312,0.685608326354827
313,0.6214858236631176
314,0.994377317860988
315,0.7252063643976552
316,0.9922239502332812
317,0.9164971886589304
318,0.6088048809666228
319,0.7894484986242374
320,0.8380189017825097
321,0.25254217011604263
322,0.2694102165330782
323,0.06699365952865169
324,0.09702117478167246
325,0.32300514415599946
326,0.14989831319535826
327,0.34669218806077284
328,0.32503888024883354
329,0.038162459624356965
330,0.21186744825936119
331,0.1832755114248116
332,0.14559157793994496
333,0.11018064361765759
334,0.11018064361765759
335,0.384495753080512
336,0.3507596602464409
337,0.28137337002033735
338,0.11018064361765759
339,0.25948079913865296
340,0.11018064361765759
