,P_charged_centers,N_charged_centers,cLogP,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_N2a
59,0.0,1.0,9.3028,12.0,1.0,80.0,500.0,268.4333333,-4.47,0.3959803804282809
62,0.0,1.0,9.3028,12.0,200.0,20.0,100.0,296.5333333,-1.007333333,0.4475415719583682
68,0.0,1.0,9.3028,12.0,200.0,60.0,100.0,164.5333333,-4.233333333,0.11018064361765759
69,0.0,1.0,9.3028,4.0,200.0,80.0,100.0,415.6,-2.0,0.11018064361765759
70,0.0,1.0,9.3028,8.0,200.0,80.0,100.0,420.6,-2.613333333,0.11018064361765759
71,0.0,1.0,9.3028,12.0,200.0,80.0,100.0,725.6666667,-0.015666667,0.11018064361765759
73,0.0,1.0,9.3028,8.0,100.0,20.0,100.0,187.7333333,-1.543333333,0.11018064361765759
75,0.0,1.0,9.3028,4.0,100.0,40.0,100.0,118.2,-1.441,0.11018064361765759
79,0.0,1.0,9.3028,8.0,100.0,60.0,100.0,207.7333333,-5.52,0.11018064361765759
81,0.0,1.0,9.3028,4.0,100.0,80.0,100.0,379.2666667,-2.153333333,0.11018064361765759
82,0.0,1.0,9.3028,8.0,100.0,80.0,100.0,430.7333333,-1.356666667,0.014116521114965891
83,0.0,1.0,9.3028,12.0,100.0,80.0,100.0,255.0166667,0.867666667,0.13637994975475534
89,0.0,1.0,9.3028,12.0,50.0,40.0,100.0,203.3333333,-2.2,0.3057782031343461
91,0.0,1.0,9.3028,8.0,50.0,60.0,100.0,235.7333333,-2.013333333,0.11018064361765759
92,0.0,1.0,9.3028,12.0,50.0,60.0,100.0,183.1666667,-3.336666667,0.10970211747816724
94,0.0,1.0,9.3028,8.0,50.0,80.0,100.0,410.2,0.9383,0.22622323244407225
95,0.0,1.0,9.3028,12.0,50.0,80.0,100.0,363.8,0.4627,0.08302428520157915
97,0.0,1.0,9.3028,8.0,10.0,20.0,100.0,170.4666667,-1.013333333,0.2369900705826055
99,0.0,1.0,9.3028,4.0,10.0,40.0,100.0,153.8666667,-1.636666667,0.0
100,0.0,1.0,9.3028,8.0,10.0,40.0,100.0,202.0333333,-0.022666667,0.11018064361765759
101,0.0,1.0,9.3028,12.0,10.0,40.0,100.0,192.2666667,-3.43,0.11018064361765759
102,0.0,1.0,9.3028,4.0,10.0,60.0,100.0,176.8,-13.4,0.10970211747816724
103,0.0,1.0,9.3028,8.0,10.0,60.0,100.0,293.4666667,-1.985333333,0.11018064361765759
104,0.0,1.0,9.3028,12.0,10.0,60.0,100.0,281.8333333,-3.243333333,0.06699365952865169
105,0.0,1.0,9.3028,4.0,10.0,80.0,100.0,496.8666667,-1.304,0.22167723411891374
106,0.0,1.0,9.3028,8.0,10.0,80.0,100.0,526.7333333,-0.888,0.08302428520157915
107,0.0,1.0,9.3028,12.0,10.0,80.0,100.0,501.1333333,-0.417666667,0.189615982773059
108,0.0,1.0,9.3028,4.0,1.0,20.0,100.0,237.7333333,-6.72,0.2469194879770307
109,0.0,1.0,9.3028,8.0,1.0,20.0,100.0,154.0666667,-5.936666667,0.29477210192606773
110,0.0,1.0,9.3028,12.0,1.0,20.0,100.0,185.1,-3.736666667,0.058140925948079875
111,0.0,1.0,9.3028,4.0,1.0,40.0,100.0,196.1666667,-7.57,0.04857040315827252
112,0.0,1.0,9.3028,8.0,1.0,40.0,100.0,298.0333333,-4.593333333,0.23495633448977152
113,0.0,1.0,9.3028,12.0,1.0,40.0,100.0,189.2333333,-1.266666667,0.23495633448977152
114,0.0,1.0,9.3028,4.0,1.0,60.0,100.0,241.5,-16.4,0.09702117478167246
115,0.0,1.0,9.3028,8.0,1.0,60.0,100.0,249.8,-1.483333333,0.3490848187582246
116,0.0,1.0,9.3028,12.0,1.0,60.0,100.0,346.5,-0.622,0.3390357698289269
117,0.0,1.0,9.3028,4.0,1.0,80.0,100.0,364.1333333,-8.473333333,0.24309127886110773
118,0.0,1.0,9.3028,8.0,1.0,80.0,100.0,812.3666667,-5.833333333,0.3425050843402321
