P_charged_centers,N_charged_centers,cLogP,Hbond_A,Size,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL)
0,1,9.3028,10,440.1666667,4,0.199600798,20,0.497512438
0,1,9.3028,10,320.9666667,8,0.199600798,20,0.497512438
0,1,9.3028,10,205.6333333,12,0.199600798,20,0.497512438
0,1,9.3028,10,236.0666667,4,0.199600798,40,0.497512438
0,1,9.3028,10,188.6,8,0.199600798,40,0.497512438
0,1,9.3028,10,248.3,12,0.199600798,40,0.497512438
0,1,9.3028,10,221.0666667,4,0.199600798,60,0.497512438
0,1,9.3028,10,206.6333333,8,0.199600798,60,0.497512438
0,1,9.3028,10,239.3,12,0.199600798,60,0.497512438
0,1,9.3028,10,228.7,4,0.199600798,80,0.497512438
0,1,9.3028,10,195.4666667,8,0.199600798,80,0.497512438
0,1,9.3028,10,211.95,12,0.199600798,80,0.497512438
0,1,9.3028,10,395.5333333,4,0.199600798,20,0.99009901
0,1,9.3028,10,412.0666667,8,0.199600798,20,0.99009901
0,1,9.3028,10,288.7666667,12,0.199600798,20,0.99009901
0,1,9.3028,10,218.7666667,4,0.199600798,40,0.99009901
0,1,9.3028,10,221.7666667,8,0.199600798,40,0.99009901
0,1,9.3028,10,491.3333333,12,0.199600798,40,0.99009901
0,1,9.3028,10,227.4,4,0.199600798,60,0.99009901
0,1,9.3028,10,217.1,8,0.199600798,60,0.99009901
0,1,9.3028,10,241.5666667,12,0.199600798,60,0.99009901
0,1,9.3028,10,188.8333333,4,0.199600798,80,0.99009901
0,1,9.3028,10,184.6,8,0.199600798,80,0.99009901
0,1,9.3028,10,285.2666667,12,0.199600798,80,0.99009901
0,1,9.3028,10,431.4,4,0.199600798,20,1.960784314
0,1,9.3028,10,265.1333333,8,0.199600798,20,1.960784314
0,1,9.3028,10,1283.4,12,0.199600798,20,1.960784314
0,1,9.3028,10,281.9333333,4,0.199600798,40,1.960784314
0,1,9.3028,10,247.4666667,8,0.199600798,40,1.960784314
0,1,9.3028,10,230.4,12,0.199600798,40,1.960784314
0,1,9.3028,10,215.5666667,4,0.199600798,60,1.960784314
0,1,9.3028,10,221.9666667,8,0.199600798,60,1.960784314
0,1,9.3028,10,234.9333333,12,0.199600798,60,1.960784314
0,1,9.3028,10,172.3666667,4,0.199600798,80,1.960784314
0,1,9.3028,10,163.9833333,8,0.199600798,80,1.960784314
0,1,9.3028,10,247.1,12,0.199600798,80,1.960784314
0,1,9.3028,10,303.8,4,0.199600798,20,9.090909091
0,1,9.3028,10,462.6666667,8,0.199600798,20,9.090909091
0,1,9.3028,10,947.7666667,12,0.199600798,20,9.090909091
0,1,9.3028,10,242.8,4,0.199600798,40,9.090909091
0,1,9.3028,10,182.1,8,0.199600798,40,9.090909091
0,1,9.3028,10,252.6333333,12,0.199600798,40,9.090909091
0,1,9.3028,10,242.8,4,0.199600798,60,9.090909091
0,1,9.3028,10,202.9666667,8,0.199600798,60,9.090909091
0,1,9.3028,10,142.2666667,12,0.199600798,60,9.090909091
0,1,9.3028,10,154.0833333,4,0.199600798,80,9.090909091
0,1,9.3028,10,172.25,8,0.199600798,80,9.090909091
0,1,9.3028,10,175.9333333,12,0.199600798,80,9.090909091
0,1,9.3028,10,1859.333333,4,0.199600798,20,50.0
0,1,9.3028,10,487.5,8,0.199600798,20,50.0
0,1,9.3028,10,1049.966667,12,0.199600798,20,50.0
0,1,9.3028,10,370.2333333,4,0.199600798,40,50.0
0,1,9.3028,10,1164.833333,8,0.199600798,40,50.0
0,1,9.3028,10,1153.333333,12,0.199600798,40,50.0
0,1,9.3028,10,1720.666667,4,0.199600798,60,50.0
0,1,9.3028,10,214.1666667,8,0.199600798,60,50.0
0,1,9.3028,10,1034.266667,12,0.199600798,60,50.0
0,1,9.3028,10,476.1166667,4,0.199600798,80,50.0
0,1,9.3028,10,418.8333333,8,0.199600798,80,50.0
0,1,9.3028,10,268.4333333,12,0.199600798,80,50.0
0,1,9.3028,10,514.5666667,4,0.99009901,20,0.497512438
0,1,9.3028,10,209.0,8,0.99009901,20,0.497512438
0,1,9.3028,10,296.5333333,12,0.99009901,20,0.497512438
0,1,9.3028,10,75.20666667,4,0.99009901,40,0.497512438
0,1,9.3028,10,210.5666667,8,0.99009901,40,0.497512438
0,1,9.3028,10,184.1666667,12,0.99009901,40,0.497512438
0,1,9.3028,10,133.6666667,4,0.99009901,60,0.497512438
0,1,9.3028,10,145.6666667,8,0.99009901,60,0.497512438
0,1,9.3028,10,164.5333333,12,0.99009901,60,0.497512438
0,1,9.3028,10,415.6,4,0.99009901,80,0.497512438
