LGBM,XGB,MLP,RF,DT,kNN,MLR,PLS,lasso
0.2145232011633409,0.19033132856242452,0.3493430703923335,0.27166398742635234,0.13304352969008754,0.27891862732371375,0.28030023056451414,0.2748181368094089,0.28881986308578833
0.11298419863344131,0.1978842738759357,0.1827120425974555,0.20021379575532056,0.11574402649633311,0.1684543974633222,0.4084076149495674,0.4058297594225692,0.4202118996317406
0.15123409696803658,0.12794113895248393,0.03707691485500553,0.0409319161784118,0.11031760113555708,0.010262284184378578,0.12710543232987948,0.12792752924659756,0.15820023165751584
0.00033452211311163493,0.014359074864851218,0.00028913694823884395,0.004676882027462803,0.13824816654837946,0.07939152202830779,0.03187259815468485,0.034000640041586094,0.03767798170800052
0.11679901463399689,0.1611156677675214,0.2923512024162752,0.1057425913038933,0.023842264017033266,0.17708550497695918,0.03411532921995697,0.03384216566838183,0.012344384618811266
0.0427238710539124,0.011241157483005526,0.07968828443423054,0.0697524584199366,0.038236337828246925,0.10801671840332971,0.26345318647900146,0.2647954238964019,0.2869749684612312
0.037975032686436705,0.06141617115801146,0.14834540527697104,0.039776024592472925,0.03764490182162289,0.0025671538346586087,0.08193454386141485,0.07604065270166072,0.06537409472969374
0.036271677954160975,0.031600011926411486,0.004790327319708854,0.05673056974297919,0.08779867518334517,0.06219456527711276,0.01780898639682138,0.013628473641557282,0.048136115769018106
0.1417836886764463,0.11037763227715902,0.023162828931256874,0.17763755305321816,0.15945114738585286,0.11886801111091638,0.24579898943173362,0.24764484006278475,0.269849856428203
0.2895269352736227,0.20714242072118944,0.3136766434515625,0.3200956766555981,0.5712976105985332,0.4926438865724793,0.5274433451062921,0.5412092633895669,0.5278922459568403
0.078774903670488,0.10577247856016947,0.12254581124094988,0.07403168617605371,0.17716465578424417,0.1585720549800233,0.03618010210801881,0.038440385482223505,0.09710398550992705
0.07681437744842451,0.010214503116858065,0.19345019538819108,0.06027318640373103,0.11811568488289564,0.03896371495971174,0.05974788776031337,0.0596558371654598,0.07705967141270981
0.3133253564765329,0.26501481358763,0.16132051357971475,0.3391163613378275,0.3657735982966642,0.4042053250434062,0.5160031069412023,0.5259902118308245,0.5116374836326697
