group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-2.2215,0.4875,-5.5394,1.0964,False
DT,MLP,-0.6313,0.9997,-3.9492,2.6865,False
DT,MLR,3.7948,0.0117,0.4769,7.1126,True
DT,PLS,3.8085,0.0112,0.4907,7.1264,True
DT,RF,-0.4633,1.0,-3.7812,2.8546,False
DT,XGB,-1.7291,0.7946,-5.0469,1.5888,False
DT,kNN,2.6158,0.2583,-0.7021,5.9337,False
DT,lasso,4.5096,0.0009,1.1918,7.8275,True
LGBM,MLP,1.5902,0.8609,-1.7277,4.908,False
LGBM,MLR,6.0163,0.0,2.6984,9.3341,True
LGBM,PLS,6.03,0.0,2.7122,9.3479,True
LGBM,RF,1.7582,0.779,-1.5597,5.0761,False
LGBM,XGB,0.4924,0.9999,-2.8254,3.8103,False
LGBM,kNN,4.8373,0.0002,1.5194,8.1552,True
LGBM,lasso,6.7311,0.0,3.4133,10.049,True
MLP,MLR,4.4261,0.0012,1.1082,7.744,True
MLP,PLS,4.4399,0.0011,1.122,7.7577,True
MLP,RF,0.168,1.0,-3.1498,3.4859,False
MLP,XGB,-1.0977,0.9832,-4.4156,2.2201,False
MLP,kNN,3.2471,0.0606,-0.0707,6.565,False
MLP,lasso,5.141,0.0001,1.8231,8.4588,True
MLR,PLS,0.0138,1.0,-3.3041,3.3316,False
MLR,RF,-4.2581,0.0023,-7.5759,-0.9402,True
MLR,XGB,-5.5238,0.0,-8.8417,-2.206,True
MLR,kNN,-1.179,0.9737,-4.4968,2.1389,False
MLR,lasso,0.7148,0.9991,-2.603,4.0327,False
PLS,RF,-4.2718,0.0022,-7.5897,-0.954,True
PLS,XGB,-5.5376,0.0,-8.8555,-2.2198,True
PLS,kNN,-1.1928,0.9718,-4.5106,2.1251,False
PLS,lasso,0.7011,0.9992,-2.6168,4.0189,False
RF,XGB,-1.2658,0.9597,-4.5836,2.0521,False
RF,kNN,3.0791,0.0937,-0.2388,6.397,False
RF,lasso,4.9729,0.0001,1.6551,8.2908,True
XGB,kNN,4.3449,0.0016,1.027,7.6627,True
XGB,lasso,6.2387,0.0,2.9208,9.5566,True
kNN,lasso,1.8938,0.7001,-1.424,5.2117,False
