,P_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio
115,0,9.3028,3,8,1,60,100
116,0,9.3028,3,12,1,60,100
117,0,9.3028,3,4,1,80,100
118,0,9.3028,3,8,1,80,100
119,0,9.3028,3,12,1,80,100
120,0,9.3028,3,4,200,20,10
121,0,9.3028,3,8,200,20,10
122,0,9.3028,3,12,200,20,10
123,0,9.3028,3,4,200,40,10
124,0,9.3028,3,8,200,40,10
125,0,9.3028,3,12,200,40,10
126,0,9.3028,3,4,200,60,10
127,0,9.3028,3,8,200,60,10
128,0,9.3028,3,12,200,60,10
129,0,9.3028,3,4,200,80,10
130,0,9.3028,3,8,200,80,10
131,0,9.3028,3,12,200,80,10
132,0,9.3028,3,4,100,20,10
133,0,9.3028,3,8,100,20,10
134,0,9.3028,3,12,100,20,10
135,0,9.3028,3,4,100,40,10
136,0,9.3028,3,8,100,40,10
137,0,9.3028,3,12,100,40,10
138,0,9.3028,3,4,100,60,10
139,0,9.3028,3,8,100,60,10
140,0,9.3028,3,12,100,60,10
141,0,9.3028,3,4,100,80,10
142,0,9.3028,3,8,100,80,10
143,0,9.3028,3,12,100,80,10
144,0,9.3028,3,4,50,20,10
145,0,9.3028,3,8,50,20,10
146,0,9.3028,3,12,50,20,10
147,0,9.3028,3,4,50,40,10
148,0,9.3028,3,8,50,40,10
149,0,9.3028,3,12,50,40,10
150,0,9.3028,3,4,50,60,10
151,0,9.3028,3,8,50,60,10
152,0,9.3028,3,12,50,60,10
153,0,9.3028,3,4,50,80,10
154,0,9.3028,3,8,50,80,10
155,0,9.3028,3,12,50,80,10
156,0,9.3028,3,4,10,20,10
157,0,9.3028,3,8,10,20,10
158,0,9.3028,3,12,10,20,10
159,0,9.3028,3,4,10,40,10
160,0,9.3028,3,8,10,40,10
161,0,9.3028,3,12,10,40,10
162,0,9.3028,3,4,10,60,10
163,0,9.3028,3,8,10,60,10
164,0,9.3028,3,12,10,60,10
165,0,9.3028,3,4,10,80,10
166,0,9.3028,3,8,10,80,10
167,0,9.3028,3,12,10,80,10
