group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0188,0.1627,-0.041,0.0033,False
DT,MLR,0.0337,0.0001,0.0116,0.0558,True
DT,PLS,0.0338,0.0001,0.0117,0.056,True
DT,RF,-0.0202,0.1042,-0.0423,0.002,False
DT,XGB,-0.0198,0.1188,-0.0419,0.0023,False
DT,kNN,0.0045,0.9987,-0.0177,0.0266,False
DT,lasso,0.0361,0.0,0.014,0.0582,True
LGBM,MLR,0.0525,0.0,0.0304,0.0747,True
LGBM,PLS,0.0527,0.0,0.0305,0.0748,True
LGBM,RF,-0.0013,1.0,-0.0235,0.0208,False
LGBM,XGB,-0.001,1.0,-0.0231,0.0212,False
LGBM,kNN,0.0233,0.0307,0.0012,0.0454,True
LGBM,lasso,0.0549,0.0,0.0328,0.0771,True
MLR,PLS,0.0001,1.0,-0.022,0.0223,False
MLR,RF,-0.0539,0.0,-0.076,-0.0317,True
MLR,XGB,-0.0535,0.0,-0.0756,-0.0314,True
MLR,kNN,-0.0292,0.0016,-0.0514,-0.0071,True
MLR,lasso,0.0024,1.0,-0.0197,0.0245,False
PLS,RF,-0.054,0.0,-0.0761,-0.0319,True
PLS,XGB,-0.0536,0.0,-0.0758,-0.0315,True
PLS,kNN,-0.0294,0.0015,-0.0515,-0.0072,True
PLS,lasso,0.0023,1.0,-0.0199,0.0244,False
RF,XGB,0.0004,1.0,-0.0218,0.0225,False
RF,kNN,0.0246,0.0169,0.0025,0.0468,True
RF,lasso,0.0563,0.0,0.0341,0.0784,True
XGB,kNN,0.0243,0.0201,0.0021,0.0464,True
XGB,lasso,0.0559,0.0,0.0338,0.078,True
kNN,lasso,0.0316,0.0004,0.0095,0.0538,True
