,RF,LGBM,XGB,DT,kNN,lasso,PLS,MLR
669,0.01581416965724214,0.030654928796589404,0.025407571191930933,0.0537912535325957,0.2627676390285961,0.16109903548782817,0.12044715040895182,0.12171702835374515
670,0.014234075828218035,0.01826893252339276,0.2913337153236591,0.20832221378276844,0.0006753843943095306,0.1048869111140659,0.12120069111337678,0.12160249901366998
671,0.09711381725094068,0.053885871845331015,0.18906716182496053,0.3133751656527918,0.021066245150165253,0.04581052217140419,0.1396154894153541,0.14092820122628505
672,0.2248035910610377,0.2927018095609634,0.039454846644918884,0.05736775718094872,0.31504526512429953,0.25979971639956473,0.1738406191705426,0.17397112806982265
673,0.04080370738964041,0.010961616451971523,0.1907504737925334,0.4520405230636586,0.0275758011208507,0.10718048856206891,0.22276877645762833,0.22302772234188262
674,0.23125440826576954,0.12093952811332076,0.19065007707873605,0.10163098146285376,0.2659864923121138,0.21928525676137478,0.3229019173708789,0.3231572400905368
675,0.052530610947346484,0.0028154258378000063,0.1638320942971021,0.3737400693859956,0.22738899267136087,0.14702362336398117,0.23756288968139883,0.23696700704093338
676,0.293406863718431,0.30158353965328477,0.06664545711369185,0.15882823886847441,0.2461416870239978,0.27765654589095135,0.1577766995200678,0.15582893165498346
677,0.1070200017611238,0.00959318476147919,0.20661111028908086,0.24404163159731496,0.16835752263256215,0.1246536107912648,0.2122036309212234,0.21149670389598052
678,0.19371572710023374,0.18156063924578483,0.24498199713368884,0.1940344466569498,0.19833309383532127,0.19729553015281437,0.10880192152184431,0.10871186126951288
679,0.038532516821371016,0.00182616235694541,0.03405205437353864,0.1528544741650073,0.3718925132921398,0.3568260661936474,0.11405385807227025,0.11445973661279585
680,0.10709695542179604,0.09953070805839381,0.1653508301446931,0.2067506506362664,0.015634430234229058,0.11123195828784416,0.15373899102046784,0.15548129409182926
681,0.15623979324301282,0.17330844388802247,0.16920081138148324,0.21321709696476188,0.27584423049288687,0.19300553029328654,0.14663227693629138,0.14754958670624746
