group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.0252,0.0,-0.0405,-0.0099,True
DT,MLR,0.026,0.0,0.0107,0.0413,True
DT,PLS,0.0259,0.0,0.0106,0.0412,True
DT,RF,-0.0212,0.0007,-0.0365,-0.0059,True
DT,XGB,-0.0267,0.0,-0.042,-0.0114,True
DT,kNN,0.0138,0.1105,-0.0015,0.0291,False
DT,lasso,0.0303,0.0,0.015,0.0456,True
LGBM,MLR,0.0512,0.0,0.0358,0.0665,True
LGBM,PLS,0.0511,0.0,0.0358,0.0664,True
LGBM,RF,0.004,0.994,-0.0113,0.0193,False
LGBM,XGB,-0.0015,1.0,-0.0168,0.0138,False
LGBM,kNN,0.039,0.0,0.0237,0.0543,True
LGBM,lasso,0.0555,0.0,0.0402,0.0708,True
MLR,PLS,-0.0001,1.0,-0.0154,0.0152,False
MLR,RF,-0.0472,0.0,-0.0625,-0.0319,True
MLR,XGB,-0.0527,0.0,-0.068,-0.0374,True
MLR,kNN,-0.0121,0.2383,-0.0274,0.0032,False
MLR,lasso,0.0044,0.9892,-0.0109,0.0197,False
PLS,RF,-0.0471,0.0,-0.0624,-0.0318,True
PLS,XGB,-0.0526,0.0,-0.0679,-0.0373,True
PLS,kNN,-0.0121,0.2474,-0.0274,0.0033,False
PLS,lasso,0.0044,0.9877,-0.0109,0.0198,False
RF,XGB,-0.0055,0.9606,-0.0208,0.0098,False
RF,kNN,0.0351,0.0,0.0197,0.0504,True
RF,lasso,0.0516,0.0,0.0362,0.0669,True
XGB,kNN,0.0405,0.0,0.0252,0.0558,True
XGB,lasso,0.057,0.0,0.0417,0.0723,True
kNN,lasso,0.0165,0.0241,0.0012,0.0318,True
