,Iter,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Formulation_Index,Experimental_Transfection,Predicted_Transfection
0,1,0.06263735125493818,"SignificanceResult(statistic=0.45166791507480153, pvalue=4.4521638972907336e-10)","PearsonRResult(statistic=0.6406301421951507, pvalue=2.2745155322115576e-21)","{'weights': 'distance', 'p': 1, 'n_neighbors': 2, 'metric': 'minkowski', 'leaf_size': 30, 'algorithm': 'auto'}","[   2    7   21   37   42   45   69   71   84   96  105  109  116  128
  137  140  151  167  175  179  189  196  198  200  201  214  225  234
  236  237  239  240  245  252  254  256  257  258  259  260  269  287
  291  292  300  307  309  311  321  331  334  336  342  352  356  364
  370  378  379  388  389  390  393  401  406  426  436  449  454  456
  484  488  491  504  527  528  532  540  549  559  563  571  574  575
  579  583  584  585  602  610  621  629  633  638  643  648  657  669
  671  684  686  687  692  697  714  717  718  719  722  723  728  736
  743  745  750  754  761  762  763  765  766  768  770  772  773  782
  786  802  803  804  809  817  819  828  835  837  846  847  850  851
  853  857  862  863  880  882  885  887  899  905  906  909  917  922
  928  948  949  952  962  966  970  983  985  991  992  993 1000 1005
 1017 1030 1040 1044 1078]","[[0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.07319003]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.03402347]
 [0.        ]
 [0.62574179]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.13517078]
 [0.        ]
 [0.        ]
 [0.26770407]
 [0.35922458]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.19781089]
 [0.35790584]
 [0.36634577]
 [0.8098378 ]
 [0.47421865]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.02347356]
 [0.        ]
 [0.        ]
 [0.24726362]
 [0.17011737]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.20071212]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.20770144]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.32375049]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.55110115]
 [0.53197943]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.70328366]
 [0.6095213 ]
 [0.85150996]
 [0.06936569]
 [0.37953317]
 [0.46050376]
 [0.        ]
 [0.15481999]
 [0.7440327 ]
 [0.23684558]
 [0.60556508]
 [0.67598576]
 [0.82434393]
 [0.60437821]
 [0.        ]
 [0.        ]
 [0.50705526]
 [0.65844653]]","[0.         0.07504735 0.         0.         0.         0.13359686
 0.         0.         0.         0.         0.         0.
 0.11497333 0.         0.         0.         0.         0.
 0.         0.         0.06216935 0.         0.         0.
 0.         0.         0.         0.02131663 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.19925325
 0.         0.         0.60886631 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.17665086
 0.         0.         0.1758766  0.33647265 0.33513663 0.
 0.         0.         0.         0.01570695 0.         0.
 0.         0.         0.43540175 0.42512612 0.16201658 0.65793803
 0.07012101 0.         0.         0.         0.         0.
 0.         0.         0.13357385 0.         0.         0.
 0.         0.         0.         0.         0.12477037 0.08019489
 0.28601864 0.         0.         0.         0.         0.
 0.         0.         0.         0.45090175 0.03747233 0.
 0.         0.         0.         0.         0.         0.
 0.03888167 0.         0.08185963 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.01146281 0.         0.         0.         0.         0.40734336
 0.29980249 0.47802861 0.         0.33178286 0.56438439 0.28864022
 0.18914061 0.         0.         0.         0.36994228 0.74644511
 0.63251166 0.28154838 0.09397657 0.         0.        ]"
1,2,0.0716706943980422,"SignificanceResult(statistic=0.46013366487510216, pvalue=1.9013857620606168e-10)","PearsonRResult(statistic=0.6053699883644177, pvalue=1.1206692715537616e-18)","{'weights': 'distance', 'p': 1, 'n_neighbors': 2, 'metric': 'minkowski', 'leaf_size': 30, 'algorithm': 'auto'}","[   8   16   29   30   31   33   41   44   46   48   58   74   95  101
  106  110  113  117  119  121  126  130  136  142  143  147  149  152
  160  166  173  182  190  212  213  218  221  223  229  232  233  235
  238  243  247  261  262  268  279  286  289  293  298  319  323  348
  353  365  366  367  369  371  374  381  387  394  395  398  400  402
  404  409  413  417  422  423  430  437  441  462  463  467  479  490
  497  500  502  512  517  539  543  545  550  551  556  560  562  572
  576  577  581  592  598  604  615  618  622  630  640  646  647  653
  664  667  685  694  696  698  710  715  721  732  737  738  741  744
  747  751  760  774  776  779  780  785  787  788  789  791  793  797
  799  800  812  822  826  841  854  855  856  859  860  861  864  865
  866  871  872  884  895  898  900  903  912  916  945  957 1013 1014
 1032 1041 1058 1076 1079]","[[0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.04839773]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.25504418]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.02347356]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.3783463 ]
 [0.31320058]
 [0.71225109]
 [0.41316102]
 [0.25121983]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.5563761 ]
 [0.63615983]
 [0.60543321]
 [0.75300013]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.87274166]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.07701437]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.16088619]
 [0.60516946]
 [0.        ]
 [0.74271397]
 [0.5695635 ]
 [0.63655545]
 [0.55228801]
 [0.37030199]
 [0.19636028]
 [0.        ]
 [0.73968087]
 [0.66609521]]","[0.         0.         0.         0.         0.05650317 0.06052358
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.24839651
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02474343 0.         0.
 0.         0.         0.         0.         0.4282931  0.4856771
 0.         0.03082605 0.         0.         0.         0.
 0.01087595 0.08958847 0.         0.         0.         0.
 0.         0.18803506 0.         0.         0.         0.
 0.33586627 0.         0.         0.22547284 0.05477896 0.
 0.24793946 0.17337351 0.90860313 0.72317926 0.44474312 0.51273064
 0.32321478 0.53971945 0.         0.         0.         0.
 0.         0.         0.33711291 0.61402817 0.61325385 0.
 0.         0.         0.26956314 0.18180554 0.03164959 0.43923662
 0.10486107 0.         0.06605202 0.         0.         0.
 0.         0.09477148 0.04455585 0.06797927 0.         0.35794016
 0.         0.         0.         0.         0.         0.
 0.         0.20017234 0.10983525 0.50392023 0.         0.
 0.         0.         0.         0.         0.04606804 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.1686957
 0.         0.         0.         0.29372902 0.29830272 0.
 0.         0.         0.         0.2720325  0.         0.15638447
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.05160149 0.         0.         0.         0.         0.
 0.07649566 0.         0.29674632 0.5548522  0.62831626 0.4203221
 0.         0.         0.19739372 0.60921168 0.14019625]"
2,3,0.08862756725435472,"SignificanceResult(statistic=0.42026670019473705, pvalue=8.588421776287688e-09)","PearsonRResult(statistic=0.5442121510715422, pvalue=1.0044375126043568e-14)","{'weights': 'distance', 'p': 1, 'n_neighbors': 2, 'metric': 'minkowski', 'leaf_size': 30, 'algorithm': 'auto'}","[   4   13   14   19   35   36   39   40   51   80   82  100  102  111
  122  125  131  144  145  154  155  156  162  165  170  172  187  188
  191  194  197  199  204  207  215  216  222  224  226  228  241  248
  264  276  283  284  295  299  304  310  312  320  324  332  340  345
  347  358  373  376  391  403  416  427  428  435  438  443  446  472
  496  508  511  514  515  525  529  531  537  542  546  547  565  569
  573  578  582  586  591  593  597  601  608  611  619  620  623  627
  635  639  654  656  666  672  677  679  695  704  707  708  712  716
  720  726  727  729  730  731  735  739  749  752  755  756  764  767
  777  790  796  807  814  816  820  825  829  831  839  848  875  876
  881  883  901  904  921  930  931  932  934  937  940  943  944  954
  955  958  959  967  968  979  982  984  987  990  997 1001 1004 1007
 1016 1018 1019 1071 1073]","[[0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.10338916]
 [0.        ]
 [0.27034155]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.45404194]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.11209284]
 [0.51918766]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.94289859]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.65488593]
 [0.35605961]
 [0.05723328]
 [0.85203745]
 [0.        ]
 [0.        ]
 [0.14427008]
 [0.        ]
 [0.        ]
 [0.17723856]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.04378214]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.05288145]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.76552816]
 [0.37069761]
 [0.03903468]
 [0.05288145]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.28089147]
 [0.55954108]
 [0.80205723]
 [0.72003165]
 [0.70539364]
 [0.18554662]
 [0.24528551]
 [0.        ]
 [0.30436503]
 [0.52314387]
 [0.29632072]
 [0.48173546]
 [0.        ]
 [0.27442965]
 [0.75550574]
 [0.76974812]
 [0.57417908]
 [0.70855862]
 [0.76394567]
 [0.        ]
 [0.27693525]]","[0.         0.         0.         0.         0.01148911 0.
 0.45353715 0.         0.4018025  0.         0.         0.
 0.         0.02372991 0.02356903 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.0468205  0.         0.         0.         0.0636104
 0.         0.         0.         0.         0.24618318 0.
 0.02041427 0.13624487 0.         0.         0.02548115 0.
 0.         0.         0.         0.10291138 0.5389134  0.08566097
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.4091472  0.
 0.         0.55992406 0.56606351 0.         0.         0.
 0.         0.         0.07447801 0.         0.         0.
 0.         0.         0.12612032 0.         0.05050485 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.17240386 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.29081497 0.
 0.         0.         0.         0.         0.         0.
 0.19564496 0.19657373 0.         0.03542316 0.0314046  0.
 0.         0.         0.         0.         0.         0.
 0.         0.03161989 0.01265784 0.01091686 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.24125553 0.22812788 0.         0.
 0.         0.03189417 0.         0.         0.         0.
 0.40742109 0.         0.         0.         0.         0.19596013
 0.46099182 0.39941659 0.51634999 0.65570323 0.99395451 0.
 0.47170004 0.         0.35982308 0.21827848 0.13021744 0.11493612
 0.11093805 0.         0.62632775 0.49999419 0.76875137 0.46577033
 0.67116427 0.67413965 0.51754305 0.         0.52260608]"
3,4,0.09549183202096415,"SignificanceResult(statistic=0.6636296388144496, pvalue=2.5293331099600687e-23)","PearsonRResult(statistic=0.6454040962049372, pvalue=9.227081937597323e-22)","{'weights': 'distance', 'p': 1, 'n_neighbors': 2, 'metric': 'minkowski', 'leaf_size': 30, 'algorithm': 'auto'}","[   1    3    6   11   23   24   25   32   43   47   63   72   93   98
  104  107  129  148  150  153  163  164  168  184  195  203  208  209
  211  220  227  231  244  250  251  253  263  270  271  273  274  280
  288  290  296  297  328  335  346  355  359  361  362  368  375  382
  383  385  392  397  405  407  410  412  415  418  424  431  432  434
  452  453  455  461  468  474  477  480  492  509  513  516  521  526
  533  555  566  567  568  570  588  589  595  606  609  612  613  617
  624  631  632  642  644  655  659  660  668  680  681  688  689  700
  701  702  705  711  713  725  746  753  769  771  784  795  811  813
  827  832  834  838  840  849  852  858  869  873  874  886  888  894
  896  897  911  918  920  923  933  935  936  941  946  947  953  960
  964  969  972  989  995  996 1002 1003 1006 1008 1009 1011 1015 1060
 1069 1072 1074 1077 1080]","[[0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.18871159]
 [0.        ]
 [0.22181195]
 [0.4775155 ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.5569036 ]
 [0.34405908]
 [0.61941184]
 [0.98272452]
 [1.        ]
 [0.85678491]
 [0.        ]
 [0.        ]
 [0.22550442]
 [0.        ]
 [0.        ]
 [0.04378214]
 [0.        ]
 [0.37386259]
 [0.56679414]
 [0.45404194]
 [0.51800079]
 [0.49149413]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.14651193]
 [0.        ]
 [0.24831861]
 [0.86285111]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.04378214]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.21429513]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.06936569]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.10338916]
 [0.41118291]
 [0.4061717 ]
 [0.02347356]
 [0.2984307 ]
 [0.08756429]
 [0.59514704]
 [0.05723328]
 [0.        ]
 [0.32203613]
 [0.67084267]
 [0.6089938 ]
 [0.63695107]
 [0.58749835]
 [0.62099433]
 [0.        ]
 [0.64064354]
 [0.06145325]
 [0.44837136]
 [0.87893973]
 [0.66794145]
 [0.45232757]
 [0.75695635]
 [0.37465383]
 [0.74548332]
 [0.        ]
 [0.04378214]
 [0.23684558]
 [0.24924172]
 [0.55307926]
 [0.56943162]]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.10987695 0.         0.         0.         0.18829825 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.03535773 0.03310976 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.01390744 0.02801972 0.         0.         0.
 0.05921043 0.03751876 0.         0.08247768 0.         0.03494942
 0.         0.         0.         0.         0.02583014 0.30212596
 0.38540316 0.45748564 0.         0.02467985 0.51802238 0.35870367
 0.         0.20759356 0.49977115 0.06261583 0.33909119 0.2917518
 0.01817589 0.1839621  0.66886495 0.02121103 0.75408941 0.24154344
 0.         0.         0.         0.         0.         0.36992616
 0.33857333 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.02115077 0.09659888 0.
 0.         0.         0.14075519 0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.16375518 0.         0.         0.         0.         0.
 0.         0.         0.         0.13740586 0.         0.
 0.         0.         0.         0.         0.         0.
 0.03949145 0.07849916 0.0188623  0.         0.58400523 0.47464004
 0.61556954 0.72778158 0.02213016 0.         0.         0.30520121
 0.         0.71955389 0.45635964 0.6175856  0.17918703 0.35238745
 0.50861948 0.56118138 0.38571818 0.66355784 0.65902698 0.7968417
 0.66775392 0.72289369 0.20622695 0.52013942 0.58459746 0.38297074
 0.         0.15708348 0.1469665  0.70689331 0.54340726]"
4,5,0.07025081176268107,"SignificanceResult(statistic=0.49181327269630803, pvalue=7.31816568551025e-12)","PearsonRResult(statistic=0.6738308783518545, pvalue=4.098890172145468e-24)","{'weights': 'distance', 'p': 1, 'n_neighbors': 2, 'metric': 'minkowski', 'leaf_size': 30, 'algorithm': 'auto'}","[   5    9   17   20   59   60   70   76   83   90   92  103  108  112
  114  115  118  120  124  132  133  138  141  177  178  180  185  192
  193  202  217  246  249  265  267  272  275  282  285  305  308  316
  322  327  343  344  357  360  377  380  384  411  419  421  429  439
  440  442  444  448  451  464  465  466  470  475  476  478  482  485
  489  501  503  520  524  530  538  541  544  548  552  553  554  561
  564  580  587  594  596  599  600  603  605  607  616  628  634  636
  641  645  658  670  673  674  676  678  682  683  690  691  693  703
  706  724  733  740  742  748  757  758  759  775  778  781  792  798
  801  805  806  808  810  815  818  821  823  824  830  833  836  843
  844  845  868  870  891  892  893  907  908  910  919  924  929  938
  942  956  971  975  977  980  981  988  994 1010 1012 1020 1022 1027
 1029 1048 1070 1075]","[[0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.07701437]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.05723328]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.10642226]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.34696031]
 [0.53580377]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.27535276]
 [0.        ]
 [0.        ]
 [0.71686668]
 [0.6712383 ]
 [0.44072267]
 [0.80100224]
 [0.89291837]
 [0.66991956]
 [0.90887512]
 [0.06145325]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.43478834]
 [0.09086114]
 [0.86324674]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.07319003]
 [0.13517078]
 [0.16457866]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.        ]
 [0.13279705]
 [0.        ]
 [0.        ]
 [0.14216009]
 [0.        ]
 [0.69774496]
 [0.        ]
 [0.05723328]
 [0.57088224]
 [0.56336542]
 [0.52578135]
 [0.10932349]
 [0.        ]
 [0.49109851]
 [0.4031386 ]
 [0.6368192 ]
 [0.5604642 ]
 [0.48977977]
 [0.72768034]
 [0.52934195]
 [0.        ]
 [0.        ]
 [0.31267308]
 [0.        ]
 [0.        ]
 [0.66833707]]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.07334774 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.20817095 0.         0.         0.         0.
 0.         0.         0.         0.         0.22060569 0.
 0.         0.         0.         0.         0.         0.10264224
 0.         0.         0.05972452 0.         0.         0.
 0.         0.         0.         0.30257857 0.         0.
 0.         0.13297281 0.         0.33430331 0.58985599 0.
 0.09427546 0.         0.         0.         0.13124798 0.
 0.11384937 0.82018372 0.41864044 0.28702183 0.1942385  0.
 0.3874002  0.68007539 0.         0.         0.         0.
 0.09858116 0.12228316 0.         0.20127869 0.356367   0.
 0.0784597  0.07429165 0.         0.         0.         0.
 0.         0.         0.         0.         0.2624477  0.35340203
 0.46390087 0.         0.30033433 0.         0.         0.
 0.         0.02312183 0.         0.         0.         0.
 0.         0.         0.         0.         0.07515771 0.
 0.         0.         0.         0.32929454 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.02608611
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.40952895 0.         0.
 0.10930773 0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.01513513 0.         0.         0.30803436 0.55765285
 0.56587773 0.         0.         0.         0.         0.
 0.6811298  0.33806312 0.64888259 0.71321849 0.         0.
 0.         0.         0.03029946 0.65151212]"
