Formula label,Helper_lipid,18PG,14PA,DOPE,DSPC,DOTAP,DDAB,Size,PDI,Zeta,NP_ratio,PEG_(Chol+PEG),(IL+HL),HL_(IL+HL),RLU_HEK293
42,18PG,1,0,0,0,0,0,252.6333333,0.273666667,-2.366666667,12,0.199600798,40,9.090909091,8.643
43,18PG,1,0,0,0,0,0,242.8,0.252666667,-1.566666667,4,0.199600798,60,9.090909091,8.954
44,18PG,1,0,0,0,0,0,202.9666667,0.257333333,-2.063333333,8,0.199600798,60,9.090909091,10.867
45,18PG,1,0,0,0,0,0,142.2666667,0.268333333,-0.186,12,0.199600798,60,9.090909091,10.993
46,18PG,1,0,0,0,0,0,154.0833333,0.3755,-22.66666667,4,0.199600798,80,9.090909091,11.769
47,18PG,1,0,0,0,0,0,172.25,0.288833333,-0.437,8,0.199600798,80,9.090909091,11.956
48,18PG,1,0,0,0,0,0,175.9333333,0.234333333,-2.24,12,0.199600798,80,9.090909091,3.912
49,18PG,1,0,0,0,0,0,1859.333333,0.579,-19.73333333,4,0.199600798,20,50.0,4.543
50,18PG,1,0,0,0,0,0,487.5,0.492333333,-3.413333333,8,0.199600798,20,50.0,4.094
51,18PG,1,0,0,0,0,0,1049.966667,0.215333333,-2.423333333,12,0.199600798,20,50.0,3.367
52,18PG,1,0,0,0,0,0,370.2333333,0.760333333,-25.56666667,4,0.199600798,40,50.0,6.029
53,18PG,1,0,0,0,0,0,1164.833333,0.693666667,-15.7,8,0.199600798,40,50.0,4.6
54,18PG,1,0,0,0,0,0,1153.333333,0.461,-4.87,12,0.199600798,40,50.0,2.639
55,18PG,1,0,0,0,0,0,1720.666667,0.716333333,-28.26666667,4,0.199600798,60,50.0,3.367
56,18PG,1,0,0,0,0,0,214.1666667,0.147333333,-17.83333333,8,0.199600798,60,50.0,3.85
57,18PG,1,0,0,0,0,0,1034.266667,0.683333333,-5.81,12,0.199600798,60,50.0,3.861
58,18PG,1,0,0,0,0,0,476.1166667,0.131333333,-6.776666667,4,0.199600798,80,50.0,3.97
59,18PG,1,0,0,0,0,0,418.8333333,0.151833333,-5.44,8,0.199600798,80,50.0,4.06
60,18PG,1,0,0,0,0,0,268.4333333,0.102,-4.47,12,0.199600798,80,50.0,4.234
61,18PG,1,0,0,0,0,0,514.5666667,0.964,-1.836666667,4,0.99009901,20,0.497512438,9.118
62,18PG,1,0,0,0,0,0,209.0,0.518,-1.497333333,8,0.99009901,20,0.497512438,7.03
63,18PG,1,0,0,0,0,0,296.5333333,0.349333333,-1.007333333,12,0.99009901,20,0.497512438,8.172
64,18PG,1,0,0,0,0,0,75.20666667,0.609333333,-1.843333333,4,0.99009901,40,0.497512438,8.92
65,18PG,1,0,0,0,0,0,210.5666667,0.548,-0.593366667,8,0.99009901,40,0.497512438,9.759
66,18PG,1,0,0,0,0,0,184.1666667,0.46,-7.61,12,0.99009901,40,0.497512438,9.91
67,18PG,1,0,0,0,0,0,133.6666667,0.504666667,-4.72,4,0.99009901,60,0.497512438,9.788
68,18PG,1,0,0,0,0,0,145.6666667,0.482666667,-3.62,8,0.99009901,60,0.497512438,10.054
69,18PG,1,0,0,0,0,0,164.5333333,0.325666667,-4.233333333,12,0.99009901,60,0.497512438,11.208
70,18PG,1,0,0,0,0,0,415.6,0.144666667,-2.0,4,0.99009901,80,0.497512438,8.416
71,18PG,1,0,0,0,0,0,420.6,0.213666667,-2.613333333,8,0.99009901,80,0.497512438,10.519
72,18PG,1,0,0,0,0,0,725.6666667,0.112,-0.015666667,12,0.99009901,80,0.497512438,12.319
73,18PG,1,0,0,0,0,0,613.1333333,0.699333333,-2.063333333,4,0.99009901,20,0.99009901,8.725
74,18PG,1,0,0,0,0,0,187.7333333,0.447,-1.543333333,8,0.99009901,20,0.99009901,7.148
75,18PG,1,0,0,0,0,0,99.15666667,0.669666667,-1.906666667,12,0.99009901,20,0.99009901,8.766
76,18PG,1,0,0,0,0,0,118.2,0.441,-1.441,4,0.99009901,40,0.99009901,9.07
77,18PG,1,0,0,0,0,0,170.9666667,0.641666667,-1.497333333,8,0.99009901,40,0.99009901,9.798
78,18PG,1,0,0,0,0,0,215.6333333,0.624,-4.113333333,12,0.99009901,40,0.99009901,10.032
79,18PG,1,0,0,0,0,0,182.2,0.565,-3.46,4,0.99009901,60,0.99009901,10.357
80,18PG,1,0,0,0,0,0,207.7333333,0.412333333,-5.52,8,0.99009901,60,0.99009901,10.134
81,18PG,1,0,0,0,0,0,348.7,0.722666667,-2.886666667,12,0.99009901,60,0.99009901,11.444
82,18PG,1,0,0,0,0,0,379.2666667,0.080666667,-2.153333333,4,0.99009901,80,0.99009901,8.579
83,18PG,1,0,0,0,0,0,430.7333333,0.114666667,-1.356666667,8,0.99009901,80,0.99009901,6.127
84,18PG,1,0,0,0,0,0,255.0166667,0.3485,0.867666667,12,0.99009901,80,0.99009901,12.586
85,18PG,1,0,0,0,0,0,738.2666667,0.887666667,-1.916666667,4,0.99009901,20,1.960784314,8.454
86,18PG,1,0,0,0,0,0,190.2,0.453,-0.810333333,8,0.99009901,20,1.960784314,7.951
87,18PG,1,0,0,0,0,0,210.8,0.686333333,-2.876666667,12,0.99009901,20,1.960784314,8.79
88,18PG,1,0,0,0,0,0,263.4666667,0.627666667,-2.14,4,0.99009901,40,1.960784314,9.014
