,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_HEK293
0,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,200.0,20.0,500.0,440.1666667,-7.193333333,0.6921074649065726
1,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,200.0,20.0,500.0,320.9666667,-5.036666667,0.614111741191782
2,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,200.0,20.0,500.0,205.6333333,-0.522666667,0.6106721204796877
3,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,200.0,40.0,500.0,236.0666667,-4.42,0.65882681044901
4,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,200.0,40.0,500.0,188.6,-3.686666667,0.8443804034582134
5,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,200.0,40.0,500.0,248.3,-2.553333333,0.6966626382820489
6,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,200.0,60.0,500.0,221.0666667,-1.06,0.7298503300176629
7,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,200.0,60.0,500.0,206.6333333,1.177333333,0.7476062099098262
8,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,200.0,60.0,500.0,239.3,-0.068333333,0.8154689969322304
10,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,200.0,80.0,500.0,195.4666667,-14.43333333,0.3038021753276936
12,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,100.0,20.0,500.0,395.5333333,-9.85,0.7200892442130704
13,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,20.0,500.0,412.0666667,-4.376666667,0.7114437110718601
15,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,100.0,40.0,500.0,218.7666667,-4.306666667,0.6943385702333364
16,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,40.0,500.0,221.7666667,-1.85,0.7393325276564098
18,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,100.0,60.0,500.0,227.4,0.728366667,0.07046574323696198
19,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,60.0,500.0,217.1,-0.417,0.24309751789532397
20,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,100.0,60.0,500.0,241.5666667,-2.663333333,0.7549502649437574
22,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,80.0,500.0,184.6,-17.4,0.6312168820303059
23,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,100.0,80.0,500.0,285.2666667,-8.583333333,0.6803941619410616
24,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,50.0,20.0,500.0,431.4,-6.4,0.690527098633448
28,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,50.0,40.0,500.0,247.4666667,-2.506666667,0.714976294505903
29,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,40.0,500.0,230.4,-2.166666667,0.7284558891884356
30,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,50.0,60.0,500.0,215.5666667,0.091,0.6620805057172074
31,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,50.0,60.0,500.0,221.9666667,-0.125666667,0.6161569210746491
32,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,60.0,500.0,234.9333333,0.407333333,0.6450683276006322
34,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,50.0,80.0,500.0,163.9833333,-6.63,0.834619317653621
35,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,80.0,500.0,247.1,-11.83333333,0.9067583898856559
36,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,20.0,500.0,303.8,-4.81,0.9241424188900251
38,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,20.0,500.0,947.7666667,-0.677333333,0.12568560007437019
39,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,40.0,500.0,242.8,1.363333333,0.1817421214093149
40,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,10.0,40.0,500.0,182.1,-1.420666667,0.19010876638467972
41,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,40.0,500.0,252.6333333,-2.366666667,0.2062842800037185
42,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,60.0,500.0,242.8,-1.566666667,0.5723714790369063
43,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,10.0,60.0,500.0,202.9666667,-2.063333333,0.8546063028725481
44,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,60.0,500.0,142.2666667,-0.186,0.5950543831923398
45,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,10.0,80.0,500.0,154.0833333,-22.66666667,0.7905549874500326
46,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,10.0,80.0,500.0,172.25,-0.437,0.9578878869573302
47,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,10.0,80.0,500.0,175.9333333,-2.24,0.47717765176164356
50,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,1.0,20.0,500.0,1049.966667,-2.423333333,0.6102073068699452
57,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,1.0,80.0,500.0,476.1166667,-6.776666667,0.9897741005856653
58,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,1.0,80.0,500.0,418.8333333,-5.44,0.5872455145486661
59,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,1.0,80.0,500.0,268.4333333,-4.47,0.6051873198847262
62,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,200.0,20.0,100.0,296.5333333,-1.007333333,0.8375011620340242
68,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,200.0,60.0,100.0,164.5333333,-4.233333333,0.16342846518546061
69,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,200.0,80.0,100.0,415.6,-2.0,0.2615041368411267
70,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,200.0,80.0,100.0,420.6,-2.613333333,0.011620340243562344
71,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,200.0,80.0,100.0,725.6666667,-0.015666667,0.10811564562610393
73,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,20.0,100.0,187.7333333,-1.543333333,0.0612624337640606
75,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,100.0,40.0,100.0,118.2,-1.441,0.19178209537975272
79,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,60.0,100.0,207.7333333,-5.52,0.0612624337640606
81,0.0,1.0,9.3028,3.0,36.0,1.0,4.0,100.0,80.0,100.0,379.2666667,-2.153333333,0.23500976108580462
82,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,100.0,80.0,100.0,430.7333333,-1.356666667,0.23891419540764153
83,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,100.0,80.0,100.0,255.0166667,0.867666667,0.4887050292832575
89,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,40.0,100.0,203.3333333,-2.2,0.16017476991726315
91,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,50.0,60.0,100.0,235.7333333,-2.013333333,0.22236683090080878
92,0.0,1.0,9.3028,3.0,36.0,1.0,12.0,50.0,60.0,100.0,183.1666667,-3.336666667,0.4679743422887423
94,0.0,1.0,9.3028,3.0,36.0,1.0,8.0,50.0,80.0,100.0,410.2,0.9383,0.6220135725574045
