,Model,Optimized_Cell_Type,Model Params,Cell_Type_Tested,MAE,Spearmans Rank,Pearsons Correlation
0,RF,HEK293,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",HEK293,0.07816135559446072,0.8492259081325402,0.8413335998417595
1,RF,HEK293,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",HepG2,0.06271558299350555,0.764994086557745,0.8860193420637695
2,RF,HEK293,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",N2a,0.0585568624935864,0.8930176190053375,0.921022390022792
3,RF,HEK293,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",ARPE19,0.09268025225762416,0.8704167788413444,0.8733867000129741
4,RF,HEK293,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",B16,0.05193481238970929,0.9124077820709035,0.9291569110645695
5,RF,HEK293,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",PC3,0.06211044291245458,0.7193391286004078,0.9032251804859299
6,RF,HepG2,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",HEK293,0.07613353407521019,0.8525995059962328,0.8411667979900267
7,RF,HepG2,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",HepG2,0.06035744327812179,0.7737342921924975,0.8882382989725182
8,RF,HepG2,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",N2a,0.05202938092659104,0.8990872872917329,0.9197994963793241
9,RF,HepG2,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",ARPE19,0.08650819888843884,0.8717571523217371,0.8752853071656037
10,RF,HepG2,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",B16,0.04588143355268211,0.9242296315993,0.938191140987098
11,RF,HepG2,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'absolute_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 300, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",PC3,0.05866371746492676,0.7290307580021699,0.9118126555634297
12,RF,N2a,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",HEK293,0.07524667457630398,0.8509739721723314,0.8395132560928718
13,RF,N2a,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",HepG2,0.059520258825034825,0.7760043280208009,0.8900677852135143
14,RF,N2a,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",N2a,0.0521426418818767,0.8973783313364742,0.9196299360376374
15,RF,N2a,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",ARPE19,0.08443364853816956,0.8764426053937877,0.8806661595240126
16,RF,N2a,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",B16,0.046098450039386445,0.9234731772665002,0.9377953561432494
17,RF,N2a,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",PC3,0.059035238495520455,0.7263526983140993,0.9115236116916936
18,RF,ARPE19,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",HEK293,0.07708783165637156,0.8454047153263473,0.8343612718693274
19,RF,ARPE19,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",HepG2,0.06040851048312935,0.7780024251238513,0.8862366066280739
20,RF,ARPE19,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",N2a,0.05299451788392055,0.8952465598477468,0.9174731918906545
21,RF,ARPE19,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",ARPE19,0.08652466449382133,0.8741826390366461,0.8773377309992747
22,RF,ARPE19,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",B16,0.04741636858764339,0.9198156572505939,0.9337683892333544
23,RF,ARPE19,"{'bootstrap': True, 'ccp_alpha': 0, 'criterion': 'squared_error', 'max_depth': None, 'max_features': None, 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 400, 'n_jobs': None, 'oob_score': True, 'random_state': 4, 'verbose': 0, 'warm_start': False}",PC3,0.05860952519072778,0.7332147544933085,0.9112017297176549
