,Model,Cell_Type,Valid Score,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Score_difference
10,XGB,HepG2,0.058327443955372094,0.05784413109775942,"SpearmanrResult(correlation=0.8255793454313227, pvalue=4.16655365492613e-37)","(0.9078575014438149, 1.8272285628766603e-55)","{'subsample': 0.8, 'reg_lambda': 0.001, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 4.0, 'max_depth': 9, 'max_delta_step': 8, 'learning_rate': 0.05, 'gamma': 0, 'booster': 'gbtree'}",0.00048331285761267495
11,XGB,HEK293,0.08050271889064928,0.07716196267057342,"SpearmanrResult(correlation=0.8552761467469914, pvalue=5.022189094393209e-63)","(0.8525722563569869, 3.1236362873576654e-62)","{'subsample': 1.0, 'reg_lambda': 0.01, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 5.0, 'max_depth': 5, 'max_delta_step': 1, 'learning_rate': 0.1, 'gamma': 0, 'booster': 'dart'}",0.0033407562200758606
12,LGBM,PC3,0.06193215223925594,0.062112894446918296,"SpearmanrResult(correlation=0.7894560064484238, pvalue=2.995891737140379e-47)","(0.917590002652904, 1.091228964708606e-87)","{'subsample': 1.0, 'reg_lambda': 0.005, 'reg_alpha': 0.01, 'num_leaves': 32, 'n_estimators': 300, 'min_child_weight': 0.1, 'min_child_samples': 10, 'learning_rate': 0.1, 'boosting_type': 'dart'}",0.00018074220766235716
13,LGBM,B16,0.04893987118765759,0.049050101512790496,"SpearmanrResult(correlation=0.899979003323649, pvalue=4.1438188463554856e-79)","(0.9268622724243522, 5.140909331706185e-93)","{'subsample': 0.6, 'reg_lambda': 0, 'reg_alpha': 0, 'num_leaves': 128, 'n_estimators': 300, 'min_child_weight': 0.001, 'min_child_samples': 10, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}",0.00011023032513290953
14,LGBM,ARPE19,0.0861713991501968,0.0895157190864512,"SpearmanrResult(correlation=0.8560722488945287, pvalue=1.5485558647647818e-42)","(0.8508765636248334, 1.5833643208078605e-41)","{'subsample': 0.4, 'reg_lambda': 0.01, 'reg_alpha': 0.005, 'num_leaves': 64, 'n_estimators': 500, 'min_child_weight': 0.1, 'min_child_samples': 2, 'learning_rate': 0.01, 'boosting_type': 'goss'}",0.0033443199362544057
15,LGBM,N2a,0.05841402663102017,0.05588249211723443,"SpearmanrResult(correlation=0.8792321985513946, pvalue=1.4164154470413233e-47)","(0.9181701871322705, 5.797699163742576e-59)","{'subsample': 0.4, 'reg_lambda': 0.015, 'reg_alpha': 0.015, 'num_leaves': 32, 'n_estimators': 600, 'min_child_weight': 1.0, 'min_child_samples': 2, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}",0.002531534513785738
16,LGBM,HepG2,0.059669485372803324,0.06116702235538778,"SpearmanrResult(correlation=0.7720199306783517, pvalue=9.712499982105661e-30)","(0.8895693196338625, 3.599090118187786e-50)","{'subsample': 0.4, 'reg_lambda': 0.01, 'reg_alpha': 0.015, 'num_leaves': 64, 'n_estimators': 600, 'min_child_weight': 10.0, 'min_child_samples': 2, 'learning_rate': 0.1, 'boosting_type': 'dart'}",0.001497536982584459
17,LGBM,HEK293,0.08095265957731275,0.07922023270198032,"SpearmanrResult(correlation=0.8576880621209739, pvalue=9.529891669437731e-64)","(0.8511551372766006, 8.023410560039342e-62)","{'subsample': 0.4, 'reg_lambda': 0.01, 'reg_alpha': 0, 'num_leaves': 128, 'n_estimators': 250, 'min_child_weight': 10.0, 'min_child_samples': 20, 'learning_rate': 0.1, 'boosting_type': 'gbdt'}",0.0017324268753324268
18,kNN,PC3,0.07755815807662345,0.07682003170802504,"SpearmanrResult(correlation=0.7024167223885307, pvalue=1.939773143203368e-33)","(array([0.8277525881681437], dtype=object), 1.2909466065649313e-55)","{'weights': 'distance', 'p': 1, 'n_neighbors': 12, 'metric': 'minkowski', 'leaf_size': 30, 'algorithm': 'ball_tree'}",0.0007381263685984074
19,kNN,B16,0.0675436755103249,0.0659342217547029,"SpearmanrResult(correlation=0.8406787169709106, pvalue=6.4077637658675236e-59)","(array([0.8585753766667096], dtype=object), 5.130867686476832e-64)","{'weights': 'distance', 'p': 1, 'n_neighbors': 4, 'metric': 'minkowski', 'leaf_size': 50, 'algorithm': 'ball_tree'}",0.0016094537556220062
20,kNN,ARPE19,0.10459872238786504,0.1036556326215196,"SpearmanrResult(correlation=0.8416888806463646, pvalue=7.83994067248267e-40)","(array([0.8452999138583858], dtype=object), 1.743441458229242e-40)","{'weights': 'distance', 'p': 1, 'n_neighbors': 6, 'metric': 'minkowski', 'leaf_size': 75, 'algorithm': 'brute'}",0.0009430897663454396
21,kNN,N2a,0.08221327389453084,0.0811997536938982,"SpearmanrResult(correlation=0.8246636266687303, pvalue=5.83767742714687e-37)","(array([0.7937895888605118], dtype=object), 1.808843552816738e-32)","{'weights': 'distance', 'p': 1, 'n_neighbors': 8, 'metric': 'minkowski', 'leaf_size': 10, 'algorithm': 'kd_tree'}",0.0010135202006326394
22,kNN,HepG2,0.08165671669407641,0.07965201388907289,"SpearmanrResult(correlation=0.732749441160686, pvalue=1.6556691360151218e-25)","(array([0.8326195688311225], dtype=object), 2.9135823231050243e-38)","{'weights': 'distance', 'p': 1, 'n_neighbors': 2, 'metric': 'minkowski', 'leaf_size': 10, 'algorithm': 'brute'}",0.0020047028050035193
23,kNN,HEK293,0.10432750862549695,0.10568904013843874,"SpearmanrResult(correlation=0.7413385981483936, pvalue=6.329448873617173e-39)","(array([0.737149534150704], dtype=object), 2.7441880334230687e-38)","{'weights': 'distance', 'p': 1, 'n_neighbors': 8, 'metric': 'minkowski', 'leaf_size': 75, 'algorithm': 'brute'}",0.0013615315129417993
24,PLS,PC3,0.11314247644529205,0.11137325872429292,"SpearmanrResult(correlation=0.6093972390218676, pvalue=2.3802983548084237e-23)","(array([0.7127426793838011], dtype=object), 8.345108948316309e-35)","{'n_components': 6, 'max_iter': 250}",0.001769217720999125
25,PLS,B16,0.10151316398414348,0.10281541639564956,"SpearmanrResult(correlation=0.6664663918984708, pvalue=4.1508389427755825e-29)","(array([0.6850949697508858], dtype=object), 2.833064432669696e-31)","{'n_components': 6, 'max_iter': 250}",0.001302252411506083
26,PLS,ARPE19,0.17932230731646356,0.17942206662263682,"SpearmanrResult(correlation=0.4765180420120384, pvalue=1.567465596120941e-09)","(array([0.47818663593879235], dtype=object), 1.3494187650211047e-09)","{'n_components': 4, 'max_iter': 250}",9.975930617325823e-05
27,PLS,N2a,0.13081637811171046,0.132222824062788,"SpearmanrResult(correlation=0.45690802116756557, pvalue=8.59259521897502e-09)","(array([0.45605401974403326], dtype=object), 9.231194966124379e-09)","{'n_components': 2, 'max_iter': 250}",0.0014064459510775562
28,PLS,HepG2,0.1304672829517701,0.12920379975342702,"SpearmanrResult(correlation=0.15192287278511624, pvalue=0.06910205883576791)","(array([0.3022614412294821], dtype=object), 0.00023138144465078268)","{'n_components': 4, 'max_iter': 250}",0.0012634831983430739
29,PLS,HEK293,0.14435882607870743,0.1415376982302442,"SpearmanrResult(correlation=0.44592510737847896, pvalue=5.979071811326612e-12)","(array([0.43448276824368925], dtype=object), 2.33403872485009e-11)","{'n_components': 6, 'max_iter': 250}",0.002821127848463223
30,lasso,PC3,0.11301224113294986,0.11191187401059453,"SpearmanrResult(correlation=0.5889231291453484, pvalue=1.479903746649269e-21)","(0.7089899355472298, 2.660127990927131e-34)","{'positive': False, 'alpha': 0.01}",0.0011003671223553252
31,lasso,B16,0.10313539505565958,0.1032226724017862,"SpearmanrResult(correlation=0.6581728483989836, pvalue=3.4117988325205997e-28)","(0.680135339498036, 1.1080295085704364e-30)","{'positive': False, 'alpha': 0.01}",8.727734612662408e-05
