,HEK293,HepG2,N2a,ARPE19,B16,PC3
RF,0.07667491039361717,0.0617792503650003,0.055349913535906396,0.09198793713208005,0.04868072754885473,0.06304773800074666
MLR,0.1415147571500953,0.12929355220150457,0.1317835857846083,0.1794247331944964,0.10283348894313706,0.11132372295444458
lasso,0.14879410912902488,0.12833524933944496,0.12706962765245092,0.17916792680014945,0.1032226724017862,0.11191187401059453
PLS,0.1415376982302442,0.12920379975342702,0.132222824062788,0.17942206662263682,0.10281541639564956,0.11137325872429292
kNN,0.10568904013843874,0.07965201388907289,0.0811997536938982,0.1036556326215196,0.0659342217547029,0.07682003170802504
LGBM,0.07922023270198032,0.06116702235538778,0.05588249211723443,0.0895157190864512,0.049050101512790496,0.062112894446918296
XGB,0.07716196267057342,0.05784413109775942,0.05313713387564672,0.09040952077108035,0.0482681194350198,0.06342267590078002
DT,0.09041419787153285,0.06954790519672854,0.06508857818824468,0.11249146381622419,0.05861086960385355,0.07053447964850007
