,HEK293,HepG2,N2a,ARPE19,B16,PC3
RF,0.7987747427826433,0.894774787221776,0.9060732250454778,0.8641610390204642,0.9389380776472964,0.917122001074769
MLR,[0.4346481200470624],[0.40726097300109465],[0.46909615918283976],[0.47820524574823225],[0.6850528016276769],[0.7131826342008716]
lasso,0.40347397048949474,0.34053361304421725,0.4776747017147177,0.47115866509941445,0.680135339498036,0.7089899355472298
PLS,[0.43448276824368925],[0.3022614412294821],[0.45605401974403326],[0.47818663593879235],[0.6850949697508858],[0.7127426793838011]
kNN,[0.737149534150704],[0.8326195688311225],[0.7937895888605118],[0.8452999138583858],[0.8585753766667096],[0.8277525881681437]
LGBM,0.8511551372766006,0.8895693196338625,0.9181701871322705,0.8508765636248334,0.9268622724243522,0.917590002652904
XGB,0.8525722563569869,0.9078575014438149,0.9114721401574134,0.852552330370822,0.9344882528992563,0.9007652247918886
DT,0.8061020031833459,0.8602902870637844,0.8630334383957233,0.783863031046359,0.8845187567389446,0.8879360310730794
