,HepG2,HEK293,N2a,ARPE19,B16,PC3
LGBM,0.7999154107947655,0.7885658669997393,0.8395122523751095,0.7637456750227356,0.8799722554289602,0.8497314135415812
XGB,0.8704236163601213,0.8208738363629555,0.848746012741207,0.781613968400916,0.8976495204041739,0.8662720020789403
RF,0.7897337728357824,0.8059426135658847,0.8863958199531066,0.7779965220320179,0.862333528756245,0.8580423504828537
MLR,0.4436879499426397,0.4300840278181299,0.522246807085734,0.4541519549648231,0.5949701383275742,0.6603742678302432
lasso,0.388759479895766,0.3428123855083816,0.3499872878098809,0.3531203658949906,0.4972705018055176,0.5472859915599471
PLS,[0.4359203882952928],[0.4004169375156578],[0.5227663751892403],[0.4544271705082903],[0.6509977240080794],[0.5700679427307392]
kNN,0.6608460705558918,0.5792528458837191,0.697182465627477,0.6788397627500156,0.7396217395500528,0.7252176799309664
DT,0.84297834454542,0.6608896379510969,0.7822265590375821,0.7798006618364515,0.7986737881579111,0.7826477213585747
