,HepG2,HEK293,N2a,ARPE19,B16,PC3
LGBM,0.04750478322256252,0.10663430303379892,0.07714808579545789,0.11878659277057006,0.054016428705637505,0.0555595165482212
XGB,0.04724869092314036,0.10081188762197522,0.07453373496340372,0.11081605869486681,0.05422358529723175,0.05441776940806323
RF,0.04848245614175435,0.11300001974851169,0.07657015733256642,0.1136750935488699,0.06262716065273646,0.056558431082293706
MLR,0.10343726914522393,0.16040686729346892,0.15026376335083275,0.19595904413271187,0.10266320498985315,0.12450862463910271
lasso,0.09847059188933203,0.16699339492220014,0.15180325170848943,0.20435261053157086,0.11721687928221676,0.11834347483362125
PLS,0.10298580388876845,0.16278636188434378,0.15024016832199133,0.19593015047594914,0.10137412023483575,0.12058302884989237
kNN,0.06604702406864345,0.1345878244851635,0.11112686083497794,0.12871265067645002,0.07690337350132809,0.0720101933594886
DT,0.04285734390524683,0.12698436636002614,0.08856407850191574,0.12681099920884384,0.0631649792616637,0.05839724591711378
