,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI,RLU_N2a
118,119,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,100,812.3666667,0.132666667,0.0,3.0
119,120,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,100,409.6,0.290333333,0.0,3.0
120,121,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,10,113.3,0.238333333,0.0,3.0
121,122,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,10,179.0666667,0.428333333,0.0,3.0
122,123,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,10,1512.333333,0.599333333,0.0,3.0
123,124,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,10,108.3166667,0.307333333,0.0,3.0
124,125,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,10,153.9,0.435666667,0.0,3.219
125,126,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,10,120.1,0.400666667,0.0,3.497
126,127,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,10,166.4,0.504,0.0,3.0
127,128,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,10,192.9,0.356666667,0.0,3.892
128,129,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,10,260.3666667,0.331,0.0,4.007
129,130,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,10,230.6333333,0.313333333,0.0,3.178
130,131,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,10,237.4,0.258666667,0.0,3.296
131,132,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,10,208.8333333,0.286,0.0,4.635
132,133,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,10,129.5333333,0.231666667,0.0,3.0
133,134,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,10,247.0333333,0.714,0.0,3.0
134,135,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,10,1955.333333,0.704333333,0.0,3.0
135,136,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,181.4666667,0.334,0.0,3.0
136,137,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,144.4,0.396,0.0,3.0
137,138,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,123.8,0.366333333,0.0,3.0
138,139,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,253.1333333,0.477333333,0.0,3.0
139,140,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,212.9666667,0.330666667,0.0,3.97
140,141,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,219.6333333,0.313,0.0,3.0
141,142,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,243.4333333,0.302666667,0.0,3.296
142,143,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,226.2666667,0.251333333,0.0,4.06
143,144,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,262.2333333,0.095333333,0.0,4.317
144,145,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,135.9333333,0.257333333,0.0,3.0
145,146,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,10,967.0333333,1.0,0.0,3.0
146,147,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,10,1599.666667,0.223666667,0.0,3.0
147,148,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,113.75,0.3625,0.0,3.0
148,149,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,142.2666667,0.315,0.0,3.0
149,150,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,142.3333333,0.393333333,0.0,3.0
150,151,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,256.9666667,0.289333333,0.0,3.0
151,152,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,205.9333333,0.315,0.0,3.932
152,153,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,184.7,0.339666667,0.0,3.0
153,154,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,244.4333333,0.245,0.0,3.664
154,155,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,247.3666667,0.241333333,0.0,4.143
155,156,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,250.6333333,0.152666667,0.0,4.543
156,157,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,10,636.7,1.0,0.0,3.0
157,158,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,10,691.7,0.956666667,0.0,3.0
158,159,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,10,1708.333333,0.6,0.0,3.0
159,160,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,111.6666667,0.341,0.0,3.0
160,161,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,148.1333333,0.512,0.0,3.045
161,162,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,118.0,0.328666667,0.0,3.0
162,163,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,233.5,0.391333333,0.0,4.043
163,164,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,264.6666667,0.407666667,0.0,4.043
164,165,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,220.9,0.306,0.0,3.0
165,166,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,256.1,0.264333333,0.0,4.997
166,167,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,278.3,0.217333333,0.0,4.913
