,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_B16,Exp_B16
0,1,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,500,4.234502036832201,69.02729712230101
1,2,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,500,3.8502122242353036,47.00303735682629
2,3,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,500,3.218845704509294,24.999247002367667
3,4,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,500,4.05200823523474,57.51284046081094
4,5,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,500,4.930936288200425,138.50913611768254
5,6,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,500,4.126929979930108,61.98732817800774
6,7,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,500,2.862242444705852,17.500727381202964
7,8,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,500,2.995939748575446,20.004149930917713
8,9,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,500,3.1355228402877575,23.00065836967064
9,10,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,500,2.707904251597284,14.997810917177775
10,11,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,500,2.6389732352794555,13.998822728800372
11,12,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,500,2.6389732352794555,13.998822728800372
12,13,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,500,3.8715286485800133,48.01572918485793
13,14,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,500,2.9177403331836493,18.499437628886124
14,15,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,500,2.995939748575446,20.004149930917713
15,16,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,500,2.602751143451792,13.500829708595866
16,17,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,500,2.970272317910508,19.497228317644485
17,18,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,500,2.740929417814061,15.501385667211498
18,19,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,500,2.707904251597284,14.997810917177775
19,20,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,500,2.8034383158897356,16.501285977333474
20,21,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,500,2.525670504695033,12.499273275960652
