,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_B16,Exp_B16
21,22,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,500,2.707904251597284,14.997810917177775
22,23,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,500,2.602751143451792,13.500829708595866
23,24,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,500,2.6741246303783845,14.499651727984507
24,25,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,500,2.970272317910508,19.497228317644485
25,26,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,500,3.067867326545081,21.49600978566695
26,27,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,500,2.890175541218196,17.99646844628277
27,28,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,500,3.067867326545081,21.49600978566695
28,29,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,500,2.740929417814061,15.501385667211498
29,30,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,500,3.1136660714629696,22.50339240640038
30,31,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,500,2.4848821211989405,11.999705660541164
31,32,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,500,2.602751143451792,13.500829708595866
32,33,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,500,2.740929417814061,15.501385667211498
33,34,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,500,2.707904251597284,14.997810917177775
34,35,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,500,2.602751143451792,13.500829708595866
35,36,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,500,2.525670504695033,12.499273275960652
36,37,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,500,2.833250342481756,17.000628984869827
37,38,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,500,2.740929417814061,15.501385667211498
38,39,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,500,2.8034383158897356,16.501285977333474
39,40,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,500,2.833250342481756,17.000628984869827
40,41,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,500,2.6741246303783845,14.499651727984507
41,42,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,500,2.5650388426503046,13.001163359504929
42,43,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,500,2.5650388426503046,13.001163359504929
43,44,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,500,2.602751143451792,13.500829708595866
44,45,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,500,2.602751143451792,13.500829708595866
45,46,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,500,2.5650388426503046,13.001163359504929
46,47,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,500,2.5650388426503046,13.001163359504929
47,48,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,500,2.5650388426503046,13.001163359504929
48,49,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,500,2.5650388426503046,13.001163359504929
49,50,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,500,2.602751143451792,13.500829708595866
50,51,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,500,2.602751143451792,13.500829708595866
51,52,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,500,2.602751143451792,13.500829708595866
52,53,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,500,2.525670504695033,12.499273275960652
53,54,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,500,2.602751143451792,13.500829708595866
54,55,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,500,2.6741246303783845,14.499651727984507
55,56,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,500,2.602751143451792,13.500829708595866
56,57,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,500,2.602751143451792,13.500829708595866
57,58,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,500,2.602751143451792,13.500829708595866
58,59,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,500,2.5650388426503046,13.001163359504929
59,60,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,500,2.602751143451792,13.500829708595866
60,61,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,100,3.526322527024296,33.998708106421155
61,62,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,100,3.3140581760228174,27.496484936800705
62,63,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,100,2.740929417814061,15.501385667211498
63,64,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,100,2.995939748575446,20.004149930917713
64,65,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,100,3.33196553882205,27.993309601550315
65,66,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,100,2.9177403331836493,18.499437628886124
66,67,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,100,2.970272317910508,19.497228317644485
67,68,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,100,2.6389732352794555,13.998822728800372
68,69,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,100,2.602751143451792,13.500829708595866
69,70,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,100,2.525670504695033,12.499273275960652
70,71,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,100,2.602751143451792,13.500829708595866
71,72,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,100,2.7726789280592854,16.001443358210743
72,73,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,100,3.401375873923419,30.00535524575865
73,74,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,100,3.7015078119165454,40.50833728909931
74,75,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,100,2.740929417814061,15.501385667211498
75,76,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,100,2.740929417814061,15.501385667211498
76,77,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,100,3.1985851440283946,24.49784474350812
77,78,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,100,2.7726789280592854,16.001443358210743
78,79,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,100,2.707904251597284,14.997810917177775
79,80,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,100,2.833250342481756,17.000628984869827
80,81,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,100,2.740929417814061,15.501385667211498
81,82,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,100,2.6389732352794555,13.998822728800372
82,83,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,100,2.602751143451792,13.500829708595866
83,84,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,100,2.525670504695033,12.499273275960652
84,85,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,100,3.496163133734871,32.9886358420348
85,86,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,100,2.944332606715115,18.997979030914447
86,87,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,100,2.833250342481756,17.000628984869827
87,88,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,100,2.8034383158897356,16.501285977333474
88,89,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,100,2.9177403331836493,18.499437628886124
89,90,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,100,3.157178698728366,23.504189896560142
90,91,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,100,2.707904251597284,14.997810917177775
91,92,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,100,2.6389732352794555,13.998822728800372
92,93,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,100,2.6741246303783845,14.499651727984507
93,94,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,100,2.6741246303783845,14.499651727984507
94,95,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,100,2.525670504695033,12.499273275960652
95,96,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,100,2.5650388426503046,13.001163359504929
96,97,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,100,2.890175541218196,17.99646844628277
97,98,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,100,3.761578055275684,43.01625447344221
98,99,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,100,3.5697636779217086,35.50820078821049
99,100,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,100,3.465706716309491,31.999066045941937
100,101,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,100,3.044577296196901,21.00115205954286
101,102,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,100,3.067867326545081,21.49600978566695
102,103,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,100,2.6741246303783845,14.499651727984507
103,104,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,100,2.707904251597284,14.997810917177775
104,105,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,100,2.995939748575446,20.004149930917713
105,106,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,100,2.6389732352794555,13.998822728800372
106,107,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,100,2.6389732352794555,13.998822728800372
107,108,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,100,2.707904251597284,14.997810917177775
108,109,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,100,2.740929417814061,15.501385667211498
109,110,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,100,2.602751143451792,13.500829708595866
110,111,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,100,2.6389732352794555,13.998822728800372
111,112,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,100,2.6741246303783845,14.499651727984507
112,113,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,100,2.6389732352794555,13.998822728800372
113,114,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,100,2.602751143451792,13.500829708595866
114,115,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,100,2.862242444705852,17.500727381202964
115,116,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,100,2.707904251597284,14.997810917177775
116,117,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,100,2.602751143451792,13.500829708595866
117,118,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,100,2.525670504695033,12.499273275960652
118,119,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,100,2.707904251597284,14.997810917177775
119,120,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,100,2.6389732352794555,13.998822728800372
120,121,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,10,2.6741246303783845,14.499651727984507
121,122,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,10,2.6389732352794555,13.998822728800372
122,123,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,10,2.862242444705852,17.500727381202964
123,124,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,10,2.6741246303783845,14.499651727984507
124,125,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,10,2.6389732352794555,13.998822728800372
125,126,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,10,2.7726789280592854,16.001443358210743
126,127,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,10,2.525670504695033,12.499273275960652
127,128,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,10,2.5650388426503046,13.001163359504929
128,129,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,10,2.5650388426503046,13.001163359504929
129,130,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,10,2.5650388426503046,13.001163359504929
130,131,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,10,2.525670504695033,12.499273275960652
131,132,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,10,2.5650388426503046,13.001163359504929
132,133,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,10,2.6389732352794555,13.998822728800372
133,134,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,10,2.525670504695033,12.499273275960652
134,135,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,10,2.5650388426503046,13.001163359504929
135,136,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,2.602751143451792,13.500829708595866
136,137,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,2.5650388426503046,13.001163359504929
137,138,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,2.525670504695033,12.499273275960652
138,139,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,2.5650388426503046,13.001163359504929
139,140,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,2.5650388426503046,13.001163359504929
140,141,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,2.4848821211989405,11.999705660541164
141,142,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,2.6389732352794555,13.998822728800372
142,143,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,2.6389732352794555,13.998822728800372
143,144,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,2.6741246303783845,14.499651727984507
144,145,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,2.6741246303783845,14.499651727984507
145,146,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,10,2.602751143451792,13.500829708595866
146,147,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,10,2.4848821211989405,11.999705660541164
147,148,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,2.5650388426503046,13.001163359504929
148,149,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,2.6741246303783845,14.499651727984507
149,150,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,2.5650388426503046,13.001163359504929
150,151,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,2.5650388426503046,13.001163359504929
151,152,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,2.6389732352794555,13.998822728800372
152,153,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,2.707904251597284,14.997810917177775
153,154,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,2.5650388426503046,13.001163359504929
154,155,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,2.707904251597284,14.997810917177775
155,156,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,2.4848821211989405,11.999705660541164
156,157,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,20,10,2.5650388426503046,13.001163359504929
157,158,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,20,10,2.525670504695033,12.499273275960652
158,159,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,20,10,2.525670504695033,12.499273275960652
159,160,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,2.4848821211989405,11.999705660541164
160,161,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,2.5650388426503046,13.001163359504929
161,162,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,2.6741246303783845,14.499651727984507
162,163,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,2.602751143451792,13.500829708595866
163,164,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,2.525670504695033,12.499273275960652
164,165,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,2.707904251597284,14.997810917177775
165,166,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,80,10,2.6389732352794555,13.998822728800372
166,167,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,80,10,2.602751143451792,13.500829708595866
167,168,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,80,10,2.5650388426503046,13.001163359504929
168,169,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,20,10,2.4848821211989405,11.999705660541164
169,170,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,20,10,2.5650388426503046,13.001163359504929
170,171,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,20,10,2.5650388426503046,13.001163359504929
171,172,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,40,10,2.525670504695033,12.499273275960652
172,173,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,40,10,2.602751143451792,13.500829708595866
173,174,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,40,10,2.6389732352794555,13.998822728800372
174,175,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,60,10,2.6389732352794555,13.998822728800372
175,176,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,60,10,2.4422863813608107,11.499302500056768
176,177,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,60,10,2.602751143451792,13.500829708595866
177,178,18PG,0,1,9.3028,149.0,3,10,36,1,4,1,80,10,2.6389732352794555,13.998822728800372
178,179,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,10,2.602751143451792,13.500829708595866
179,180,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,10,2.525670504695033,12.499273275960652
180,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,3.0910933727360477,22.001120254831193
181,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,3.1136660714629696,22.50339240640038
182,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,3.9798760356816403,53.51040043600773
183,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,2.740929417814061,15.501385667211498
184,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,2.995939748575446,20.004149930917713
185,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,3.157178698728366,23.504189896560142
186,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,2.7726789280592854,16.001443358210743
187,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,2.6741246303783845,14.499651727984507
188,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,3.3841163138260857,29.49191959603112
189,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,2.740929417814061,15.501385667211498
190,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,2.707904251597284,14.997810917177775
191,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,2.707904251597284,14.997810917177775
192,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,2.862242444705852,17.500727381202964
193,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,2.944332606715115,18.997979030914447
194,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,2.944332606715115,18.997979030914447
195,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,2.4848821211989405,11.999705660541164
196,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,2.862242444705852,17.500727381202964
197,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,3.6887314215198947,39.994079134489695
198,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,2.5650388426503046,13.001163359504929
199,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,2.602751143451792,13.500829708595866
200,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,3.465706716309491,31.999066045941937
201,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,2.525670504695033,12.499273275960652
202,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,2.5650388426503046,13.001163359504929
203,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,2.8034383158897356,16.501285977333474
204,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,2.862242444705852,17.500727381202964
205,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,3.1136660714629696,22.50339240640038
206,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,3.067867326545081,21.49600978566695
207,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,2.8034383158897356,16.501285977333474
208,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,2.970272317910508,19.497228317644485
209,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,2.707904251597284,14.997810917177775
210,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,2.6741246303783845,14.499651727984507
211,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,2.6741246303783845,14.499651727984507
212,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,2.944332606715115,18.997979030914447
213,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,2.8034383158897356,16.501285977333474
214,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,2.707904251597284,14.997810917177775
215,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,4.927225614306022,137.99612627690635
216,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,3.157178698728366,23.504189896560142
217,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,3.9701295586018484,52.991395886114645
218,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,4.691239028118217,108.98813554766788
219,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,2.602751143451792,13.500829708595866
220,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,3.7493204833891625,42.492198033212
221,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,4.007609338438118,55.01519052366997
222,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,3.1136660714629696,22.50339240640038
223,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,3.1985851440283946,24.49784474350812
224,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,4.255918766002127,70.5215802631833
225,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,2.740929417814061,15.501385667211498
226,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,3.818076944126795,45.51659315162847
227,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,4.442220580443631,84.96340041787913
228,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,3.611036958995064,37.004404977174104
229,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,2.970272317910508,19.497228317644485
230,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,3.157178698728366,23.504189896560142
231,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,2.4848821211989405,11.999705660541164
232,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,3.9418288590937713,51.51272472010555
233,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,3.157178698728366,23.504189896560142
234,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,3.178020388471803,23.99919740839273
235,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,4.007609338438118,55.01519052366997
236,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,4.311088971692981,74.52159667961405
237,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,3.8715286485800133,48.01572918485793
238,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,5.239487585050068,188.57344978982562
239,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,5.739686193109868,310.9668121403475
240,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,3.624204532932834,37.49488534719495
241,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,3.4343107393317647,31.01003120287951
242,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,3.773111020731971,43.515231260668365
243,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,2.944332606715115,18.997979030914447
244,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,3.806391785748705,44.98781996769358
245,246,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,100,4.53274174762904,93.01323060728215
246,247,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,100,2.970272317910508,19.497228317644485
247,248,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,100,2.833250342481756,17.000628984869827
248,249,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,100,3.0910933727360477,22.001120254831193
249,250,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,100,2.707904251597284,14.997810917177775
250,251,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,100,2.6741246303783845,14.499651727984507
251,252,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,100,5.869645134849568,354.12329195261276
252,253,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,100,3.7493204833891625,42.492198033212
253,254,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,100,3.367008244715225,28.991661226245515
254,255,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,100,3.7135817413769767,41.00039666349822
255,256,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,100,3.157178698728366,23.504189896560142
