,HepG2
RF,0.8419375185046327
MLR,0.5588464809357919
lasso,0.40222115862474944
PLS,[0.5586918377822896]
kNN,0.593985786542828
LGBM,0.8659385008795377
XGB,0.8641366754309141
DT,0.8216617708295325
