,HepG2
RF,0.6944050455532516
MLR,0.38040990169159594
lasso,0.33268737491861594
PLS,0.38880179302386975
kNN,0.4483581709064686
LGBM,0.6865514746692014
XGB,0.7502650439662596
DT,0.7716558815248271
