,HepG2
RF,0.07488063840385882
MLR,0.12573927470408922
lasso,0.14370957829275138
PLS,0.1251751568374652
kNN,0.10527325220102905
LGBM,0.07219576842656401
XGB,0.07188926606868722
DT,0.0781461552827971
