,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_B16
0,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,2.485
1,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,2.526
2,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,3.773
3,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,1.705
4,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,2.303
5,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,2.603
6,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,1.792
7,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,1.504
8,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,2.97
9,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,1.705
10,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,1.609
11,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,1.609
12,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,2.015
13,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,2.197
14,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,2.197
15,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,0.693
16,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,2.015
17,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,3.401
18,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,1.099
19,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,1.253
20,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,3.091
21,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,0.916
22,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,1.099
23,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,1.872
24,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,2.015
25,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,2.526
26,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,2.442
27,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,1.872
28,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,2.251
29,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,1.609
30,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,1.504
31,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,1.504
32,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,2.197
33,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,1.872
34,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,1.609
35,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,4.852
36,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,2.603
37,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,3.761
38,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,4.595
39,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,1.253
40,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,3.481
41,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,3.807
42,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,2.526
