,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI
94,0,1,9.3028,3,10,36,1,8,50,80,100,410.2,0.146666667
95,0,1,9.3028,3,10,36,1,12,50,80,100,363.8,0.148333333
96,0,1,9.3028,3,10,36,1,4,10,20,100,457.7666667,0.88
97,0,1,9.3028,3,10,36,1,8,10,20,100,170.4666667,0.436333333
98,0,1,9.3028,3,10,36,1,12,10,20,100,205.1333333,0.81
99,0,1,9.3028,3,10,36,1,4,10,40,100,153.8666667,0.343666667
100,0,1,9.3028,3,10,36,1,8,10,40,100,202.0333333,0.364666667
101,0,1,9.3028,3,10,36,1,12,10,40,100,192.2666667,0.267
102,0,1,9.3028,3,10,36,1,4,10,60,100,176.8,0.353333333
103,0,1,9.3028,3,10,36,1,8,10,60,100,293.4666667,0.390666667
104,0,1,9.3028,3,10,36,1,12,10,60,100,281.8333333,0.217333333
105,0,1,9.3028,3,10,36,1,4,10,80,100,496.8666667,0.153666667
106,0,1,9.3028,3,10,36,1,8,10,80,100,526.7333333,0.369
107,0,1,9.3028,3,10,36,1,12,10,80,100,501.1333333,0.277
108,0,1,9.3028,3,10,36,1,4,1,20,100,237.7333333,0.221
109,0,1,9.3028,3,10,36,1,8,1,20,100,154.0666667,0.200333333
110,0,1,9.3028,3,10,36,1,12,1,20,100,185.1,0.109
111,0,1,9.3028,3,10,36,1,4,1,40,100,196.1666667,0.203333333
112,0,1,9.3028,3,10,36,1,8,1,40,100,298.0333333,0.1
113,0,1,9.3028,3,10,36,1,12,1,40,100,189.2333333,0.111
114,0,1,9.3028,3,10,36,1,4,1,60,100,241.5,0.106333333
115,0,1,9.3028,3,10,36,1,8,1,60,100,249.8,0.209
116,0,1,9.3028,3,10,36,1,12,1,60,100,346.5,0.061666667
117,0,1,9.3028,3,10,36,1,4,1,80,100,364.1333333,0.201
118,0,1,9.3028,3,10,36,1,8,1,80,100,812.3666667,0.132666667
119,0,1,9.3028,3,10,36,1,12,1,80,100,409.6,0.290333333
120,0,1,9.3028,3,10,36,1,4,200,20,10,113.3,0.238333333
121,0,1,9.3028,3,10,36,1,8,200,20,10,179.0666667,0.428333333
123,0,1,9.3028,3,10,36,1,4,200,40,10,108.3166667,0.307333333
124,0,1,9.3028,3,10,36,1,8,200,40,10,153.9,0.435666667
125,0,1,9.3028,3,10,36,1,12,200,40,10,120.1,0.400666667
