LGBM,RF,XGB,DT,MLP,PLS,MLR,lasso,kNN
0.46841032667463967,0.06443114754098364,0.07817217707633972,0.029344262295082024,0.14709793500006618,0.1809986195551696,0.18170744730702665,0.22539549388460245,0.15324577598231914
0.0875427256851593,0.13241065573770572,0.03433712539125655,0.09385245901639355,0.20818433234065725,0.1984233178282859,0.19875864597553478,0.20143279952139492,0.1400374000482199
0.07242212389445371,0.08922868852459015,0.005195271910214072,0.0025901639344262373,0.034415604217101256,0.049863654399643326,0.04913973426596702,0.050806103931558266,0.04341686243182169
0.04917736681004038,0.002980327868852717,0.017021281132932664,0.009934426229508197,0.020750128235604404,0.4996806446183411,0.5000417465700691,0.5106121584810606,0.1340429600157459
0.02054896126683225,0.03213278688524591,0.0006253421306610107,0.0006816220880069045,0.00013922555581923068,0.21710299362591,0.21638174616480382,0.21963684724021432,0.16245158388808884
0.18254482262146365,0.23621967213114847,0.2121897921796706,0.2778360655737706,0.204594789691541,0.1776990718590553,0.17798814647531436,0.23282700486066465,0.03782332265313998
0.0866351074195782,0.0869081967213115,0.10360295242950568,0.005792349726775985,0.07486088534089763,0.13239664669530993,0.13246269596483204,0.1611719221047912,0.1604746091317612
0.03824588648225755,0.09828196721311455,0.09147425991589908,0.0007618129218900698,0.1578053187016052,0.23076288268715295,0.230457087518947,0.181206353491566,0.1740937896722528
0.12844798718200112,0.2503844262295083,0.3105925177355281,0.37039344262295093,0.15908113470770135,0.07192680989682951,0.07264766302852879,0.10746826769424334,0.1666381465612789
0.04204163959023233,0.06435163934426233,0.0315384566783905,0.0032377049180327966,0.002339454714875691,0.09528974899341344,0.09430461309084409,0.12927442760000146,0.24056766120685485
0.2095085514599271,0.4342934426229508,0.38290849122844783,0.19167577413479053,0.4436456242406953,0.4310094749336405,0.4316641653591922,0.46538633704245186,0.400662816663899
0.2858818029178801,0.05300409836065577,0.05712178855645855,0.33196721311475413,0.1533071180870375,0.19210018429488607,0.19225229816455314,0.16488955703783253,0.03744439054863915
0.29391654322282346,0.037659836065573826,0.04282134771347046,0.4245355191256832,0.012955315262448294,0.3350936195877046,0.33544493564685085,0.40967862073304245,0.05588168321312363
0.044427060628789566,0.25648196721311567,0.2925482175780124,0.048233151183970854,0.2258939013326443,0.3362843384076196,0.3364455557539319,0.37442590684745036,0.048377349762265764
0.06421413182500879,0.1912352459016391,0.24746559545642038,0.11338797814207655,0.21951229060984495,0.11217901259437352,0.11180099999994497,0.11338185880959578,0.11901754070759127
0.04468718220011536,0.024368852459016654,0.07820140432138922,0.0007618129218900698,0.18294455569400558,0.19604604375870427,0.19590466976564735,0.23265251699224976,0.4606187166989555
0.08323468409815468,0.05509016393442625,0.05379223823547363,0.055311475409836094,0.21334809453754133,0.07253682917068865,0.07288559677536346,0.09731636605380256,0.06839165052270871
0.3427753996049441,0.027236885245901565,0.046301692724227905,0.13944262295081977,0.1305757375963686,0.1216611003908975,0.12129292286580279,0.0854747905766799,0.23111251141277983
0.004327437555396586,0.07743442622950816,0.0673789598511868,0.06209016393442625,0.20342202669342152,0.2949020531258077,0.29500400465012966,0.25852479140285795,0.2859391329259031
0.0008969734751167052,0.016698360655737626,0.03669569980902748,0.04727868852459019,0.07123489658109688,0.20760352929238612,0.20630738399764748,0.2002843944622038,0.048149313629642324
