,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_N2a
58,59,18PG,0,1,9.3028,149.0,3,10,36,1,8,1,80,500,0.693
59,60,18PG,0,1,9.3028,149.0,3,10,36,1,12,1,80,500,1.386
60,61,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,20,100,5.677
61,62,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,20,100,5.17
62,63,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,20,100,3.951
63,64,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,40,100,5.308
64,65,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,40,100,3.178
65,66,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,40,100,4.344
66,67,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,60,100,5.313
67,68,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,60,100,4.554
68,69,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,60,100,5.278
69,70,18PG,0,1,9.3028,149.0,3,10,36,1,4,200,80,100,4.682
70,71,18PG,0,1,9.3028,149.0,3,10,36,1,8,200,80,100,3.497
71,72,18PG,0,1,9.3028,149.0,3,10,36,1,12,200,80,100,5.136
72,73,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,20,100,5.908
73,74,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,20,100,5.13
74,75,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,20,100,4.443
75,76,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,100,5.407
76,77,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,100,4.625
77,78,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,100,4.654
78,79,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,100,4.575
79,80,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,100,4.736
80,81,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,100,5.13
81,82,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,100,5.056
82,83,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,100,4.205
83,84,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,100,5.165
84,85,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,100,6.014
85,86,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,20,100,5.198
86,87,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,20,100,4.511
87,88,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,100,5.714
88,89,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,100,5.17
89,90,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,100,4.927
90,91,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,100,4.883
91,92,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,100,5.236
92,93,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,100,5.075
