,Iter,Valid Score,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Formulation_Index,Experimental_Transfection,Predicted_Transfection,Score_difference
0,5,0.10898468229920759,0.10629067746244883,"SignificanceResult(statistic=0.5879012405677199, pvalue=1.0215296086413551e-10)","PearsonRResult(statistic=0.6131420200545583, pvalue=9.379708957117848e-12)","{'positive': False, 'fit_intercept': False}","[ 181  184  202  203  211  212  225  230  231  232  233  235  237  239
  240  254  256  266  268  275  276  279  288  290  295  303  307  317
  326  330  332  339  342  345  346  349  355  357  362  364  368  371
  375  378  379  380  382  388  398  403  412  418  421  429  441  443
  446  465  489  502  506  508  528  537  539  548  554  557  561  569
  578  585  586  596  597  599  607  615  617  618  627  653  654  902
  908  913  916  921  927  929  930  931  941  945  952  968  982  990
 1015 1018 1019]","[[0.19318287]
 [0.1207393 ]
 [0.04745983]
 [0.06445621]
 [0.10207114]
 [0.10207114]
 [0.34345686]
 [0.1714498 ]
 [0.20414229]
 [0.0267484 ]
 [0.30844246]
 [0.20748584]
 [0.34940095]
 [0.4439491 ]
 [0.49243057]
 [0.23581313]
 [0.20414229]
 [0.21389431]
 [0.2555958 ]
 [0.18918919]
 [0.51518529]
 [0.31382929]
 [0.47608433]
 [0.16643448]
 [0.47589858]
 [0.19699081]
 [0.1431225 ]
 [0.1714498 ]
 [0.09111173]
 [0.21073651]
 [0.18510263]
 [0.06445621]
 [0.19699081]
 [0.29126033]
 [0.16114052]
 [0.04745983]
 [0.20061298]
 [0.34568589]
 [0.5812204 ]
 [0.46475341]
 [0.26135414]
 [0.1207393 ]
 [0.51611405]
 [0.50654778]
 [0.28568775]
 [0.21389431]
 [0.1207393 ]
 [0.51388502]
 [0.54221232]
 [0.59190118]
 [0.76966657]
 [0.7160769 ]
 [0.52503018]
 [0.44283459]
 [0.45834494]
 [0.1207393 ]
 [0.31698709]
 [0.78443392]
 [0.47441256]
 [0.1431225 ]
 [0.12881954]
 [0.37336305]
 [0.62134299]
 [0.39333148]
 [0.59914554]
 [0.13624965]
 [0.32098077]
 [0.32293118]
 [0.20748584]
 [0.36147488]
 [0.37392031]
 [0.34568589]
 [0.419987  ]
 [0.16643448]
 [0.14953097]
 [0.24519365]
 [0.21073651]
 [0.21695923]
 [0.44571375]
 [0.47571283]
 [0.22550385]
 [0.40271199]
 [0.52122225]
 [0.39333148]
 [0.33370484]
 [0.31698709]
 [0.40057583]
 [0.44942881]
 [0.3311043 ]
 [0.36082474]
 [0.27825764]
 [0.26850562]
 [0.26850562]
 [0.40057583]
 [0.56496703]
 [0.35562366]
 [0.39147395]
 [0.55428625]
 [0.35079409]
 [0.33203306]
 [0.36936937]]","[0.10538751 0.12701812 0.08602093 0.22092967 0.22687145 0.27337129
 0.34087543 0.31014395 0.37324328 0.28334329 0.31014813 0.29156385
 0.36401702 0.3686944  0.38794078 0.21203524 0.19438789 0.24938598
 0.22081355 0.26578091 0.31348175 0.31358013 0.35288172 0.30119309
 0.28331805 0.21641703 0.15109213 0.27037423 0.26287836 0.30272808
 0.27328375 0.32378548 0.31893759 0.3317577  0.25941453 0.23114968
 0.26573613 0.33791783 0.34437872 0.36696039 0.41465665 0.38800196
 0.43145928 0.44250947 0.49159957 0.44776994 0.42070458 0.47088545
 0.5531914  0.57219099 0.44500101 0.5064779  0.42814814 0.41988145
 0.46565935 0.44509565 0.42572448 0.51216373 0.39037775 0.38738699
 0.42833558 0.39289511 0.50742097 0.4976628  0.49308578 0.24067305
 0.2435349  0.28146321 0.34153413 0.34944333 0.32491869 0.37161482
 0.31786205 0.3633197  0.39836762 0.35442209 0.20965021 0.32902638
 0.28647149 0.34807331 0.3435568  0.34227582 0.39408233 0.32844108
 0.31397154 0.34832411 0.32428832 0.39345961 0.43789967 0.40649289
 0.37592586 0.30801491 0.44899921 0.42907995 0.45240718 0.32857996
 0.37330771 0.44065695 0.41976169 0.45895015 0.50762216]",0.0026940048367587593
1,1,0.10784409541549454,0.1128098900218409,"SignificanceResult(statistic=0.6731570667753888, pvalue=1.2437017531317294e-14)","PearsonRResult(statistic=0.6826241438451592, pvalue=3.7871765885240775e-15)","{'positive': False, 'fit_intercept': False}","[ 187  189  192  195  199  206  226  228  236  243  244  245  247  249
  251  253  261  270  281  283  284  287  289  298  304  305  310  314
  315  319  323  325  333  334  335  343  347  350  373  381  383  384
  386  387  390  394  400  402  406  407  409  410  430  434  442  445
  458  459  466  469  477  480  484  492  503  519  531  543  553  555
  566  570  573  593  601  602  606  613  629  631  632  640  655  903
  907  915  918  920  932  942  943  949  953  955  960  967  971  978
  993 1002 1020]","[[0.12881954]
 [0.23822792]
 [0.11182316]
 [0.16643448]
 [0.06445621]
 [0.19699081]
 [0.1207393 ]
 [0.3633324 ]
 [0.31596545]
 [0.28856692]
 [0.16643448]
 [0.2925606 ]
 [0.1714498 ]
 [0.19318287]
 [0.10207114]
 [0.28568775]
 [0.36398254]
 [0.53320331]
 [0.50441163]
 [0.31995913]
 [0.39853255]
 [0.34717191]
 [0.39100957]
 [0.59050803]
 [0.18510263]
 [0.1714498 ]
 [0.07875917]
 [0.07875917]
 [0.11182316]
 [0.18073744]
 [0.15547506]
 [0.09111173]
 [0.20061298]
 [0.1207393 ]
 [0.18510263]
 [0.27509984]
 [0.27825764]
 [0.04745983]
 [0.56803195]
 [0.3562738 ]
 [0.1714498 ]
 [0.49382372]
 [0.51369927]
 [0.53078852]
 [0.54258382]
 [0.29525402]
 [0.54072629]
 [0.51184174]
 [0.57750534]
 [0.59087954]
 [0.95133278]
 [0.87758893]
 [0.23822792]
 [0.327575  ]
 [0.21073651]
 [0.49196619]
 [0.54880654]
 [0.64493359]
 [0.63109501]
 [0.82873595]
 [0.84090276]
 [1.        ]
 [0.31169314]
 [0.36816198]
 [0.16643448]
 [0.20061298]
 [0.21073651]
 [0.3311043 ]
 [0.38683013]
 [0.34262097]
 [0.32385994]
 [0.45964521]
 [0.29646141]
 [0.32190954]
 [0.32293118]
 [0.31995913]
 [0.41413579]
 [0.33872016]
 [0.37977152]
 [0.39193833]
 [0.3311043 ]
 [0.56431689]
 [0.11182316]
 [0.38961642]
 [0.40057583]
 [0.34791493]
 [0.3633324 ]
 [0.4069843 ]
 [0.30732795]
 [0.23339835]
 [0.34419987]
 [0.65431411]
 [0.51063435]
 [0.5312529 ]
 [0.57926999]
 [0.35005108]
 [0.43466147]
 [0.48797251]
 [0.45611591]
 [0.55001393]
 [0.53292468]]","[0.12013405 0.22507101 0.2343502  0.25051276 0.17372785 0.2340585
 0.11205823 0.36564797 0.31011365 0.19940881 0.13703295 0.17034613
 0.15654188 0.22947007 0.1938014  0.15225985 0.28336591 0.29657987
 0.29349542 0.25669105 0.28422703 0.27219784 0.21143021 0.27521051
 0.11851479 0.18028955 0.15201736 0.21091491 0.25825306 0.18776541
 0.07862271 0.17031452 0.30812862 0.22457501 0.1002055  0.22975452
 0.1461108  0.2407647  0.32857493 0.53246961 0.44641663 0.34248794
 0.49665656 0.44881758 0.465745   0.42723268 0.51669345 0.58094864
 0.48495011 0.54162414 0.46666299 0.58590281 0.34055715 0.39113262
 0.37832318 0.51393112 0.43925819 0.47903577 0.42251469 0.54676059
 0.52516251 0.55129277 0.29586633 0.41447646 0.42386749 0.46406773
 0.46331845 0.24187097 0.1986385  0.30517568 0.27800846 0.35874107
 0.35438876 0.3314289  0.21290022 0.23662173 0.29502387 0.23149383
 0.29772808 0.27870013 0.33036996 0.27605771 0.31138266 0.40099578
 0.21894676 0.43589005 0.36484146 0.33228256 0.34832079 0.42905039
 0.32887161 0.38486419 0.46737481 0.4143357  0.62463556 0.29431991
 0.31853728 0.43245259 0.44759511 0.43379499 0.53234978]",0.004965794606346358
2,4,0.11035501757478947,0.10532418490492015,"SignificanceResult(statistic=0.5399320865887768, pvalue=5.646824870078239e-09)","PearsonRResult(statistic=0.5906017973013498, pvalue=7.990131118320429e-11)","{'positive': False, 'fit_intercept': True}","[ 183  185  186  188  190  191  196  207  208  209  210  213  216  217
  221  222  234  238  248  255  258  259  260  262  267  278  296  300
  302  306  308  312  316  322  324  329  331  336  337  352  359  360
  377  389  396  399  405  408  411  415  417  423  435  455  456  479
  491  493  494  505  507  514  515  527  530  541  542  544  547  556
  574  576  579  580  581  583  592  603  604  620  639  641  649  909
  911  923  925  926  928  935  938  939  944  954  956  966  979  981
  983  992 1004]","[[0.31280765]
 [0.17627937]
 [0.20414229]
 [0.10207114]
 [0.1207393 ]
 [0.11182316]
 [0.0267484 ]
 [0.18918919]
 [0.13624965]
 [0.1714498 ]
 [0.11182316]
 [0.16643448]
 [0.41302127]
 [0.20414229]
 [0.28568775]
 [0.31596545]
 [0.20414229]
 [0.30026934]
 [0.1431225 ]
 [0.28132256]
 [0.32190954]
 [0.20414229]
 [0.17627937]
 [0.12881954]
 [0.23079781]
 [0.27667874]
 [0.54824928]
 [0.52150088]
 [0.10207114]
 [0.26321167]
 [0.1714498 ]
 [0.34419987]
 [0.21389431]
 [0.10207114]
 [0.26674097]
 [0.22271756]
 [0.10207114]
 [0.3106715 ]
 [0.1431225 ]
 [0.09111173]
 [0.39463175]
 [0.53422495]
 [0.43716913]
 [0.50673354]
 [0.50338999]
 [0.48815826]
 [0.64270456]
 [0.65570725]
 [0.83375128]
 [0.60183895]
 [0.80505248]
 [0.32571747]
 [0.31382929]
 [0.33872016]
 [0.61019783]
 [0.82827157]
 [0.21073651]
 [0.04745983]
 [0.10207114]
 [0.09111173]
 [0.07875917]
 [0.21073651]
 [0.23079781]
 [0.4486858 ]
 [0.15547506]
 [0.3833937 ]
 [0.36816198]
 [0.30500604]
 [0.16114052]
 [0.32933965]
 [0.14953097]
 [0.23822792]
 [0.39463175]
 [0.28856692]
 [0.40549828]
 [0.32850376]
 [0.04745983]
 [0.25160212]
 [0.38627287]
 [0.2842946 ]
 [0.35293025]
 [0.53329618]
 [0.25160212]
 [0.4738553 ]
 [0.34187796]
 [0.38775889]
 [0.36992663]
 [0.27983654]
 [0.2925606 ]
 [0.37874988]
 [0.30612055]
 [0.32850376]
 [0.30268413]
 [0.49809603]
 [0.53431782]
 [0.48945853]
 [0.12881954]
 [0.38534411]
 [0.25355252]
 [0.40224761]
 [0.50561902]]","[0.1866641  0.15076491 0.18780311 0.16692569 0.02528728 0.13654004
 0.17696047 0.29025744 0.21264199 0.24398461 0.274823   0.2891075
 0.2799574  0.22018841 0.28023508 0.30596735 0.31258412 0.29114356
 0.1794838  0.27124257 0.25920163 0.20665657 0.25139926 0.16010381
 0.30036242 0.28468963 0.32025004 0.36730932 0.17534625 0.22306086
 0.18833619 0.21497563 0.1830303  0.21050646 0.27490987 0.27111111
 0.23722657 0.30174956 0.2283139  0.25920793 0.38714493 0.33659599
 0.41264764 0.4311189  0.48801186 0.48484347 0.5741485  0.39280227
 0.52960505 0.53883078 0.57717748 0.4351466  0.47085499 0.46957229
 0.50512549 0.54640398 0.37184557 0.38664982 0.41822643 0.41217658
 0.49450862 0.42755637 0.46269485 0.4853926  0.4733523  0.11371397
 0.21502423 0.18099043 0.17906179 0.23615842 0.27247239 0.33593323
 0.34071082 0.28559592 0.32142178 0.29443892 0.29918621 0.27619397
 0.2042027  0.29496702 0.37579147 0.34805521 0.30386787 0.31077076
 0.29376556 0.37100523 0.38074828 0.43222628 0.37474526 0.40131551
 0.47162181 0.4597286  0.40113429 0.48824802 0.46677231 0.34896072
 0.37144833 0.42479752 0.38895401 0.43183109 0.449846  ]",0.005030832669869312
3,2,0.11287267863455383,0.09875119219681829,"SignificanceResult(statistic=0.6670472350184314, pvalue=2.6183013462132833e-14)","PearsonRResult(statistic=0.7052536169315464, pvalue=1.8268006670796495e-16)","{'positive': False, 'fit_intercept': False}","[ 182  193  194  205  214  215  220  223  224  241  242  257  263  264
  265  273  277  286  301  309  320  321  327  328  338  341  344  351
  353  354  356  361  365  369  370  372  374  376  391  392  393  395
  397  401  413  420  422  431  433  444  447  453  457  467  468  481
  482  501  513  516  526  529  532  538  540  546  551  560  564  565
  571  589  590  594  600  605  616  630  637  638  642  652  656  901
  904  914  917  919  924  933  940  948  950  951  969  972  980  991
 1005 1008 1014]","[[0.19699081]
 [0.14953097]
 [0.16643448]
 [0.14953097]
 [0.13624965]
 [0.11182316]
 [0.07875917]
 [0.19699081]
 [0.21073651]
 [0.27017739]
 [0.24519365]
 [0.29896907]
 [0.12881954]
 [0.42871738]
 [0.26850562]
 [0.43995542]
 [0.29896907]
 [0.31169314]
 [0.07875917]
 [0.25160212]
 [0.19318287]
 [0.21389431]
 [0.10207114]
 [0.22550385]
 [0.09111173]
 [0.19699081]
 [0.26321167]
 [0.10207114]
 [0.1207393 ]
 [0.40930621]
 [0.27017739]
 [0.65422123]
 [0.54128355]
 [0.34717191]
 [0.19699081]
 [0.39193833]
 [0.55530789]
 [0.51147023]
 [0.33537661]
 [0.30379864]
 [0.43577598]
 [0.27184917]
 [0.60629702]
 [0.5178787 ]
 [0.83820934]
 [0.89458531]
 [0.38237206]
 [0.21993127]
 [0.46949011]
 [0.49354509]
 [0.35692393]
 [0.54397697]
 [0.6366676 ]
 [0.68487044]
 [0.71180459]
 [0.1431225 ]
 [0.16114052]
 [0.50348286]
 [0.49196619]
 [0.46846847]
 [0.42360918]
 [0.21993127]
 [0.36881211]
 [0.35692393]
 [0.56385251]
 [0.36992663]
 [0.09111173]
 [0.19699081]
 [0.19699081]
 [0.37874988]
 [0.18510263]
 [0.11182316]
 [0.23079781]
 [0.34791493]
 [0.27983654]
 [0.38487973]
 [0.42425931]
 [0.45425838]
 [0.43289681]
 [0.33946317]
 [0.51732145]
 [0.22819727]
 [0.21389431]
 [0.28717377]
 [0.31485093]
 [0.39546763]
 [0.35766695]
 [0.24519365]
 [0.39147395]
 [0.25355252]
 [0.32293118]
 [0.43521872]
 [0.51555679]
 [0.42425931]
 [0.36082474]
 [0.42295904]
 [0.45611591]
 [0.52744497]
 [0.45611591]
 [0.3728058 ]
 [0.40271199]]","[0.18658416 0.17130334 0.25008968 0.21468078 0.09462894 0.22157277
 0.2273277  0.24688994 0.30252691 0.10084877 0.15444202 0.23058403
 0.24316744 0.28357285 0.19072543 0.30457961 0.20316873 0.22505983
 0.09366843 0.21757032 0.22984271 0.28991988 0.30744925 0.2019617
 0.28013915 0.29430756 0.29279795 0.26943191 0.28358078 0.33317544
 0.29904906 0.29891343 0.333778   0.45311235 0.2594258  0.27183288
 0.40912503 0.41044042 0.5191477  0.47738296 0.55750179 0.4836231
 0.6027582  0.57206932 0.55755856 1.02619783 0.3729535  0.38595226
 0.49842243 0.47677465 0.47824627 0.49659389 0.48920458 0.4845196
 0.53822568 0.27671128 0.3056103  0.44539122 0.47025109 0.48820749
 0.43110785 0.38780043 0.40362981 0.44430271 0.52180352 0.26522233
 0.24765821 0.30186217 0.35320439 0.2669479  0.27791227 0.35566356
 0.3577066  0.39040825 0.4142081  0.24167466 0.25042226 0.36707459
 0.28267123 0.33742715 0.38277412 0.28194735 0.36952491 0.27052672
 0.26824129 0.37888709 0.37114471 0.24589321 0.36354196 0.41169807
 0.38352259 0.60849762 0.44491099 0.49824701 0.36916615 0.35020391
 0.36636468 0.38046435 0.46529625 0.47148936 0.48166269]",0.014121486437735545
4,3,0.10548468672505415,0.12278624821309282,"SignificanceResult(statistic=0.46145333741413136, pvalue=1.1929884896697063e-06)","PearsonRResult(statistic=0.5495143870550381, pvalue=2.6637819731580453e-09)","{'positive': False, 'fit_intercept': True}","[ 197  198  200  201  204  218  219  227  229  246  250  252  269  271
  272  274  280  282  285  291  292  293  294  297  299  311  313  318
  340  348  358  363  366  367  385  404  414  416  419  432  454  470
  471  478  483  490  495  496  504  517  518  520  525  545  549  550
  552  558  559  562  563  567  568  572  575  577  582  584  587  588
  591  595  598  608  614  619  625  626  628  643  644  650  651  905
  906  912  936  937  947  957  959  970  984  994  995  996 1003 1006
 1007 1016 1017]","[[0.14953097]
 [0.27825764]
 [0.07875917]
 [0.24946596]
 [0.13624965]
 [0.31169314]
 [0.38915204]
 [0.29395375]
 [0.26850562]
 [0.3728058 ]
 [0.11182316]
 [0.50487601]
 [0.3515371 ]
 [0.21993127]
 [0.29126033]
 [0.22819727]
 [0.36639733]
 [0.57527631]
 [0.53673261]
 [0.21993127]
 [0.41590044]
 [0.43577598]
 [0.39769667]
 [0.50515464]
 [0.59561623]
 [0.12881954]
 [0.09111173]
 [0.1207393 ]
 [0.24946596]
 [0.39286709]
 [0.38283644]
 [0.58242779]
 [0.56896071]
 [0.25160212]
 [0.56654593]
 [0.58177765]
 [0.85037615]
 [0.78554844]
 [0.85009752]
 [0.4085632 ]
 [0.33203306]
 [0.75805703]
 [0.68635646]
 [0.62227176]
 [0.10207114]
 [0.18073744]
 [0.09111173]
 [0.3106715 ]
 [0.47812761]
 [0.27983654]
 [0.18918919]
 [0.50868394]
 [0.66044395]
 [0.35497353]
 [0.22271756]
 [0.14953097]
 [0.16643448]
 [0.44822142]
 [0.1431225 ]
 [0.20061298]
 [0.07875917]
 [0.33026841]
 [0.18510263]
 [0.1431225 ]
 [0.11182316]
 [0.47060463]
 [0.41339277]
 [0.30732795]
 [0.37874988]
 [0.36147488]
 [0.23822792]
 [0.        ]
 [0.        ]
 [0.23079781]
 [0.28568775]
 [0.26135414]
 [0.36639733]
 [0.28856692]
 [0.47329804]
 [0.6417758 ]
 [0.56886784]
 [0.22819727]
 [0.16114052]
 [0.32098077]
 [0.39546763]
 [0.47775611]
 [0.43076066]
 [0.40624129]
 [0.32664623]
 [0.504133  ]
 [0.4081917 ]
 [0.38822327]
 [0.43828364]
 [0.46744683]
 [0.46159562]
 [0.29646141]
 [0.59840253]
 [0.47970651]
 [0.40744869]
 [0.46828272]
 [0.38283644]]","[0.2153007  0.23921402 0.22344221 0.25518942 0.26844921 0.27709041
 0.33970834 0.29928201 0.24039273 0.19807944 0.09927839 0.21168763
 0.23542867 0.20185466 0.25311929 0.16243765 0.22378208 0.30145916
 0.30720941 0.29590298 0.22707975 0.28466286 0.29081231 0.32335425
 0.26852862 0.03914363 0.14715397 0.24768378 0.19886777 0.30853693
 0.24239728 0.40048326 0.40816423 0.40020781 0.44394388 0.50822127
 0.59199249 0.55294315 0.59941125 0.41977088 0.41771552 0.44625083
 0.53410109 0.46022946 0.45401975 0.33447356 0.45877257 0.34822869
 0.45141414 0.37948373 0.44921961 0.39543784 0.47905023 0.24991226
 0.29397216 0.22496106 0.29600613 0.3286905  0.28115902 0.25491891
 0.3080527  0.34149735 0.28505793 0.34803485 0.33523009 0.27340965
 0.41667672 0.34634103 0.35127245 0.3846617  0.3863586  0.33099002
 0.30004281 0.27161475 0.32841771 0.27654443 0.28536913 0.31119961
 0.28673895 0.32471846 0.36189814 0.32199834 0.3957778  0.30641173
 0.32955195 0.27545494 0.37649284 0.36518567 0.43505048 0.49061914
 0.49877552 0.312644   0.39301464 0.38258421 0.3974605  0.43202524
 0.37819777 0.4009522  0.40412046 0.44245917 0.4941614 ]",0.017301561488038672
