LGBM,RF,XGB,MLP,DT,kNN,MLR,PLS,lasso
0.2641404042014397,0.2861843223023832,0.3223217619293204,0.28933398073786265,0.2422020051986631,0.28825628062856146,0.293685116034359,0.2865046280977176,0.3030290588593477
0.07248418544255791,0.21641624451520478,0.12455032500267202,0.25773790131313334,0.1541960638692907,0.17830674856207848,0.42779646590764153,0.42548765370666497,0.43942080549934004
0.10734887824229666,0.03642027872486486,0.1658193120394681,0.06993229548495408,0.13126624582250276,0.05605850676280616,0.13290447922332072,0.1339740670092946,0.16528097639567596
0.027186288495158473,0.00535956536346488,0.046416303514327684,0.1349589673263507,0.026643148904567315,0.08256593209429652,0.03411127448928197,0.03647535640123706,0.03989422878469584
0.24924609322920044,0.11022687672808573,0.15861630218426537,0.25223275949724044,0.10466951355365761,0.192633525726574,0.03556802140215254,0.03526831768789063,0.012715590854325276
0.027426923522574087,0.052811659343152684,0.05392555224598894,0.04677940645710754,0.20785369476420346,0.022503778472084346,0.2752420119036496,0.2764383665735901,0.30001169859728705
0.01877596623099831,0.035674260575626004,0.06125797452512294,0.13627223662164012,0.04850538432974372,0.019309017057756395,0.08461403581480254,0.07770213813331661,0.06795896113651245
0.10895445573700224,0.05237134199402016,0.04013885466352174,0.04668907985651405,0.12374675083549946,0.03281681663874014,0.018275630050799463,0.012982354798775964,0.052004392245872055
0.049244339083945876,0.17594258479784908,0.0975527907896343,0.07200756811219544,0.01160415893056077,0.09024551233101563,0.2575189874239343,0.2597146654376289,0.2825664233687051
0.18651896450048933,0.29314747338779523,0.2357573963057096,0.3281473878461635,0.24953583364277757,0.5075869604892621,0.5521048994018145,0.5669045279024043,0.5558996568106555
0.0634472873173011,0.08861554622647083,0.04757623326322469,0.080516576513735,0.01995915336056442,0.12167966670332642,0.03800141174158811,0.04075129174418979,0.10336308318482379
0.025800197699155036,0.062421463052357934,0.14173451525280564,0.07960170615320028,0.13795024136650566,0.0019984030191271818,0.061620098588959366,0.06172645291022019,0.08076376828282503
0.23700231464738983,0.3271899987622233,0.46677490886241313,0.18127359438667237,0.058949127367248416,0.6243144839679015,0.5401338314372564,0.5510232735428519,0.5383701632991312
