LGBM,XGB,DT,RF,kNN,MLP,MLR,lasso,PLS
1.702326018582223e-05,0.03349796575063774,0.0020298564715660605,0.03252062044702936,0.013248839968781956,0.07521238282990367,0.04804010944865661,0.002976870024733347,0.03181172555035394
0.1309320495232404,0.16841852531573948,0.18657417766838214,0.13308682031774416,0.19894434445145276,0.16703839799059755,0.11651818586296059,0.061353693295135986,0.10710779584456537
0.27339455505582283,0.2454637497576806,0.30837435667934676,0.28506041620049233,0.433551715702263,0.2168110307578024,0.34759246353770706,0.3958501222458555,0.37747949550707766
0.022385504348406582,0.0011025743613604089,0.11084694562541952,0.07105784291787953,0.3062123636226764,0.1108488067718798,0.14507948206795207,0.1897770958537942,0.16762159589474468
0.07786249944101487,0.11569271776654316,0.005562126394527522,0.08813157305884994,0.03469280836847599,0.07148808078752661,0.025332317557620554,0.024028467203892734,0.03109378601548768
0.03657392260378781,0.03053349311198661,0.06270178691301984,0.035403893488476154,0.1394729001102888,0.04239392472197441,0.06161717537320674,0.09513943188775048,0.05869865725409529
0.09972647175069876,0.12798692136969603,0.13118147236518235,0.1257579995524725,0.1787746388154292,0.16659553554837034,0.0809499044317458,0.15749788409295987,0.10240822481463524
0.0280621848735087,0.014911159616264658,0.03556244605696382,0.028059968673081165,0.042280844851143556,0.02684086010212569,0.09787914512243406,0.09787085860999056,0.09196687710388579
0.11299792024952199,0.060756407646451016,0.04010964421570823,0.07940087267845103,0.03032277798390587,0.05836029016197336,0.10450886018132483,0.044727699810738375,0.13707088796407801
0.0781856523304113,0.08255425132235872,0.09134034459610652,0.052413291564108455,0.3754853016198334,0.19961307588957922,0.3304755844809586,0.39519546797115845,0.3502025244422593
0.07425725945320194,0.1097460838872919,0.08831953457149255,0.10635600805549283,0.06959531001173691,0.17699024817251086,0.13210434271882943,0.12176055599209429,0.12795153585096491
0.015579375434681908,0.108448456293466,0.11693518311329898,0.11316010293130396,0.13211935448744005,0.0457611816166833,0.014815932427561962,0.01965617783417728,0.028437410960528764
0.08648852672219465,0.05197806733383853,0.09856791228462741,0.05158368762586746,0.01826142933441738,0.0809437609698343,0.004953933751113637,0.005834606773512441,0.033582487740229816
0.008698130793475367,0.03728228869468042,0.021816961288878944,0.00836988140523609,0.01723117000303953,0.15847057226225048,0.2133957603499082,0.1883947817198423,0.2203607345008498
0.329241712651728,0.36849862337112427,0.3679794137390915,0.33268516446632374,0.4084354632756954,0.40369098831878514,0.42164475798559864,0.4137347285473752,0.4214646880049183
0.015581983318450454,0.012663601968719962,0.037637055269635344,0.01229581561870663,0.0331554193652116,0.08796990844539815,0.046752331551556725,0.0014758808557205072,0.038874973697706705
0.010299686963004262,0.030384614153392775,0.010024614007607957,0.04462631461177058,0.0828865846017236,0.12105731306858114,0.012887277703542754,0.03149183768607672,0.02656658290928343
0.0218978518966092,0.049733966588974,0.09358916983665248,0.06215540389348842,0.22148747228461865,0.32352137167403183,0.22984948379662062,0.2586035439485674,0.2534597646661621
0.1016685288499527,0.06873197361083333,0.06334111178595403,0.08601875885731375,0.10717234608511755,0.006825666047193424,0.15777807626438717,0.10767551337697528,0.16502478438826546
0.07994817646486946,0.048311211000381826,0.03426381740881623,0.003950548221078987,0.006565865129675719,0.1525330715968085,0.005333565307648169,0.012081363537805645,0.028938670053569426
0.06534740468880973,0.009530018135641694,0.03454352204072497,0.04010349071380526,0.21737265699162778,0.07181250342491297,0.23758030851888523,0.28544007770243474,0.2584198585036078
0.02904788220542387,0.10864794635751363,0.06497538599239183,0.06030487804878115,0.019522019376651656,0.008038273816525332,0.1773001928426967,0.22662678271096226,0.19356350940700662
0.06466283053807209,0.060462083111515685,0.0061814723651822945,0.057866273215485264,0.17309827530305644,0.03256459651954191,0.0772047336268914,0.14514038766833098,0.09726480626173928
0.007063637374465637,0.010419676196631145,0.027011475881469127,0.0073900760796600795,0.042616983313901236,0.07107808585223568,0.018382014014736547,0.028226671039907003,0.019451694858508006
0.0933703379599255,0.06966291211627162,0.08063884537927951,0.09704687849630717,0.11748385526002547,0.16091595452822094,0.12237129651196865,0.1355606878201308,0.13897706550626426
0.04738029306090591,0.058744180966714576,0.03297318032158042,0.011714263071530229,0.035456349769722006,0.08027220818146386,0.05413063463789353,0.00202303036460888,0.04557585424334354
0.05565904338534803,0.023364365100860596,0.015523607070933088,0.05666088610427391,0.2627832182902319,0.5115882129360622,0.45951105875995296,0.5176617308962619,0.47247899425290474
0.031236630405353405,0.0443348226917486,0.0194674423808458,0.031988140523607184,0.07577414394767551,0.1411882887866432,0.21360204129097754,0.18910000357863826,0.22384623085544186
0.0033086634633702205,0.024520771685903553,0.02008279257104495,0.02017173864399202,0.1090922298006054,0.07758536213008532,0.019931194827682908,0.013983092020958043,0.020279402330974527
0.02184465571669364,0.020015525495107045,0.05594092638174086,0.03135712687402076,0.07251246102035258,0.021435344339028717,0.05887485969422851,0.025175961044926753,0.020076515653159543
0.07111438047233767,0.09169699225977357,0.03563437010516893,0.07726113224435022,0.08551304163183607,0.10682853757500183,0.04743181142523248,0.055702621449149364,0.07026883936800016
0.09545301684034718,0.08241187404481903,0.05129782949205636,0.050139852315955025,0.07820871106293548,0.07814101503760257,0.1542606800749829,0.1346221241394518,0.14822526333812297
0.12393713584029853,0.14595992270666197,0.16728201685686583,0.11074650236017441,0.08496762589883378,0.01932043360207486,0.04825571430324732,0.05705390531364546,0.051353180191676395
0.07338249598342328,0.02806884765251544,0.03838946072946964,0.04128376882496976,0.033617035407851215,0.019392100752112895,0.09177468958138307,0.07953174048354267,0.08739814912871591
0.027340776731259564,0.08231370971623786,0.023351340983920887,0.014316961288878938,0.08455450374502987,0.0020183774818052225,0.03808567445917399,0.08942475528699156,0.05015834473746639
0.02892064016313059,0.04553873845330014,0.022236518236741998,0.008901879615126534,0.03479864668193125,0.20919462070529593,0.29308378438709926,0.2693534508140336,0.30914636909124116
0.06309514593017995,0.03786810522352613,0.051890803311702816,0.03729469680017883,0.29475130126716276,0.08789788492782169,0.1415373751570318,0.1361286678692849,0.1723470735787338
0.014973729072137981,0.03497420430423484,0.017229805325576178,0.012961512642649275,0.2655999819168673,0.08774590324034834,0.08497407038508378,0.09870694345024963,0.05317301888721945
0.019840430350266725,0.005428716456978178,0.01910382635936453,0.01476336988140517,0.023529733608289444,0.028570566662865837,0.03420879620619832,0.03247901848436674,0.010929953779621249
0.039020584187372476,0.031149865177073133,0.002880957708659704,0.00128692101141209,0.13088531463128006,0.0005778843124618072,0.05003963694399355,0.09880154161976223,0.0814724726356571
0.10562994989319208,0.13087199974790936,0.1404303721936302,0.1330327813828593,0.09060523921081043,0.024007098356066237,0.005090994239443036,0.016958971303073223,0.016865352308668036
0.05829908787178262,0.21856410971795404,0.11167673603341544,0.1650648914746028,0.057035938635219274,0.29140797826195175,0.03026441411789005,0.02435028465935485,0.01992782160081874
0.003981843996458456,0.006477537885238249,0.04126842054790136,0.01387147790115395,0.02136027155833542,0.06467913060157482,0.007107490779207248,0.009662835202195741,0.004016415594107536
0.010565144636261514,0.025989664403830492,0.05640710076825539,0.021748153949428917,0.0365608642799099,0.09417673969475215,0.10834779333275085,0.049865616257988576,0.10167900201238383
0.06707845817610411,0.09078904900355578,0.0675486686059521,0.07962183933765948,0.022054951065426348,0.1421186278530734,0.22763739720082232,0.21248966144251724,0.24265452711084173
0.13883748945481328,0.08526941789799708,0.15276348176325796,0.0930912955918548,0.05738192684439275,0.016870173965012003,0.09059764885281385,0.03820643408588087,0.08306832278389309
0.03517866649155171,0.03763522822922527,0.06616692772432314,0.023944394719176643,0.02359460594384405,0.021769251007043355,0.061975337711603073,0.04538472077986605,0.03865952498381625
0.19312175501513906,0.16774872540894092,0.1514041172521816,0.2408094652047441,0.385308145472827,0.34395412133132075,0.39106682121034897,0.4460123234014347,0.42287224260356204
0.012029504069461683,0.015781951286723883,0.005183859178041428,0.019004251510404968,0.24045822753153023,0.1600444161436232,0.2959799511526995,0.3654734553318941,0.3175988785766295
0.12623927287387648,0.1481972320164095,0.12863616021481314,0.10337267845155507,0.011457766765747057,0.03380570718222309,0.06375253659093721,0.06810957968726605,0.07808023067830527
0.06040550010242747,0.04895862936973572,0.01527986446312693,0.04762307003803976,0.13365805101290132,0.14019450382518506,0.022564253217409125,0.031313336355286936,0.04819131881525679
0.08678668158174163,0.14066982231942515,0.05529760572835085,0.12621000223763737,0.1881501498593678,0.2840781436901829,0.3368020407973623,0.33227381078665574,0.35175958543176356
0.006868685797942531,0.057087082528353206,0.06907585589617365,0.031507048556724426,0.04926242826989863,0.030658075634738047,0.12688857734003178,0.12368497839988951,0.11661145535721357
0.13530914243206096,0.13448694348335266,0.1864790780935332,0.15282613560080538,0.21178702400592153,0.19200936730662738,0.11516121951090894,0.19132040810431494,0.14044838023021372
0.018192057746525325,0.027058229854000748,0.0357798165137615,0.0399748265831289,0.21812233720664265,0.1605170990174417,0.17744502853521515,0.15928182825507664,0.20947086954761968
0.10423539623773903,0.0026350782058414124,0.01447751174759454,0.14318315059297415,0.028318646358729604,0.22790302566190002,0.1768326145294276,0.1751071213610883,0.17934990581155713
0.18517854903419873,0.11307531595230103,0.06395912582979035,0.2944092638174096,0.611321545312405,0.37595746836819854,0.3913790213196626,0.45869897440721485,0.4242913822243096
0.022685432977253964,0.024510416949347497,0.035082952402263196,0.060971134481987044,0.17389802468944757,0.19307611135256858,0.22335677109713034,0.17149064193422042,0.21886606598946287
0.05408269286387468,0.04364379133439811,0.06371671514880287,0.04152215260684722,0.2160057158515326,0.15405762117837052,0.015633517181721956,0.07541359094481151,0.0250113467289394
0.0816827106613498,0.017071073315079177,0.0011859476392928059,6.656970239427018e-05,0.5244917358423283,0.26690983330333673,0.2533856888714475,0.3160379147143888,0.2829467600039701
0.002047806773983988,0.05447107553482056,0.015523607070933088,0.09975385992392026,0.20741901483808173,0.4522576617880697,0.47123546642999753,0.5070125317198114,0.4798773499689786
0.06628227288003197,0.021238841181447976,0.22541396285522491,0.05161193779369011,0.058997131298974104,0.018725977088551726,0.00610593169570367,0.0009549868679755713,0.018700432742963125
0.022699736020097054,0.03620162660922477,0.019691206086372787,0.024094316401879617,0.013292090575843046,0.03020198933913469,0.09492596986134746,0.11995721527479844,0.1013942838089266
0.16088534971254648,0.13417969166925753,0.09738196464533455,0.14029536809129606,0.1541319248202644,0.18574597824899258,0.2624898556106949,0.25437414883702975,0.24640416567130674
0.05952355863189841,0.07129891067709959,0.02218990079809055,0.16047885432982759,0.22057057255798307,0.36536660456655623,0.3832213936440904,0.39932799492554805,0.41218582908333806
