group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-1.6097,0.6553,-4.3274,1.108,False
DT,MLP,1.1117,0.9397,-1.6061,3.8294,False
DT,MLR,3.2851,0.0056,0.5673,6.0028,True
DT,PLS,3.3117,0.005,0.594,6.0294,True
DT,RF,-1.193,0.9112,-3.9108,1.5247,False
DT,XGB,-1.0839,0.9478,-3.8017,1.6338,False
DT,kNN,3.2319,0.0071,0.5142,5.9497,True
DT,lasso,3.345,0.0043,0.6273,6.0628,True
LGBM,MLP,2.7214,0.0494,0.0036,5.4391,True
LGBM,MLR,4.8948,0.0,2.177,7.6125,True
LGBM,PLS,4.9214,0.0,2.2037,7.6391,True
LGBM,RF,0.4167,0.9999,-2.3011,3.1344,False
LGBM,XGB,0.5258,0.9996,-2.192,3.2435,False
LGBM,kNN,4.8416,0.0,2.1239,7.5594,True
LGBM,lasso,4.9547,0.0,2.237,7.6725,True
MLP,MLR,2.1734,0.2404,-0.5443,4.8912,False
MLP,PLS,2.2001,0.2256,-0.5177,4.9178,False
MLP,RF,-2.3047,0.1733,-5.0224,0.4131,False
MLP,XGB,-2.1956,0.228,-4.9133,0.5222,False
MLP,kNN,2.1203,0.2718,-0.5974,4.838,False
MLP,lasso,2.2334,0.2079,-0.4844,4.9511,False
MLR,PLS,0.0266,1.0,-2.6911,2.7444,False
MLR,RF,-4.4781,0.0,-7.1959,-1.7604,True
MLR,XGB,-4.369,0.0,-7.0867,-1.6513,True
MLR,kNN,-0.0531,1.0,-2.7709,2.6646,False
MLR,lasso,0.0599,1.0,-2.6578,2.7777,False
PLS,RF,-4.5047,0.0,-7.2225,-1.787,True
PLS,XGB,-4.3956,0.0,-7.1134,-1.6779,True
PLS,kNN,-0.0798,1.0,-2.7975,2.638,False
PLS,lasso,0.0333,1.0,-2.6844,2.7511,False
RF,XGB,0.1091,1.0,-2.6086,2.8269,False
RF,kNN,4.425,0.0,1.7072,7.1427,True
RF,lasso,4.5381,0.0,1.8203,7.2558,True
XGB,kNN,4.3159,0.0,1.5981,7.0336,True
XGB,lasso,4.4289,0.0,1.7112,7.1467,True
kNN,lasso,0.1131,1.0,-2.6047,2.8308,False
