LGBM,RF,XGB,DT,MLR,kNN,PLS,lasso
0.008100750337335622,0.018069386390853703,0.016523954107207195,0.030505887483645855,0.15682012286650412,0.008031706502720837,0.16267950316114058,0.17567372176853854
0.03706671001309323,0.009092671014605709,0.028836121413055776,0.00019988370402676992,0.03186222661531486,0.030228754823035164,0.03575487289728596,0.019326787927396755
0.04633446265398296,0.008228747351403255,0.009904533624649048,0.019973833406018306,0.023026927678650715,0.008649296095163812,0.028249439264633858,0.006984321495169282
0.02634596697659418,0.01620022069384674,0.012658950586377199,0.010866405000726855,0.008063843188096928,0.007631412026767863,0.002368518299399769,0.013796060123559495
0.013001624922118368,0.011452609390899843,0.014914542436599731,0.0,0.033099456876592145,0.022091933762016118,0.04219193293352941,0.005227292974987391
0.07503437378943756,0.03421699069214595,0.049405780646461006,0.0305121176250701,0.03720457550221364,0.03783326287822178,0.04139849039007054,0.011982051210584349
0.0008352217756108419,0.002061901038349499,0.00259283185005188,0.0,0.05365233853266085,0.031044035209760092,0.04853526969864337,0.058576481562825855
0.02943786800604507,0.001958122882552919,0.005137979984283447,0.0,0.06334339971632451,0.1048581109819991,0.05739421789419098,0.06989614590456308
0.06804827824263167,0.01535809468430489,0.05276027321815491,0.0,0.02519999159277454,0.1590203790813256,0.035449915211709704,0.001954639069289721
0.0024607869200013203,0.010999140318320498,0.008990705013275146,0.0,0.014653964675952967,0.024048802282105725,0.020217202120484862,0.03758161945119187
0.04057613313892488,0.013333467611760255,0.0035012347751239847,0.05812721948788239,0.1394461793086145,0.0028227930455458905,0.141614583143608,0.11279891819889559
0.067986118929965,0.1053680735255826,0.1356765627861023,0.11778601540921645,0.014841750773761517,0.14838531060556587,0.00928743317998651,0.043167485718388326
0.055665588280449096,0.07421469768454667,0.036847054958343506,0.05026166593981684,0.016893610013115856,0.11336800925173945,0.020137860796894003,0.005969670845385411
