P_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Chol_DMG-PEG_ratio,Dlin-MC3+Helper lipid percentage,Dlin-MC3_Helper lipid_ratio
1,9.784,2,9,36,2,4,100,80,200
1,9.784,2,9,36,2,8,100,80,200
1,9.784,2,9,36,2,12,100,80,200
1,9.784,2,9,36,2,4,100,20,100
1,9.784,2,9,36,2,8,100,20,100
1,9.784,2,9,36,2,12,100,20,100
1,9.784,2,9,36,2,4,100,40,100
1,9.784,2,9,36,2,8,100,40,100
1,9.784,2,9,36,2,12,100,40,100
1,9.784,2,9,36,2,4,100,60,100
1,9.784,2,9,36,2,8,100,60,100
1,9.784,2,9,36,2,12,100,60,100
1,9.784,2,9,36,2,4,100,80,100
1,9.784,2,9,36,2,8,100,80,100
1,9.784,2,9,36,2,12,100,80,100
1,9.784,2,9,36,2,4,100,20,50
1,9.784,2,9,36,2,8,100,20,50
1,9.784,2,9,36,2,12,100,20,50
1,9.784,2,9,36,2,4,100,40,50
1,9.784,2,9,36,2,8,100,40,50
1,9.784,2,9,36,2,12,100,40,50
1,9.784,2,9,36,2,4,100,60,50
1,9.784,2,9,36,2,8,100,60,50
1,9.784,2,9,36,2,12,100,60,50
1,9.784,2,9,36,2,4,100,80,50
1,9.784,2,9,36,2,8,100,80,50
1,9.784,2,9,36,2,12,100,80,50
1,9.784,2,9,36,2,4,100,20,10
1,9.784,2,9,36,2,8,100,20,10
1,9.784,2,9,36,2,12,100,20,10
1,9.784,2,9,36,2,4,100,40,10
1,9.784,2,9,36,2,8,100,40,10
1,9.784,2,9,36,2,12,100,40,10
1,9.784,2,9,36,2,4,100,60,10
1,9.784,2,9,36,2,8,100,60,10
1,9.784,2,9,36,2,12,100,60,10
1,9.784,2,9,36,2,4,100,80,10
1,9.784,2,9,36,2,8,100,80,10
1,9.784,2,9,36,2,12,100,80,10
1,9.784,2,9,36,2,4,100,20,1
1,9.784,2,9,36,2,8,100,20,1
1,9.784,2,9,36,2,12,100,20,1
1,9.784,2,9,36,2,4,100,40,1
1,9.784,2,9,36,2,8,100,40,1
1,9.784,2,9,36,2,12,100,40,1
1,9.784,2,9,36,2,4,100,60,1
1,9.784,2,9,36,2,8,100,60,1
1,9.784,2,9,36,2,12,100,60,1
1,9.784,2,9,36,2,4,100,80,1
1,9.784,2,9,36,2,8,100,80,1
1,9.784,2,9,36,2,12,100,80,1
1,9.784,2,9,36,2,4,10,20,200
1,9.784,2,9,36,2,8,10,20,200
1,9.784,2,9,36,2,12,10,20,200
1,9.784,2,9,36,2,4,10,40,200
1,9.784,2,9,36,2,8,10,40,200
1,9.784,2,9,36,2,12,10,40,200
1,9.784,2,9,36,2,4,10,60,200
1,9.784,2,9,36,2,8,10,60,200
