Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Double_bonds,Size,PDI,Zeta,wt_Helper,wt_Dlin,wt_Chol,wt_DMG,wt_pDNA,RLU_N2a
38,18PG,0,1,9.3028,3,10,1,462.6666667,0.568333333,-3.45,3.218648844,25.86505602,68.39226067,0.887604718,1.636429741,4.673
39,18PG,0,1,9.3028,3,10,1,947.7666667,0.293,-0.677333333,3.236302115,26.00691767,68.76737058,0.892472949,1.096936693,3.97
40,18PG,0,1,9.3028,3,10,1,242.8,0.251,1.363333333,5.517382906,44.33767859,43.96405622,0.570571923,5.610310361,5.366
41,18PG,0,1,9.3028,3,10,1,182.1,0.263,-1.420666667,5.676620932,45.61731507,45.23290952,0.587039286,2.88611519,5.088
42,18PG,0,1,9.3028,3,10,1,252.6333333,0.273666667,-2.366666667,5.73176269,46.06043413,45.67229453,0.592741689,1.942766958,5.182
43,18PG,0,1,9.3028,3,10,1,242.8,0.252666667,-1.566666667,7.331238305,58.91381714,25.96327348,0.336955144,7.454715925,5.743
44,18PG,0,1,9.3028,3,10,1,202.9666667,0.257333333,-2.063333333,7.61507958,61.19476509,26.96848547,0.350000931,3.871668923,6.073
45,18PG,0,1,9.3028,3,10,1,142.2666667,0.268333333,-0.186,7.71464137,61.99484345,27.32107939,0.354576947,2.614858841,6.261
46,18PG,0,1,9.3028,3,10,1,154.0833333,0.3755,-22.66666667,8.77337423,70.50281871,11.65145155,0.151214235,8.921141269,5.591
47,18PG,0,1,9.3028,3,10,1,172.25,0.288833333,-0.437,9.182987891,73.79447332,12.19543767,0.158274166,4.668826959,5.849
48,18PG,0,1,9.3028,3,10,1,175.9333333,0.234333333,-2.24,9.328159771,74.96107427,12.38823272,0.160776288,3.16175696,6.913
49,18PG,0,1,9.3028,3,10,1,1859.333333,0.579,-19.73333333,17.18557707,13.81032648,66.39491083,0.86168282,1.747502805,2.0
50,18PG,0,1,9.3028,3,10,1,487.5,0.492333333,-3.413333333,17.33705987,13.93205803,66.98015084,0.869278151,0.881453112,2.0
51,18PG,0,1,9.3028,3,10,1,1049.966667,0.215333333,-2.423333333,17.38814933,13.97311351,67.17753031,0.87183977,0.589367073,2.0
52,18PG,0,1,9.3028,3,10,1,370.2333333,0.760333333,-25.56666667,29.64838622,23.82543755,42.95393933,0.557462479,3.014774418,2.0
53,18PG,0,1,9.3028,3,10,1,1164.833333,0.693666667,-15.7,30.10214206,24.19007566,43.61133095,0.565994203,1.530457124,2.0
54,18PG,0,1,9.3028,3,10,1,1153.333333,0.461,-4.87,30.25649629,24.31411469,43.83495602,0.568896442,1.025536548,3.258
55,18PG,0,1,9.3028,3,10,1,1720.666667,0.716333333,-28.26666667,39.10003905,31.42078398,25.17657293,0.326745229,3.975858807,2.0
56,18PG,0,1,9.3028,3,10,1,214.1666667,0.147333333,-17.83333333,39.89308543,32.0580759,25.68721666,0.333372438,2.028249573,2.197
57,18PG,0,1,9.3028,3,10,1,1034.266667,0.683333333,-5.81,40.16463175,32.27629047,25.86206574,0.335641655,1.361370378,2.0
58,18PG,0,1,9.3028,3,10,1,476.1166667,0.131333333,-6.776666667,46.51420513,37.37880644,11.23146203,0.14576355,4.729762849,2.0
59,18PG,0,1,9.3028,3,10,1,418.8333333,0.151833333,-5.44,47.64085485,38.28418195,11.50350632,0.14929418,2.4221627,2.0
60,18PG,0,1,9.3028,3,10,1,268.4333333,0.102,-4.47,48.02863206,38.59579963,11.59714019,0.150509374,1.627918747,2.0
61,18PG,0,1,9.3028,3,10,1,514.5666667,0.964,-1.836666667,0.168847699,27.13719583,65.039655,4.220470565,3.433830903,5.677
62,18PG,0,1,9.3028,3,10,1,209.0,0.518,-1.497333333,0.171797314,27.61125778,66.1758382,4.29419832,1.746908392,5.17
63,18PG,0,1,9.3028,3,10,1,296.5333333,0.349333333,-1.007333333,0.172803554,27.77298062,66.56343896,4.319350016,1.171426846,3.951
64,18PG,0,1,9.3028,3,10,1,75.20666667,0.609333333,-1.843333333,0.297726132,47.85053274,43.00622328,2.790705139,6.054812704,5.308
65,18PG,0,1,9.3028,3,10,1,210.5666667,0.548,-0.593366667,0.307020903,49.34438788,44.34884297,2.877828708,3.121919543,3.178
66,18PG,0,1,9.3028,3,10,1,184.1666667,0.46,-7.61,0.310249483,49.86328509,44.81520788,2.908091467,2.103166079,4.344
67,18PG,0,1,9.3028,3,10,1,133.6666667,0.504666667,-4.72,0.399325464,64.17957348,25.63650609,1.663571545,8.121023415,5.313
68,18PG,0,1,9.3028,3,10,1,145.6666667,0.482666667,-3.62,0.416226385,66.89588888,26.72153724,1.733980006,4.232367485,4.554
69,18PG,0,1,9.3028,3,10,1,164.5333333,0.325666667,-4.233333333,0.42218249,67.85315382,27.10391636,1.758792865,2.861954467,5.278
70,18PG,0,1,9.3028,3,10,1,415.6,0.144666667,-2.0,0.481477857,77.38310298,11.59149409,0.752180491,9.791744587,4.682
71,18PG,0,1,9.3028,3,10,1,420.6,0.213666667,-2.613333333,0.506263891,81.36671335,12.18821345,0.790902045,5.147907259,3.497
72,18PG,0,1,9.3028,3,10,1,725.6666667,0.112,-0.015666667,0.515102897,82.78731814,12.40101097,0.80471063,3.491857365,5.136
73,18PG,0,1,9.3028,3,10,1,613.1333333,0.699333333,-2.063333333,0.335970441,26.99857826,65.02935811,4.219802392,3.416290797,5.908
74,18PG,0,1,9.3028,3,10,1,187.7333333,0.447,-1.543333333,0.341809036,27.46776767,66.15945785,4.293135387,1.737830063,5.13
75,18PG,0,1,9.3028,3,10,1,99.15666667,0.669666667,-1.906666667,0.343800593,27.62780913,66.54493715,4.31814942,1.165303708,4.443
76,18PG,0,1,9.3028,3,10,1,118.2,0.441,-1.441,0.592339099,47.6003588,42.99421921,2.789926186,6.023156706,5.407
77,18PG,0,1,9.3028,3,10,1,170.9666667,0.641666667,-1.497333333,0.610731765,49.07839306,44.32922866,2.876555922,3.105090589,4.625
78,18PG,0,1,9.3028,3,10,1,215.6333333,0.624,-4.113333333,0.617119134,49.59168195,44.79284817,2.906640529,2.091710225,4.654
79,18PG,0,1,9.3028,3,10,1,182.2,0.565,-3.46,0.794399724,63.83794679,25.62690933,1.662948804,8.077795356,4.575
80,18PG,0,1,9.3028,3,10,1,207.7333333,0.412333333,-5.52,0.827835138,66.52481604,26.70551787,1.732940498,4.208890457,4.736
81,18PG,0,1,9.3028,3,10,1,348.7,0.722666667,-2.886666667,0.839614625,67.47141536,27.0855178,1.757598969,2.845853253,5.13
82,18PG,0,1,9.3028,3,10,1,379.2666667,0.080666667,-2.153333333,0.95775616,76.96526687,11.58626265,0.751841019,9.738873298,5.056
83,18PG,0,1,9.3028,3,10,1,430.7333333,0.114666667,-1.356666667,1.006780709,80.90487869,12.17932727,0.790325414,5.118687914,4.205
84,18PG,0,1,9.3028,3,10,1,255.0166667,0.3485,0.867666667,1.02425688,82.30926346,12.39074174,0.804044253,3.471693664,5.165
85,18PG,0,1,9.3028,3,10,1,738.2666667,0.887666667,-1.916666667,0.665145715,26.72554853,65.00907671,4.218486318,3.381742721,6.014
86,18PG,0,1,9.3028,3,10,1,190.2,0.453,-0.810333333,0.676585912,27.18521556,66.12720264,4.291042323,1.719953563,5.198
87,18PG,0,1,9.3028,3,10,1,210.8,0.686333333,-2.876666667,0.680487267,27.34197197,66.50850779,4.315785492,1.153247482,4.511
88,18PG,0,1,9.3028,3,10,1,263.4666667,0.627666667,-2.14,1.172418831,47.10777752,42.97058373,2.788392463,5.960827465,5.714
89,18PG,0,1,9.3028,3,10,1,162.0,0.536333333,-0.342,1.208435199,48.55491487,44.29062767,2.874051076,3.071971183,5.17
90,18PG,0,1,9.3028,3,10,1,203.3333333,0.343333333,-2.2,1.220937482,49.05725646,44.74885162,2.903785561,2.069168879,4.927
91,18PG,0,1,9.3028,3,10,1,194.0,0.484333333,-3.503333333,1.572063319,63.1654893,25.60801907,1.661723001,7.992705308,4.883
92,18PG,0,1,9.3028,3,10,1,235.7333333,0.341333333,-2.013333333,1.637503744,65.79488493,26.67400644,1.730895698,4.162709194,5.236
93,18PG,0,1,9.3028,3,10,1,183.1666667,0.295666667,-3.336666667,1.660544963,66.7206809,27.04933482,1.75525103,2.814188287,5.075
94,18PG,0,1,9.3028,3,10,1,264.4666667,0.139,-6.496666667,1.895047407,76.14298688,11.57596744,0.751172955,9.634825316,5.576
95,18PG,0,1,9.3028,3,10,1,410.2,0.146666667,0.9383,1.990960174,79.99676097,12.16185414,0.78919157,5.061233144,4.86
96,18PG,0,1,9.3028,3,10,1,363.8,0.148333333,0.4627,2.025125617,81.36952814,12.37055502,0.802734322,3.432056897,5.165
97,18PG,0,1,9.3028,3,10,1,457.7666667,0.88,-20.96666667,3.076808729,24.72522912,64.86048749,4.208844255,3.1286304,5.136
98,18PG,0,1,9.3028,3,10,1,170.4666667,0.436333333,-1.013333333,3.125704601,25.11815626,65.89123408,4.275730152,1.589174905,3.738
99,18PG,0,1,9.3028,3,10,1,205.1333333,0.81,-0.812553333,3.142350416,25.251922,66.24213521,4.298500381,1.065091995,3.466
100,18PG,0,1,9.3028,3,10,1,153.8666667,0.343666667,-1.636666667,5.41389837,43.50607706,42.79776366,2.777178043,5.505082869,5.389
101,18PG,0,1,9.3028,3,10,1,202.0333333,0.364666667,-0.022666667,5.567136098,44.73749515,44.00913329,2.8557847,2.830450764,4.043
102,18PG,0,1,9.3028,3,10,1,192.2666667,0.267,-3.43,5.620161398,45.16360636,44.42830708,2.882985192,1.904939972,4.111
103,18PG,0,1,9.3028,3,10,1,176.8,0.353333333,-13.4,7.249405125,58.25620587,25.47011053,1.652774016,7.371504457,5.82
104,18PG,0,1,9.3028,3,10,1,293.4666667,0.390666667,-1.985333333,7.526825255,60.48555351,26.44480035,1.716022348,3.826798541,5.635
105,18PG,0,1,9.3028,3,10,1,281.8333333,0.217333333,-3.243333333,7.624077956,61.26707603,26.78648867,1.738194752,2.584162593,3.135
106,18PG,0,1,9.3028,3,10,1,496.8666667,0.153666667,-1.304,8.729154122,70.14746601,11.50090162,0.746301879,8.876176376,6.109
107,18PG,0,1,9.3028,3,10,1,526.7333333,0.369,-0.888,9.134553669,73.405256,12.03502672,0.780961646,4.644201967,4.868
108,18PG,0,1,9.3028,3,10,1,501.1333333,0.277,-0.417666667,9.278186239,74.55948706,12.22426659,0.793241559,3.144818553,4.736
109,18PG,0,1,9.3028,3,10,1,237.7333333,0.221,-6.72,16.70339922,13.42284845,64.02091561,4.154363824,1.698472904,2.0
110,18PG,0,1,9.3028,3,10,1,154.0666667,0.200333333,-5.936666667,16.84646554,13.53781652,64.56926131,4.189946376,0.856510249,2.0
111,18PG,0,1,9.3028,3,10,1,185.1,0.109,-3.736666667,16.89470049,13.57657812,64.75413658,4.201943067,0.572641745,2.0
112,18PG,0,1,9.3028,3,10,1,196.1666667,0.203333333,-7.57,29.10484081,23.38864457,41.83247074,2.714539482,2.959504401,2.0
113,18PG,0,1,9.3028,3,10,1,298.0333333,0.1,-4.593333333,29.54198904,23.7399368,42.46078514,2.755311261,1.501977749,2.0
114,18PG,0,1,9.3028,3,10,1,189.2333333,0.111,-1.266666667,29.69063797,23.85939105,42.67443867,2.769175394,1.006356919,2.0
115,18PG,0,1,9.3028,3,10,1,241.5,0.106333333,-16.4,38.67667561,31.0805692,24.70670943,1.603236362,3.932809406,2.0
116,18PG,0,1,9.3028,3,10,1,249.8,0.209,-1.483333333,39.45247085,31.70399811,25.20228841,1.635394843,2.005847788,2.0
117,18PG,0,1,9.3028,3,10,1,346.5,0.061666667,-0.622,39.71803194,31.91740295,25.37192917,1.646402956,1.346232987,2.0
118,18PG,0,1,9.3028,3,10,1,364.1333333,0.201,-8.473333333,46.28817105,37.1971655,11.08835339,0.719531324,4.70677874,2.0
119,18PG,0,1,9.3028,3,10,1,812.3666667,0.132666667,-5.833333333,47.40376625,38.09365759,11.35559475,0.736872811,2.41010861,2.0
120,18PG,0,1,9.3028,3,10,1,409.6,0.290333333,-6.46,47.78767789,38.40216891,11.44756096,0.742840565,1.619751665,2.0
121,18PG,0,1,9.3028,3,10,1,113.3,0.238333333,-1.485333333,0.130677266,21.0024453,46.21807055,29.99124247,2.657564406,2.079
122,18PG,0,1,9.3028,3,10,1,179.0666667,0.428333333,-0.415666667,0.132437067,21.28528032,46.8404785,30.39512752,1.346676602,2.0
123,18PG,0,1,9.3028,3,10,1,1512.333333,0.599333333,-2.8,0.133034247,21.38125912,47.05168986,30.53218411,0.901832658,2.0
