,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Zeta,RLU_B16
87,0,1,1,4,50,40,100,-2.14,0.10756798077973134
88,0,1,1,8,50,40,100,-0.342,0.013650758982199418
89,0,1,1,12,50,40,100,-2.2,0.06421317025226603
90,0,1,1,4,50,60,100,-3.503333333,0.10756798077973134
91,0,1,1,8,50,60,100,-2.013333333,0.10756798077973134
92,0,1,1,12,50,60,100,-3.336666667,0.10756798077973134
93,0,1,1,4,50,80,100,-6.496666667,0.10756798077973134
94,0,1,1,8,50,80,100,0.9383,0.10756798077973134
95,0,1,1,12,50,80,100,0.4627,0.10756798077973134
96,0,1,1,4,10,20,100,-20.96666667,0.006989188598886115
97,0,1,1,8,10,20,100,-1.013333333,0.1618433984929562
98,0,1,1,12,10,20,100,-0.812553333,0.1336682319536966
99,0,1,1,4,10,40,100,-1.636666667,0.11750573331877251
100,0,1,1,8,10,40,100,-0.022666667,0.04182592552145897
101,0,1,1,12,10,40,100,-3.43,0.046630992683193206
102,0,1,1,4,10,60,100,-13.4,0.10756798077973134
103,0,1,1,8,10,60,100,-1.985333333,0.10756798077973134
104,0,1,1,12,10,60,100,-3.243333333,0.03145134869498745
105,0,1,1,4,10,80,100,-1.304,0.10756798077973134
106,0,1,1,8,10,80,100,-0.888,0.10756798077973134
107,0,1,1,12,10,80,100,-0.417666667,0.10756798077973134
108,0,1,1,4,1,20,100,-6.72,0.10756798077973134
109,0,1,1,8,1,20,100,-5.936666667,0.10756798077973134
110,0,1,1,12,1,20,100,-3.736666667,0.10756798077973134
111,0,1,1,4,1,40,100,-7.57,0.10756798077973134
112,0,1,1,8,1,40,100,-4.593333333,0.10756798077973134
113,0,1,1,12,1,40,100,-1.266666667,0.10756798077973134
114,0,1,1,4,1,60,100,-16.4,0.0
115,0,1,1,8,1,60,100,-1.483333333,0.10756798077973134
116,0,1,1,12,1,60,100,-0.622,0.10756798077973134
117,0,1,1,4,1,80,100,-8.473333333,0.10756798077973134
118,0,1,1,8,1,80,100,-5.833333333,0.10756798077973134
119,0,1,1,12,1,80,100,-6.46,0.10756798077973134
120,0,1,1,4,200,20,10,-1.485333333,0.10756798077973134
121,0,1,1,8,200,20,10,-0.415666667,0.10756798077973134
122,0,1,1,12,200,20,10,-2.8,0.0
123,0,1,1,4,200,40,10,-1.42,0.10756798077973134
124,0,1,1,8,200,40,10,-0.845333333,0.10756798077973134
125,0,1,1,12,200,40,10,-1.69,0.10756798077973134
126,0,1,1,4,200,60,10,-3.313333333,0.10756798077973134
127,0,1,1,8,200,60,10,-1.398,0.10756798077973134
128,0,1,1,12,200,60,10,-0.940666667,0.10756798077973134
129,0,1,1,4,200,80,10,8.696666667,0.10756798077973134
130,0,1,1,8,200,80,10,-0.939,0.10756798077973134
131,0,1,1,12,200,80,10,-0.976,0.10756798077973134
132,0,1,1,4,100,20,10,-1.733333333,0.10756798077973134
133,0,1,1,8,100,20,10,-1.54,0.10756798077973134
134,0,1,1,12,100,20,10,-1.195666667,0.10756798077973134
135,0,1,1,4,100,40,10,-1.7,0.10756798077973134
136,0,1,1,8,100,40,10,-0.988333333,0.10756798077973134
137,0,1,1,12,100,40,10,-2.643333333,0.10756798077973134
138,0,1,1,4,100,60,10,-0.603333333,0.10756798077973134
139,0,1,1,8,100,60,10,-0.511666667,0.10756798077973134
140,0,1,1,12,100,60,10,-1.116666667,0.10756798077973134
141,0,1,1,4,100,80,10,2.933333333,0.10756798077973134
142,0,1,1,8,100,80,10,0.520333333,0.10756798077973134
143,0,1,1,12,100,80,10,-2.67,0.10756798077973134
144,0,1,1,4,50,20,10,-1.596666667,0.10756798077973134
145,0,1,1,8,50,20,10,-1.566666667,0.10756798077973134
146,0,1,1,12,50,20,10,-2.373333333,0.10756798077973134
147,0,1,1,4,50,40,10,-1.247666667,0.10756798077973134
148,0,1,1,8,50,40,10,-1.014,0.10756798077973134
149,0,1,1,12,50,40,10,-3.99,0.10756798077973134
150,0,1,1,4,50,60,10,-10.79333333,0.10756798077973134
151,0,1,1,8,50,60,10,-1.503333333,0.10756798077973134
152,0,1,1,12,50,60,10,-1.180333333,0.10756798077973134
153,0,1,1,4,50,80,10,1.269666667,0.10756798077973134
154,0,1,1,8,50,80,10,-1.149666667,0.10756798077973134
155,0,1,1,12,50,80,10,-1.219666667,0.10756798077973134
156,0,1,1,4,10,20,10,-2.273333333,0.10756798077973134
157,0,1,1,8,10,20,10,-1.220666667,0.10756798077973134
158,0,1,1,12,10,20,10,-1.876666667,0.10756798077973134
159,0,1,1,4,10,40,10,-1.019766667,0.10756798077973134
160,0,1,1,8,10,40,10,-1.61,0.10756798077973134
161,0,1,1,12,10,40,10,-1.693333333,0.10756798077973134
162,0,1,1,4,10,60,10,-0.879,0.10756798077973134
163,0,1,1,8,10,60,10,-0.790333333,0.10756798077973134
164,0,1,1,12,10,60,10,-1.506666667,0.10756798077973134
165,0,1,1,4,10,80,10,0.606333333,0.10756798077973134
166,0,1,1,8,10,80,10,-1.317,0.10756798077973134
167,0,1,1,12,10,80,10,-0.951333333,0.10756798077973134
168,0,1,1,4,1,20,10,-3.106666667,0.10756798077973134
169,0,1,1,8,1,20,10,-31.73333333,0.10756798077973134
170,0,1,1,12,1,20,10,-2.386666667,0.10756798077973134
171,0,1,1,4,1,40,10,-1.746666667,0.10756798077973134
172,0,1,1,8,1,40,10,-1.683333333,0.10756798077973134
173,0,1,1,12,1,40,10,-1.856666667,0.10756798077973134
174,0,1,1,4,1,60,10,-1.74,0.10756798077973134
175,0,1,1,8,1,60,10,-1.833333333,0.10756798077973134
176,0,1,1,12,1,60,10,-1.422666667,0.10756798077973134
177,0,1,1,4,1,80,10,-1.713333333,0.10756798077973134
178,0,1,1,8,1,80,10,-2.203333333,0.10756798077973134
179,0,1,1,12,1,80,10,-1.184333333,0.10756798077973134
180,1,1,2,4,200,20,500,-7.436666667,0.05132685377306978
181,1,1,2,8,200,20,500,-3.523333333,0.05580430271923115
182,1,1,2,12,200,20,500,-3.396666667,0.19198427432565252
183,1,1,2,4,200,40,500,-4.23,0.10756798077973134
184,1,1,2,8,200,40,500,-1.803333333,0.03145134869498745
185,1,1,2,12,200,40,500,-2.356666667,0.06421317025226603
186,1,1,2,4,200,60,500,-5.31,0.10756798077973134
187,1,1,2,8,200,60,500,0.721666667,0.10756798077973134
188,1,1,2,12,200,60,500,-0.501666667,0.1042917986240035
189,1,1,2,4,200,80,500,-24.63333333,0.10756798077973134
190,1,1,2,8,200,80,500,-6.11,0.10756798077973134
191,1,1,2,12,200,80,500,-0.955,0.10756798077973134
192,1,1,2,4,100,20,500,-11.77666667,0.0
193,1,1,2,8,100,20,500,-3.553333333,0.019875505078082334
194,1,1,2,12,100,20,500,-1.593,0.019875505078082334
195,1,1,2,4,100,40,500,-3.686666667,0.10756798077973134
196,1,1,2,8,100,40,500,0.269333333,0.0
197,1,1,2,12,100,40,500,-2.24,0.15135961559462702
198,1,1,2,4,100,60,500,-3.663333333,0.10756798077973134
199,1,1,2,8,100,60,500,0.073,0.10756798077973134
200,1,1,2,12,100,60,500,-1.161666667,0.11750573331877251
201,1,1,2,4,100,80,500,-26.66666667,0.10756798077973134
202,1,1,2,8,100,80,500,-6.033333333,0.10756798077973134
203,1,1,2,12,100,80,500,-0.325333333,0.10756798077973134
204,1,1,2,4,50,20,500,-11.36666667,0.0
205,1,1,2,8,50,20,500,-4.096666667,0.05580430271923115
206,1,1,2,12,50,20,500,-3.116666667,0.046630992683193206
207,1,1,2,4,50,40,500,-0.756333333,0.10756798077973134
208,1,1,2,8,50,40,500,0.3774,0.025772632958392466
209,1,1,2,12,50,40,500,-3.04,0.10756798077973134
210,1,1,2,4,50,60,500,-2.12,0.10756798077973134
211,1,1,2,8,50,60,500,1.195666667,0.10756798077973134
212,1,1,2,12,50,60,500,0.16,0.019875505078082334
213,1,1,2,4,50,80,500,-29.4,0.10756798077973134
214,1,1,2,8,50,80,500,-10.41,0.10756798077973134
215,1,1,2,12,50,80,500,-0.4925,0.30981762585999784
216,1,1,2,4,10,20,500,-9.42,0.06421317025226603
217,1,1,2,8,10,20,500,-1.686666667,0.19067380146336138
218,1,1,2,12,10,20,500,-0.166206667,0.2817516653925958
219,1,1,2,4,10,40,500,-2.53,0.10756798077973134
220,1,1,2,8,10,40,500,2.476666667,0.16009610134323465
221,1,1,2,12,10,40,500,1.541666667,0.1956972807688107
222,1,1,2,4,10,60,500,-1.64,0.05580430271923115
223,1,1,2,8,10,60,500,2.77,0.07196680135415529
224,1,1,2,12,10,60,500,2.354,0.22802227803865893
225,1,1,2,4,10,80,500,-26.83333333,0.10756798077973134
226,1,1,2,8,10,80,500,5.42,0.1698154417385606
227,1,1,2,12,10,80,500,7.203333333,0.25139237741618436
228,1,1,2,4,1,20,500,2.916666667,0.1398929780495795
229,1,1,2,8,1,20,500,3.96,0.025772632958392466
230,1,1,2,12,1,20,500,5.006666667,0.06421317025226603
231,1,1,2,4,1,40,500,4.206666667,0.10756798077973134
232,1,1,2,8,1,40,500,4.25,0.18685158894834553
233,1,1,2,12,1,40,500,2.72,0.06421317025226603
234,1,1,2,4,1,60,500,4.343333333,0.06814458883913943
235,1,1,2,8,1,60,500,5.876666667,0.1956972807688107
236,1,1,2,12,1,60,500,6.29,0.23501146663754502
237,1,1,2,4,1,80,500,6.303333333,0.17724145462487711
238,1,1,2,8,1,80,500,11.93333333,0.346183247788577
239,1,1,2,12,1,80,500,8.72,0.40318881729824174
240,1,1,2,4,200,20,100,-4.186666667,0.14185868734301627
241,1,1,2,8,200,20,100,-2.646666667,0.11248225401332312
242,1,1,2,12,200,20,100,-2.373333333,0.16348148957082015
243,1,1,2,4,200,40,100,-1.616666667,0.019875505078082334
244,1,1,2,8,200,40,100,-1.976666667,0.16817735066069672
245,1,1,2,12,200,40,100,-2.136666667,0.262531396745659
246,1,1,2,4,200,60,100,-0.094333333,0.025772632958392466
247,1,1,2,8,200,60,100,-1.95,0.10756798077973134
248,1,1,2,12,200,60,100,-2.43,0.05132685377306978
249,1,1,2,4,200,80,100,-15.26666667,0.10756798077973134
250,1,1,2,8,200,80,100,-3.21,0.10756798077973134
251,1,1,2,12,200,80,100,-4.51,0.41782243092715954
252,1,1,2,4,100,20,100,-4.66,0.16009610134323465
253,1,1,2,8,100,20,100,-6.34,0.10145244075570597
254,1,1,2,12,100,20,100,-2.326666667,0.15496341596592772
255,1,1,2,4,100,40,100,-3.043333333,0.06421317025226603
256,1,1,2,8,100,40,100,-0.049066667,0.17571256961887083
257,1,1,2,12,100,40,100,-1.993333333,0.20268646936769685
258,1,1,2,4,100,60,100,-2.476666667,0.06421317025226603
259,1,1,2,8,100,60,100,1.32,0.03145134869498745
260,1,1,2,12,100,60,100,-1.426666667,0.2521568199191875
261,1,1,2,4,100,80,100,-15.93333333,0.10756798077973134
262,1,1,2,8,100,80,100,-3.53,0.10756798077973134
263,1,1,2,12,100,80,100,-3.316666667,0.32827345200393143
264,1,1,2,4,50,20,100,-3.213333333,0.1398929780495795
265,1,1,2,8,50,20,100,-2.766666667,0.07567980779731354
266,1,1,2,12,50,20,100,-1.060666667,0.09555531287539587
267,1,1,2,4,50,40,100,-3.176666667,0.1247133340613738
268,1,1,2,8,50,40,100,-1.57,0.2375232062902698
269,1,1,2,12,50,40,100,0.963666667,0.45113028284372614
270,1,1,2,4,50,60,100,-3.816666667,0.08277820246805723
271,1,1,2,8,50,60,100,0.242266667,0.16664846565469038
272,1,1,2,12,50,60,100,-1.88,0.3414873866987005
273,1,1,2,4,50,80,100,-15.9,0.09249754286338319
274,1,1,2,8,50,80,100,-5.523333333,0.046630992683193206
275,1,1,2,12,50,80,100,-2.94,0.42994430490335267
276,1,1,2,4,10,20,100,-5.373333333,0.17571256961887083
277,1,1,2,8,10,20,100,-2.173333333,0.14950311237304792
278,1,1,2,12,10,20,100,-0.284166667,0.19318554111608605
279,1,1,2,4,10,40,100,-0.60825,0.25499617778748496
280,1,1,2,8,10,40,100,-3.73,0.41727640056787163
281,1,1,2,12,10,40,100,0.813333333,0.5006006333952168
282,1,1,2,4,10,60,100,1.84,0.20039314185868734
283,1,1,2,8,10,60,100,-0.397333333,0.29278147865021287
284,1,1,2,12,10,60,100,-0.254666667,0.45528011357431475
285,1,1,2,4,10,80,100,-12.13333333,0.19067380146336138
