,P_charged_centers,N_charged_centers,cLogP,Hbond_D,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta
45,0,1,9.3028,3,4,10,80,500,154.0833333,0.3755,-22.66666667
46,0,1,9.3028,3,8,10,80,500,172.25,0.288833333,-0.437
47,0,1,9.3028,3,12,10,80,500,175.9333333,0.234333333,-2.24
48,0,1,9.3028,3,4,1,20,500,1859.333333,0.579,-19.73333333
49,0,1,9.3028,3,8,1,20,500,487.5,0.492333333,-3.413333333
50,0,1,9.3028,3,12,1,20,500,1049.966667,0.215333333,-2.423333333
53,0,1,9.3028,3,12,1,40,500,1153.333333,0.461,-4.87
57,0,1,9.3028,3,4,1,80,500,476.1166667,0.131333333,-6.776666667
58,0,1,9.3028,3,8,1,80,500,418.8333333,0.151833333,-5.44
59,0,1,9.3028,3,12,1,80,500,268.4333333,0.102,-4.47
61,0,1,9.3028,3,8,200,20,100,209.0,0.518,-1.497333333
62,0,1,9.3028,3,12,200,20,100,296.5333333,0.349333333,-1.007333333
64,0,1,9.3028,3,8,200,40,100,210.5666667,0.548,-0.593366667
65,0,1,9.3028,3,12,200,40,100,184.1666667,0.46,-7.61
66,0,1,9.3028,3,4,200,60,100,133.6666667,0.504666667,-4.72
67,0,1,9.3028,3,8,200,60,100,145.6666667,0.482666667,-3.62
68,0,1,9.3028,3,12,200,60,100,164.5333333,0.325666667,-4.233333333
69,0,1,9.3028,3,4,200,80,100,415.6,0.144666667,-2.0
70,0,1,9.3028,3,8,200,80,100,420.6,0.213666667,-2.613333333
71,0,1,9.3028,3,12,200,80,100,725.6666667,0.112,-0.015666667
73,0,1,9.3028,3,8,100,20,100,187.7333333,0.447,-1.543333333
75,0,1,9.3028,3,4,100,40,100,118.2,0.441,-1.441
78,0,1,9.3028,3,4,100,60,100,182.2,0.565,-3.46
79,0,1,9.3028,3,8,100,60,100,207.7333333,0.412333333,-5.52
81,0,1,9.3028,3,4,100,80,100,379.2666667,0.080666667,-2.153333333
82,0,1,9.3028,3,8,100,80,100,430.7333333,0.114666667,-1.356666667
83,0,1,9.3028,3,12,100,80,100,255.0166667,0.3485,0.867666667
85,0,1,9.3028,3,8,50,20,100,190.2,0.453,-0.810333333
88,0,1,9.3028,3,8,50,40,100,162.0,0.536333333,-0.342
89,0,1,9.3028,3,12,50,40,100,203.3333333,0.343333333,-2.2
90,0,1,9.3028,3,4,50,60,100,194.0,0.484333333,-3.503333333
91,0,1,9.3028,3,8,50,60,100,235.7333333,0.341333333,-2.013333333
92,0,1,9.3028,3,12,50,60,100,183.1666667,0.295666667,-3.336666667
94,0,1,9.3028,3,8,50,80,100,410.2,0.146666667,0.9383
95,0,1,9.3028,3,12,50,80,100,363.8,0.148333333,0.4627
97,0,1,9.3028,3,8,10,20,100,170.4666667,0.436333333,-1.013333333
99,0,1,9.3028,3,4,10,40,100,153.8666667,0.343666667,-1.636666667
100,0,1,9.3028,3,8,10,40,100,202.0333333,0.364666667,-0.022666667
101,0,1,9.3028,3,12,10,40,100,192.2666667,0.267,-3.43
102,0,1,9.3028,3,4,10,60,100,176.8,0.353333333,-13.4
103,0,1,9.3028,3,8,10,60,100,293.4666667,0.390666667,-1.985333333
104,0,1,9.3028,3,12,10,60,100,281.8333333,0.217333333,-3.243333333
105,0,1,9.3028,3,4,10,80,100,496.8666667,0.153666667,-1.304
106,0,1,9.3028,3,8,10,80,100,526.7333333,0.369,-0.888
107,0,1,9.3028,3,12,10,80,100,501.1333333,0.277,-0.417666667
108,0,1,9.3028,3,4,1,20,100,237.7333333,0.221,-6.72
109,0,1,9.3028,3,8,1,20,100,154.0666667,0.200333333,-5.936666667
110,0,1,9.3028,3,12,1,20,100,185.1,0.109,-3.736666667
111,0,1,9.3028,3,4,1,40,100,196.1666667,0.203333333,-7.57
112,0,1,9.3028,3,8,1,40,100,298.0333333,0.1,-4.593333333
113,0,1,9.3028,3,12,1,40,100,189.2333333,0.111,-1.266666667
114,0,1,9.3028,3,4,1,60,100,241.5,0.106333333,-16.4
115,0,1,9.3028,3,8,1,60,100,249.8,0.209,-1.483333333
116,0,1,9.3028,3,12,1,60,100,346.5,0.061666667,-0.622
117,0,1,9.3028,3,4,1,80,100,364.1333333,0.201,-8.473333333
118,0,1,9.3028,3,8,1,80,100,812.3666667,0.132666667,-5.833333333
119,0,1,9.3028,3,12,1,80,100,409.6,0.290333333,-6.46
120,0,1,9.3028,3,4,200,20,10,113.3,0.238333333,-1.485333333
121,0,1,9.3028,3,8,200,20,10,179.0666667,0.428333333,-0.415666667
122,0,1,9.3028,3,12,200,20,10,1512.333333,0.599333333,-2.8
123,0,1,9.3028,3,4,200,40,10,108.3166667,0.307333333,-1.42
124,0,1,9.3028,3,8,200,40,10,153.9,0.435666667,-0.845333333
125,0,1,9.3028,3,12,200,40,10,120.1,0.400666667,-1.69
126,0,1,9.3028,3,4,200,60,10,166.4,0.504,-3.313333333
127,0,1,9.3028,3,8,200,60,10,192.9,0.356666667,-1.398
128,0,1,9.3028,3,12,200,60,10,260.3666667,0.331,-0.940666667
129,0,1,9.3028,3,4,200,80,10,230.6333333,0.313333333,8.696666667
130,0,1,9.3028,3,8,200,80,10,237.4,0.258666667,-0.939
131,0,1,9.3028,3,12,200,80,10,208.8333333,0.286,-0.976
132,0,1,9.3028,3,4,100,20,10,129.5333333,0.231666667,-1.733333333
135,0,1,9.3028,3,4,100,40,10,181.4666667,0.334,-1.7
136,0,1,9.3028,3,8,100,40,10,144.4,0.396,-0.988333333
137,0,1,9.3028,3,12,100,40,10,123.8,0.366333333,-2.643333333
138,0,1,9.3028,3,4,100,60,10,253.1333333,0.477333333,-0.603333333
139,0,1,9.3028,3,8,100,60,10,212.9666667,0.330666667,-0.511666667
140,0,1,9.3028,3,12,100,60,10,219.6333333,0.313,-1.116666667
141,0,1,9.3028,3,4,100,80,10,243.4333333,0.302666667,2.933333333
142,0,1,9.3028,3,8,100,80,10,226.2666667,0.251333333,0.520333333
143,0,1,9.3028,3,12,100,80,10,262.2333333,0.095333333,-2.67
144,0,1,9.3028,3,4,50,20,10,135.9333333,0.257333333,-1.596666667
146,0,1,9.3028,3,12,50,20,10,1599.666667,0.223666667,-2.373333333
147,0,1,9.3028,3,4,50,40,10,113.75,0.3625,-1.247666667
148,0,1,9.3028,3,8,50,40,10,142.2666667,0.315,-1.014
149,0,1,9.3028,3,12,50,40,10,142.3333333,0.393333333,-3.99
150,0,1,9.3028,3,4,50,60,10,256.9666667,0.289333333,-10.79333333
151,0,1,9.3028,3,8,50,60,10,205.9333333,0.315,-1.503333333
152,0,1,9.3028,3,12,50,60,10,184.7,0.339666667,-1.180333333
153,0,1,9.3028,3,4,50,80,10,244.4333333,0.245,1.269666667
154,0,1,9.3028,3,8,50,80,10,247.3666667,0.241333333,-1.149666667
155,0,1,9.3028,3,12,50,80,10,250.6333333,0.152666667,-1.219666667
158,0,1,9.3028,3,12,10,20,10,1708.333333,0.6,-1.876666667
159,0,1,9.3028,3,4,10,40,10,111.6666667,0.341,-1.019766667
160,0,1,9.3028,3,8,10,40,10,148.1333333,0.512,-1.61
161,0,1,9.3028,3,12,10,40,10,118.0,0.328666667,-1.693333333
162,0,1,9.3028,3,4,10,60,10,233.5,0.391333333,-0.879
163,0,1,9.3028,3,8,10,60,10,264.6666667,0.407666667,-0.790333333
164,0,1,9.3028,3,12,10,60,10,220.9,0.306,-1.506666667
165,0,1,9.3028,3,4,10,80,10,256.1,0.264333333,0.606333333
166,0,1,9.3028,3,8,10,80,10,278.3,0.217333333,-1.317
167,0,1,9.3028,3,12,10,80,10,265.9,0.18,-0.951333333
169,0,1,9.3028,3,8,1,20,10,682.8333333,0.205,-31.73333333
170,0,1,9.3028,3,12,1,20,10,464.0,0.574666667,-2.386666667
171,0,1,9.3028,3,4,1,40,10,163.5666667,0.133666667,-1.746666667
172,0,1,9.3028,3,8,1,40,10,459.9666667,0.154666667,-1.683333333
173,0,1,9.3028,3,12,1,40,10,753.9666667,0.546333333,-1.856666667
174,0,1,9.3028,3,4,1,60,10,194.8666667,0.121,-1.74
176,0,1,9.3028,3,12,1,60,10,1021.5,0.392,-1.422666667
177,0,1,9.3028,3,4,1,80,10,201.0,0.139666667,-1.713333333
178,0,1,9.3028,3,8,1,80,10,456.4,0.434666667,-2.203333333
179,0,1,9.3028,3,12,1,80,10,398.5,0.280666667,-1.184333333
180,1,1,9.784,2,4,200,20,500,288.9666667,0.464333333,-7.436666667
181,1,1,9.784,2,8,200,20,500,533.7,0.403333333,-3.523333333
182,1,1,9.784,2,12,200,20,500,342.3333333,0.496333333,-3.396666667
183,1,1,9.784,2,4,200,40,500,237.1333333,0.211,-4.23
184,1,1,9.784,2,8,200,40,500,185.1333333,0.237333333,-1.803333333
186,1,1,9.784,2,4,200,60,500,206.6,0.246666667,-5.31
187,1,1,9.784,2,8,200,60,500,173.1333333,0.215,0.721666667
188,1,1,9.784,2,12,200,60,500,183.6666667,0.260333333,-0.501666667
189,1,1,9.784,2,4,200,80,500,166.6333333,0.219666667,-24.63333333
190,1,1,9.784,2,8,200,80,500,137.6333333,0.164666667,-6.11
191,1,1,9.784,2,12,200,80,500,158.8,0.225333333,-0.955
192,1,1,9.784,2,4,100,20,500,577.6666667,0.252,-11.77666667
193,1,1,9.784,2,8,100,20,500,562.7666667,0.344333333,-3.553333333
194,1,1,9.784,2,12,100,20,500,288.1666667,0.316,-1.593
195,1,1,9.784,2,4,100,40,500,240.3,0.260333333,-3.686666667
196,1,1,9.784,2,8,100,40,500,191.7333333,0.264,0.269333333
197,1,1,9.784,2,12,100,40,500,189.9666667,0.325666667,-2.24
198,1,1,9.784,2,4,100,60,500,192.8,0.182,-3.663333333
199,1,1,9.784,2,8,100,60,500,170.3,0.242,0.073
200,1,1,9.784,2,12,100,60,500,181.6333333,0.328333333,-1.161666667
201,1,1,9.784,2,4,100,80,500,172.9333333,0.206666667,-26.66666667
202,1,1,9.784,2,8,100,80,500,148.0,0.187666667,-6.033333333
203,1,1,9.784,2,12,100,80,500,162.5333333,0.193666667,-0.325333333
204,1,1,9.784,2,4,50,20,500,650.7333333,0.484666667,-11.36666667
206,1,1,9.784,2,12,50,20,500,475.3333333,0.162,-3.116666667
207,1,1,9.784,2,4,50,40,500,191.8,0.206,-0.756333333
208,1,1,9.784,2,8,50,40,500,170.0,0.294,0.3774
209,1,1,9.784,2,12,50,40,500,307.4666667,0.557666667,-3.04
