,RLU_ARPE19
0,0.17490196078431364
1,0.15823529411764703
2,0.0
3,0.0
4,0.008823529411764675
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.4896078431372548
13,0.4896078431372548
14,0.04294117647058815
15,0.2078431372549019
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.4798039215686274
23,0.5021568627450981
24,0.30470588235294116
25,0.383529411764706
26,0.3647058823529412
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.22098039215686271
34,0.10313725490196068
35,0.008823529411764675
36,0.0
37,0.008823529411764675
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.4117647058823528
53,0.14921568627450976
54,0.46019607843137256
55,0.11450980392156862
56,0.0
57,0.09745098039215683
58,0.0
59,0.0
60,0.0
61,0.0
62,0.4019607843137255
63,0.3280392156862745
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.4694117647058824
70,0.39803921568627454
71,0.0505882352941176
72,0.0505882352941176
73,0.04294117647058815
74,0.0
75,0.0
76,0.0
77,0.16254901960784318
78,0.22725490196078424
79,0.30470588235294116
80,0.2635294117647059
81,0.3280392156862745
82,0.3631372549019608
83,0.2362745098039215
84,0.3127450980392156
85,0.3849019607843137
86,0.35215686274509805
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.008823529411764675
108,0.0
109,0.0
110,0.22098039215686271
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.1939215686274509
117,0.12509803921568619
118,0.0
119,0.0
120,0.1350980392156862
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0505882352941176
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.08509803921568626
141,0.10313725490196068
142,0.19019607843137254
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.5035294117647058
153,0.6982352941176471
154,0.6635294117647059
155,0.38764705882352946
156,0.6284313725490196
157,0.4762745098039216
158,0.0505882352941176
159,0.422156862745098
160,0.0
161,0.0
162,0.0
163,0.6862745098039216
164,0.7239215686274509
165,0.7127450980392156
166,0.4278431372549021
167,0.49431372549019614
168,0.6270588235294119
169,0.24196078431372547
170,0.2078431372549019
171,0.4545098039215685
172,0.0
173,0.0
174,0.10313725490196068
175,0.7139215686274509
176,0.6454901960784314
177,0.2333333333333334
178,0.28294117647058814
179,0.26607843137254905
180,0.0
181,0.034901960784313624
182,0.2009803921568628
183,0.0
184,0.0
185,0.06509803921568624
186,0.2782352941176469
187,0.3127450980392156
188,0.38215686274509797
189,0.1974509803921568
190,0.2805882352941176
191,0.43313725490196076
192,0.09137254901960778
193,0.08509803921568626
194,0.1788235294117646
195,0.22098039215686271
196,0.3568627450980393
197,0.4847058823529413
198,0.9615686274509805
199,0.6898039215686274
200,0.5552941176470587
201,0.7672549019607844
202,0.5452941176470587
203,0.5262745098039217
204,0.2333333333333334
205,0.8135294117647058
206,0.8798039215686275
207,0.9584313725490197
208,0.8637254901960785
209,0.9441176470588237
210,0.894313725490196
211,0.6376470588235295
212,0.5815686274509804
213,0.8401960784313727
214,0.9478431372549019
215,0.8294117647058825
216,1.0
217,0.865294117647059
218,0.6737254901960785
219,0.35529411764705887
220,0.2919607843137254
221,0.43647058823529417
222,0.6931372549019608
223,0.4982352941176471
224,0.4629411764705882
225,0.5221568627450981
226,0.7666666666666668
227,0.3205882352941176
228,0.3205882352941176
229,0.4068627450980392
230,0.0
231,0.0
232,0.0
233,0.14470588235294113
234,0.18274509803921568
235,0.0
236,0.0
237,0.2635294117647059
238,0.1939215686274509
239,0.12509803921568619
240,0.0
241,0.07196078431372543
242,0.24196078431372547
243,0.0
244,0.4831372549019608
245,0.5974509803921568
246,0.44470588235294106
247,0.6752941176470588
248,0.773529411764706
249,0.7992156862745097
250,0.6311764705882354
251,0.493529411764706
252,0.7584313725490197
253,0.5790196078431373
254,0.5109803921568628
255,0.9547058823529413
256,0.7823529411764707
257,0.6262745098039215
258,0.6109803921568626
259,0.5713725490196078
260,0.6288235294117648
261,0.6429411764705883
262,0.44156862745098024
263,0.6594117647058824
264,0.7852941176470589
265,0.7258823529411764
266,0.6874509803921569
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.3147058823529413
297,0.0
298,0.04294117647058815
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.41294117647058814
306,0.0
307,0.4374509803921569
308,0.36764705882352944
309,0.52
310,0.33862745098039215
311,0.37784313725490193
312,0.4005882352941177
313,0.1198039215686274
314,0.3107843137254902
315,0.5101960784313726
316,0.0
317,0.0
318,0.0
319,0.0
320,0.6352941176470588
321,0.6319607843137256
322,0.0
323,0.25568627450980397
324,0.4780392156862745
325,0.15823529411764703
326,0.0
327,0.45058823529411773
328,0.2941176470588235
329,0.0
330,0.16254901960784318
331,0.1707843137254902
332,0.537843137254902
333,0.45843137254901967
334,0.22411764705882342
335,0.449607843137255
336,0.5109803921568628
337,0.2333333333333334
338,0.22725490196078424
339,0.17490196078431364
340,0.1537254901960784
341,0.04294117647058815
342,0.1198039215686274
343,0.2045098039215686
344,0.4176470588235295
345,0.30666666666666664
346,0.0
347,0.3662745098039216
348,0.33156862745098037
349,0.034901960784313624
350,0.4188235294117648
351,0.34039215686274504
352,0.34392156862745094
353,0.39431372549019605
354,0.34215686274509804
355,0.5707843137254902
356,0.3205882352941176
357,0.11450980392156862
358,0.5686274509803921
359,0.7198039215686276
360,0.22725490196078424
361,0.5529411764705883
362,0.6066666666666667
363,0.5207843137254902
364,0.41647058823529415
365,0.6235294117647059
366,0.6435294117647059
367,0.34215686274509804
368,0.0
369,0.0
370,0.8149019607843138
371,0.034901960784313624
372,0.766078431372549
373,0.6850980392156862
374,0.07862745098039203
375,0.06509803921568624
376,0.14470588235294113
377,0.4343137254901961
378,0.0
379,0.0505882352941176
380,0.716078431372549
381,0.672156862745098
382,0.3901960784313726
383,0.1198039215686274
384,0.6198039215686273
385,0.0505882352941176
386,0.1537254901960784
387,0.07196078431372543
388,0.34215686274509804
389,0.0
390,0.8664705882352941
391,0.8650980392156864
392,0.8776470588235294
393,0.7845098039215688
394,0.7678431372549022
395,0.1788235294117646
396,0.23921568627450973
397,0.05803921568627446
398,0.6833333333333333
399,0.10882352941176465
400,0.5145098039215685
401,0.5790196078431373
402,0.7566666666666666
403,0.42999999999999994
404,0.432156862745098
405,0.4611764705882353
406,0.0
407,0.43529411764705883
408,0.0
409,0.33156862745098037
410,0.0
411,0.8282352941176472
412,0.5864705882352941
413,0.7290196078431372
414,0.45352941176470574
415,0.48392156862745095
416,0.565294117647059
417,0.0
418,0.1301960784313725
419,0.0
420,0.0
421,0.0
422,0.0
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.06509803921568624
443,0.0
444,0.0
445,0.07862745098039203
446,0.0
447,0.026470588235294024
448,0.11450980392156862
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.6574509803921569
456,0.07862745098039203
457,0.2078431372549019
458,0.0
459,0.7329411764705884
460,0.0
461,0.2684313725490195
462,0.08509803921568626
463,0.0
464,0.5884313725490198
465,0.5403921568627452
466,0.756470588235294
467,0.645686274509804
468,0.5825490196078431
469,0.16666666666666663
470,0.5609803921568628
471,0.6613725490196078
472,0.09137254901960778
473,0.008823529411764675
