LGBM,XGB,RF,DT,MLP,kNN,lasso,PLS,MLR
0.022596030801358358,0.014816721780140152,0.022935794646320937,0.035411009095219645,0.03667210326415974,0.019493947317534278,0.001307525206055593,0.018617908975503555,0.03124818280556376
0.001338994981987649,0.0003108382225036621,0.0015395060131902245,1.293159187896048e-05,0.021446599087774527,0.03450496956455656,0.023843283338074728,0.002511957839132925,0.00947034088169455
0.09596825454770758,0.1968626081943512,0.1554513125565757,0.3301435406698565,0.17494427728541917,0.013475165605256427,0.09638389752442977,0.11277159278439117,0.11362836719652555
0.017067551937129225,0.0061644017696380615,0.00041607396870554795,7.389481073691703e-05,0.05735011909798985,0.042453148082061624,0.16104298772748038,0.14733733777113409,0.1482199621410598
0.08132699090332851,0.092744315894566,0.011834992887624574,0.11748351222035427,0.18253393714871935,0.0757927882225719,0.10028614014598802,0.08963645498834583,0.09001037763597014
0.05709761121955369,0.0914372538250014,0.08275119617224885,0.11899650847019273,0.042520577266809995,0.10870206054857443,0.01223045687136265,0.033633573569769926,0.03799113641992383
0.0019327746454543934,0.006885260343551636,0.0031588646062330273,0.002349239191344457,0.01130266129329776,0.05351212150269373,0.15724854404612343,0.12927571303578667,0.13144918191085983
0.024224502171488804,0.045044153928756714,0.025803051855683434,0.0035238587870166857,0.11957790204705604,0.029885491239154963,0.1154144962629916,0.13778577866801958,0.13634056929705185
0.1023849297212836,0.09204368656131445,0.011301241432820297,0.006853743695848902,0.1567582140201822,0.10047115412283147,0.1496808277907964,0.1323499245569154,0.13213605544496335
0.02672980265360535,0.017926692962646484,0.01563235484288116,4.31053062632016e-05,0.03639330477919781,0.2584662158221624,0.23497536244451844,0.24883779260959027,0.24141299891360063
0.016562040589033603,0.0242750346660614,0.0,0.0032070347859821566,0.025013524196385396,0.0312016127567101,0.06706777462743052,0.07201511559930934,0.06898478750682427
0.038328453558499176,0.12174651026725769,0.09708263287210649,0.0002586318375792096,0.15027229220529847,0.0,0.11917262933033357,0.14474636661835336,0.10116205342916995
0.08042532319732114,0.09569875929313382,0.05796780033622137,0.0004741583688952176,0.00041317972163743694,0.5951145990919766,0.26693703509727423,0.2802971024578843,0.2723601152888557
0.018181112923535837,0.010943591594696045,0.004055993792835899,0.00010345273503168385,0.08218159994000251,0.055560200071205976,0.06101839730653569,0.07860217993753624,0.07820054110602666
0.04107028902249952,0.042524589887800585,0.008903724298461119,0.04340704340704343,0.011580488124588596,0.1094990495345328,0.01930436404937927,0.008071137244397904,0.0038048906434299257
0.048875778007751766,0.10519275069236755,0.0985885167464115,0.013254881675934319,0.18698915454446594,0.06179446139311799,0.14634910278959545,0.14185574932963224,0.1434611607304236
0.011761146049110893,0.0029301345348358154,0.0,0.0023600155179102564,0.012320679846553557,0.0,0.04961959118081638,0.07053795370760406,0.06963672797050222
0.06690534219063865,0.07909784847854812,0.12637689124531232,0.0003879477563688005,0.034665873989909335,0.09428368570596524,0.14148394523650093,0.14995173798792566,0.13502256857870842
0.040095637216232625,0.041363790714153414,0.05608011121169015,0.04508815035130823,0.018925655909789237,0.057674899780162936,0.07254548805883443,0.08898407461785489,0.10608945186190048
0.027173566403225016,0.13349100947380066,0.12279548687443415,0.033298849088322785,0.04875253472766739,0.0,0.14665737839075554,0.17322652854633802,0.14618105676413912
