,Feature,Feature_Value,Avg_SHAP
0,NP_ratio,4.0,-0.006944759094498109
1,NP_ratio,8.0,0.004985128015266631
2,NP_ratio,12.0,0.0010042839997999316
3,Dlin-MC3_Helper lipid_ratio,200.0,-0.029602718344175064
4,Dlin-MC3_Helper lipid_ratio,100.0,-0.058873208515528144
5,Dlin-MC3_Helper lipid_ratio,50.0,-0.04084272208504984
6,Dlin-MC3_Helper lipid_ratio,10.0,2.4927683828923266e-05
7,Dlin-MC3_Helper lipid_ratio,1.0,0.10583039835726561
8,Dlin-MC3+Helper lipid percentage,20.0,0.07881525771173625
9,Dlin-MC3+Helper lipid percentage,40.0,0.046378304228275755
10,Dlin-MC3+Helper lipid percentage,60.0,-0.022110686256594986
11,Dlin-MC3+Helper lipid percentage,80.0,-0.0758042451294679
12,Chol_DMG-PEG_ratio,500.0,0.013296804475287598
13,Chol_DMG-PEG_ratio,100.0,0.09508050245995117
14,Chol_DMG-PEG_ratio,10.0,-0.15825946253134765
