,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,RLU_PC3
22,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,148.0,-6.033333333,1.386
23,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,162.5333333,-0.325333333,1.792
24,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,650.7333333,-11.36666667,4.344
25,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,403.2666667,-4.096666667,1.609
26,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,475.3333333,-3.116666667,1.099
27,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,191.8,-0.756333333,1.099
28,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,170.0,0.3774,1.609
29,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,307.4666667,-3.04,1.386
30,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,189.0333333,-2.12,0.693
31,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,155.4333333,1.195666667,1.609
32,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,256.8,0.16,1.099
33,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,202.3,-29.4,1.099
34,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,135.8666667,-10.41,0.693
35,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,163.5333333,-0.4925,1.946
36,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,431.8,-9.42,2.565
37,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,465.9333333,-1.686666667,2.079
38,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,599.5333333,-0.166206667,1.099
39,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,197.5666667,-2.53,1.609
