,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,Zeta,PDI,RLU_B16
135,136,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,40,10,181.4666667,0.334,0.0,3.0
136,137,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,40,10,144.4,0.396,0.0,3.0
137,138,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,40,10,123.8,0.366333333,0.0,3.0
138,139,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,60,10,253.1333333,0.477333333,0.0,3.0
139,140,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,60,10,212.9666667,0.330666667,0.0,3.0
140,141,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,60,10,219.6333333,0.313,0.0,3.0
141,142,18PG,0,1,9.3028,149.0,3,10,36,1,4,100,80,10,243.4333333,0.302666667,0.0,3.0
142,143,18PG,0,1,9.3028,149.0,3,10,36,1,8,100,80,10,226.2666667,0.251333333,0.0,3.0
143,144,18PG,0,1,9.3028,149.0,3,10,36,1,12,100,80,10,262.2333333,0.095333333,0.0,3.0
144,145,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,20,10,135.9333333,0.257333333,0.0,3.0
147,148,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,40,10,113.75,0.3625,0.0,3.0
148,149,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,40,10,142.2666667,0.315,0.0,3.0
149,150,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,40,10,142.3333333,0.393333333,0.0,3.0
150,151,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,60,10,256.9666667,0.289333333,0.0,3.0
151,152,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,60,10,205.9333333,0.315,0.0,3.0
152,153,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,60,10,184.7,0.339666667,0.0,3.0
153,154,18PG,0,1,9.3028,149.0,3,10,36,1,4,50,80,10,244.4333333,0.245,0.0,3.0
154,155,18PG,0,1,9.3028,149.0,3,10,36,1,8,50,80,10,247.3666667,0.241333333,0.0,3.0
155,156,18PG,0,1,9.3028,149.0,3,10,36,1,12,50,80,10,250.6333333,0.152666667,0.0,3.0
159,160,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,40,10,111.6666667,0.341,0.0,3.0
160,161,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,40,10,148.1333333,0.512,0.0,3.0
161,162,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,40,10,118.0,0.328666667,0.0,3.0
162,163,18PG,0,1,9.3028,149.0,3,10,36,1,4,10,60,10,233.5,0.391333333,0.0,3.0
163,164,18PG,0,1,9.3028,149.0,3,10,36,1,8,10,60,10,264.6666667,0.407666667,0.0,3.0
164,165,18PG,0,1,9.3028,149.0,3,10,36,1,12,10,60,10,220.9,0.306,0.0,3.0
