RF,XGB,LGBM,DT,kNN,lasso,PLS,MLR
0.024839455157637302,0.014991317905089396,0.010051012567462214,0.08815426997245185,0.046747622203432426,0.03972537193722625,0.05492902791362875,0.07420446433302125
0.044855449684995274,0.037195462238538535,0.027858854460882376,0.06521508794236064,0.08188316243616361,0.009623080816395457,0.03279019450738713,0.049908029117550545
0.09052969830139268,0.08806697074754122,0.05765485615492316,0.007469802924348401,0.0055014515277604925,0.11593462906717078,0.11808380392739593,0.14269686293563122
0.05265412743821868,0.034357712484310354,0.05425003361286246,0.021226248498975808,0.019002845038242955,0.05197273383886769,0.09663033161985979,0.10493445473569046
0.007180156964247786,0.010012488530384,0.02268421404583687,0.02037861128770213,0.04465435206765983,0.016450495050629288,0.05103919169062099,0.05788034697855332
0.017700933478826064,0.005299673977987418,0.00861674826811104,0.1531044712862895,0.00567970525205358,0.03405645680642294,0.018784079950344035,0.00500603940667349
0.050105381150835515,0.1063039847086183,0.0605765531223143,0.11531397895034257,0.08317367731617431,0.058192022702052204,0.0010282587425259893,0.0013310876297966123
0.042804804903290083,0.010702677918935477,0.04757317423787044,0.007275552730098167,0.053843496221596565,0.04842593510412535,0.08135324929396204,0.09922586345834478
0.02087514463650786,0.0004290221770150704,0.024416406238723543,0.04852723034541212,0.037282034511795625,0.006176355554276591,0.006762727991286188,0.02767081930498333
0.07976123749987407,0.07046842108997509,0.09955037459965743,0.040368722186904016,0.03278869796690598,0.07458800450542191,0.09307371614676763,0.1157379653998778
0.07081254435799939,0.03538412563021237,0.09410648307542518,0.023910433001342102,0.09263445899830408,0.05373993638771185,0.09820025532368126,0.10566495413647914
0.06530535415762673,0.09440615413223796,0.059559200679932256,0.10521296884933248,0.17541644442999507,0.35900372083896237,0.2973512455891375,0.31500166278778996
0.028144607917335217,0.04135886194671101,0.007741192413290202,0.02292152292152292,0.25066864343937545,0.40443539089669667,0.3913129535972084,0.3698840061465173
0.012189333113575396,0.008106125060419245,0.05896957230016303,0.04202867839231478,0.1627851808011544,0.2648356024030792,0.33132148093703756,0.30988313779501625
0.1900789947986919,0.20010750110332787,0.16692459233837392,0.14648230557321473,0.17805240954654306,0.006200614214229738,0.027862428488037716,0.03547821136265111
0.04384936808421641,0.04501616593563196,0.020429935114987197,0.039909585364130806,0.012023137841825016,0.08064075832904583,0.12091454078324188,0.12479159157939396
0.03916242904121703,0.06279479986809394,0.07748743231444166,0.09127993218902308,0.12832244941072868,0.15188041879364633,0.2055798661108645,0.2045413684944206
0.017924897352927682,0.026749437871841197,0.05184834903664076,0.0030726848908667614,0.025534469616127764,0.11889525031058884,0.13836969870621735,0.16204749782103017
0.004965265374356431,0.0025488483082266034,0.0014448118865504345,0.005439005439005384,0.09692906766548648,0.07528630655087426,0.08107460614023809,0.10833602963278444
0.08545759066971209,0.0329530257798778,0.14398710676708232,0.46747192201737664,0.11760960723598901,0.18555526999500227,0.21641317728264908,0.22851978192296896
0.10691404379214292,0.12661984592556164,0.0872554065753734,0.05735678462951188,0.13543652501107867,0.16746316800014555,0.18426060327782545,0.20843524023994506
0.03819756646271816,0.06039829033995908,0.037783540136019145,0.020820089001907127,0.06327835536303855,0.043716149305751795,0.05723812020558239,0.08123643951903287
0.08443065576398917,0.09233603178254879,0.14386072776953154,0.10621953803771989,0.08759745568220217,0.08422902946442934,0.08760472417945686,0.12094964775862246
0.10698149206930191,0.10506212823116623,0.08651430383610864,0.0766581902945539,0.09815295480810893,0.1026432921288874,0.08176533389532531,0.059543428563241435
0.016862800078709106,0.0033278772388380673,0.024600391435438435,0.045701772974500246,0.15705583218790306,0.1724790638852227,0.10525113690458623,0.124794885124378
0.03144216726034918,0.02943219254900531,0.056944994585442665,0.03390548845094302,0.08004938299510941,0.14670336131133999,0.12804149892232186,0.10437716797959601
