XGB,LGBM,RF,DT,kNN,PLS,MLR,lasso
0.0932447007004644,0.12119960818663494,0.058287996171473316,0.14964788732394366,0.12154725552964366,0.06303542835826528,0.06337172666280047,0.09793815834500982
0.05227616666068488,0.04283501152783484,0.028579867957746447,0.12612676056338032,0.169295814293236,0.08474538868609269,0.0848961855978638,0.1274142658563535
0.1015846607718669,0.10508569702049197,0.11326118404873631,0.23981220657276997,0.06933768637475413,0.25505862372985805,0.25433822682229756,0.23784327120177812
0.02298517180160739,0.024170194249256288,0.0199784263916834,0.05971830985915497,0.16972641171683514,0.06367483989612335,0.06370600511665567,0.12080264416066563
0.029598775346514117,0.05567220140760365,0.02743821749944142,0.08118309859154915,0.05305383950179271,0.16682926796439268,0.16664544771125844,0.12345338534997763
0.06826823538457841,0.042875255846327814,0.05680776464341611,0.07859154929577461,0.07187177828978022,0.10148913758380887,0.10185087846791482,0.14013327822983432
0.07349478424434927,0.04118190465430524,0.06116213824614347,0.0020422535211268023,0.0976414278327632,0.06864918936580997,0.06860713926614156,0.13179087819901808
0.08904264774121032,0.07053854439985907,0.0546336685390119,0.0424647887323944,0.11005286866317607,0.07238222598447694,0.0725133186851718,0.12493137641713445
0.09602103048646957,0.11698219129170398,0.1866982376201656,0.09483568075117374,0.13591270239845668,0.16098021761391965,0.16145586987647612,0.19306809124752658
0.0739050845361092,0.1292899410014152,0.12323958556896958,0.07619718309859158,0.3362107463204861,0.25690120296910357,0.257256421024853,0.2978418577658486
0.04757168115024832,0.03475478473583751,0.0633031287726358,0.0020422535211268023,0.3088909932222583,0.09145215033166706,0.09163279645901445,0.14657257364901058
0.026529107496772036,0.023607817950150305,0.004020789738430501,0.020760563380281677,0.10409621732995927,0.24386536714665039,0.24361636673188333,0.2911099202739451
0.01501721541646503,0.004108192944667251,0.012444431170355472,0.01046948356807513,0.3186203204376674,0.20784347182393156,0.2083106291773301,0.24140853762065193
0.028601218042239362,0.07916294726650608,0.057689071512407764,0.011173708920187764,0.29540880600227487,0.37064797765882473,0.3711191373794043,0.3161756914628723
0.06472531382466706,0.13616326802099976,0.10194718114241008,0.14431924882629105,0.08927462906128947,0.4095995078490099,0.40962388133556615,0.3648055663726043
0.23642490536394253,0.21130146719030593,0.21747932050637178,0.07596244131455399,0.3502092759271097,0.0817002884485539,0.08167589488092175,0.1320515771389783
0.07234625173286655,0.11879479538946167,0.13224943075117382,0.16447183098591553,0.16659260338405538,0.02273997967012839,0.022398594970260227,0.08338099815636116
0.06137566014074938,0.022969985952069533,0.009334324698188956,0.05714788732394363,0.23874215728744938,0.05544239746672297,0.05520817982752238,0.012990318014518415
0.043995187618363046,0.04924240140219738,0.05183055220210164,0.015718309859154983,0.07764577238615694,0.009243308689050933,0.009627515293664707,0.0413526873314011
0.18300998477868635,0.28866631766119333,0.22925550609210837,0.44725352112676064,0.07428783275009931,0.3516180779309207,0.35135023048901126,0.30790183397138843
0.12960836318177238,0.19340730291113514,0.1988044674994411,0.17230046948356809,0.26505048864501063,0.34554773712354137,0.3454229234615652,0.3031478726729432
0.08199917160289394,0.11135484925141423,0.05451622540800352,0.12191549295774656,0.07398411457892601,0.1372072349202273,0.13695433820288408,0.09822012283207665
