,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,Helper_MW,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_HepG2
61,62,18PG,0,1,9.3028,3,10,36,1,777.1,8,200,20,100,1.609
62,63,18PG,0,1,9.3028,3,10,36,1,777.1,12,200,20,100,2.303
63,64,18PG,0,1,9.3028,3,10,36,1,777.1,4,200,40,100,3.091
64,65,18PG,0,1,9.3028,3,10,36,1,777.1,8,200,40,100,4.234
65,66,18PG,0,1,9.3028,3,10,36,1,777.1,12,200,40,100,3.135
66,67,18PG,0,1,9.3028,3,10,36,1,777.1,4,200,60,100,4.167
67,68,18PG,0,1,9.3028,3,10,36,1,777.1,8,200,60,100,3.314
68,69,18PG,0,1,9.3028,3,10,36,1,777.1,12,200,60,100,3.57
69,70,18PG,0,1,9.3028,3,10,36,1,777.1,4,200,80,100,1.872
70,71,18PG,0,1,9.3028,3,10,36,1,777.1,8,200,80,100,2.485
71,72,18PG,0,1,9.3028,3,10,36,1,777.1,12,200,80,100,2.603
72,73,18PG,0,1,9.3028,3,10,36,1,777.1,4,100,20,100,1.946
73,74,18PG,0,1,9.3028,3,10,36,1,777.1,8,100,20,100,1.705
74,75,18PG,0,1,9.3028,3,10,36,1,777.1,12,100,20,100,1.946
75,76,18PG,0,1,9.3028,3,10,36,1,777.1,4,100,40,100,2.97
76,77,18PG,0,1,9.3028,3,10,36,1,777.1,8,100,40,100,3.114
77,78,18PG,0,1,9.3028,3,10,36,1,777.1,12,100,40,100,3.114
78,79,18PG,0,1,9.3028,3,10,36,1,777.1,4,100,60,100,2.708
79,80,18PG,0,1,9.3028,3,10,36,1,777.1,8,100,60,100,2.639
80,81,18PG,0,1,9.3028,3,10,36,1,777.1,12,100,60,100,3.45
81,82,18PG,0,1,9.3028,3,10,36,1,777.1,4,100,80,100,1.609
82,83,18PG,0,1,9.3028,3,10,36,1,777.1,8,100,80,100,1.872
83,84,18PG,0,1,9.3028,3,10,36,1,777.1,12,100,80,100,2.996
84,85,18PG,0,1,9.3028,3,10,36,1,777.1,4,50,20,100,1.705
85,86,18PG,0,1,9.3028,3,10,36,1,777.1,8,50,20,100,1.946
86,87,18PG,0,1,9.3028,3,10,36,1,777.1,12,50,20,100,1.253
87,88,18PG,0,1,9.3028,3,10,36,1,777.1,4,50,40,100,1.946
88,89,18PG,0,1,9.3028,3,10,36,1,777.1,8,50,40,100,1.705
89,90,18PG,0,1,9.3028,3,10,36,1,777.1,12,50,40,100,1.705
90,91,18PG,0,1,9.3028,3,10,36,1,777.1,4,50,60,100,3.512
91,92,18PG,0,1,9.3028,3,10,36,1,777.1,8,50,60,100,2.398
92,93,18PG,0,1,9.3028,3,10,36,1,777.1,12,50,60,100,2.079
93,94,18PG,0,1,9.3028,3,10,36,1,777.1,4,50,80,100,3.541
94,95,18PG,0,1,9.3028,3,10,36,1,777.1,8,50,80,100,2.079
95,96,18PG,0,1,9.3028,3,10,36,1,777.1,12,50,80,100,1.946
96,97,18PG,0,1,9.3028,3,10,36,1,777.1,4,10,20,100,2.351
97,98,18PG,0,1,9.3028,3,10,36,1,777.1,8,10,20,100,1.792
