,RLU_HepG2
0,0.041891331397760245
1,0.0
2,0.0020738282870178537
3,0.07811419881100512
4,0.1110189409650214
5,0.0
6,0.08834508502695976
7,0.12304714502972486
8,0.027236278169500916
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0347020600027651
14,0.0
15,0.0347020600027651
16,0.04852758191621731
17,0.010922162311627293
18,0.0
19,0.0
20,0.0347020600027651
21,0.019355730678833116
22,0.0
23,0.0
24,0.0
25,0.0
26,0.09318401769666801
27,0.15083644407576385
28,0.0
29,0.0347020600027651
30,0.0
31,0.0347020600027651
32,0.21899626710908338
33,0.22272915802571547
34,0.1110189409650214
35,0.0
36,0.0
37,0.11516659753905711
38,0.16576800774229222
39,0.10687128439098575
40,0.04852758191621731
41,0.09318401769666801
42,0.0
43,0.25425134798838656
44,0.21097746439928106
45,0.0020738282870178537
46,0.17392506567122906
47,0.0
48,0.0
49,0.0
50,0.0
51,0.11917599889395825
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.019355730678833116
61,0.0
62,0.041891331397760245
63,0.15083644407576385
64,0.30886215954652285
65,0.15691967371768278
66,0.29959905986450985
67,0.18166735794276234
68,0.21706069404120004
69,0.0
70,0.06705378128024331
71,0.08336789713811699
72,0.0
73,0.0
74,0.0
75,0.13410756256048667
76,0.15401631411585787
77,0.15401631411585787
78,0.09788469514724185
79,0.08834508502695976
80,0.20047006774505738
81,0.0
82,0.0
83,0.13770219825798424
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.20904189133139778
91,0.05502557721553991
92,0.010922162311627293
93,0.2130512926862989
94,0.010922162311627293
95,0.0
96,0.04852758191621731
97,0.0
98,0.0020738282870178537
99,0.04852758191621731
100,0.0347020600027651
101,0.2466473109359878
102,0.0611088068574589
103,0.041891331397760245
104,0.15691967371768278
105,0.0
106,0.11516659753905711
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.4251347988386561
115,0.0
116,0.0
117,0.0
118,0.0
