,RLU_HEK293
0,0.6610724519033977
1,0.5752148997134672
2,0.5714285714285714
3,0.6244371674171101
4,0.8286942284076955
5,0.6660867785509621
6,0.7026197298403603
7,0.7221653704461728
8,0.7968686041751945
9,0.7148997134670487
10,0.23362668849774876
11,0.4631600491199345
12,0.6918747441670077
13,0.6823577568563242
14,0.6124641833810889
15,0.6635284486287352
16,0.7130577159230453
17,0.7118297175603765
18,0.0
19,0.16680311092918543
20,0.7302496930004092
21,0.5949652067130577
22,0.5940442079410562
23,0.6481784690953745
24,0.6593327875562833
25,0.7615636512484649
26,0.013814981580024532
27,0.42365943512075316
28,0.686246418338109
29,0.7010847318870241
30,0.6280188293082276
31,0.5774662300450266
32,0.6092918542775276
33,0.8050552599263201
34,0.8179492427343431
35,0.8973598035202619
36,0.9164961113385182
37,0.09332787556283262
38,0.037556283258289025
39,0.09926320098239871
40,0.10847318870241507
41,0.1262791649611134
42,0.5292672943102743
43,0.8399508800654933
44,0.5542365943512075
45,0.7694433074089235
46,0.9536430618092511
47,0.4244781006958657
48,0.6211625051166598
49,0.7300450266066312
50,0.5709169054441261
51,0.31999590667212446
52,0.9809660253786328
53,0.7692386410151453
54,0.8262382316823578
55,0.8862054850593533
56,0.8837494883340156
57,0.9887433483422023
58,0.5456406058125256
59,0.5653909128121164
60,0.5577159230454358
61,0.6379451494064674
62,0.8211215718379041
63,0.6003888661481787
64,0.7202210397052804
65,0.260028653295129
66,0.7570609905853458
67,0.7824396234138355
68,0.07910356119525175
69,0.18706508391322152
70,0.0
71,0.018215309046254624
72,0.0
73,0.0
74,0.6077568563241915
75,0.1103151862464184
76,0.0
77,0.0
78,0.0
79,0.0
80,0.09926320098239871
81,0.15790012279983628
82,0.16219811706917725
83,0.4371674171101106
84,0.4689930413426116
85,0.47769136307818266
86,0.4010437986082685
87,0.17990176013098652
88,0.3708555055259926
89,0.07552189930413428
90,0.06794924273434305
91,0.14398280802292268
92,0.4143471142038478
93,0.27783462955382726
94,0.5839132214490381
95,0.614203847728203
96,0.3186655751125665
97,0.470937372083504
98,0.5973188702415064
99,0.12699549733933685
100,0.17539909946786741
101,0.37934916086778553
102,0.34128121162505115
103,0.35325419566107247
104,0.20814572247237
105,0.5875972165370447
106,0.5612975849365534
107,0.3466025378632828
108,0.4825010233319689
109,0.5291649611133851
110,0.1776504297994269
111,0.3190749079001229
112,0.2845886205485059
113,0.5945558739255015
114,0.4958043389275481
115,0.5116659844453542
116,0.6770364306180925
117,0.6940237413016783
118,0.1946377404830127
119,0.0691772410970119
120,0.2517396643471142
121,0.33810888252149
122,0.18123209169054444
123,0.042775276299631626
124,0.34424887433483425
125,0.09731887024150637
126,0.4506753990994679
127,0.0
128,0.406058125255833
129,0.08483422022103976
130,0.3418952108063857
131,0.7823372902169463
132,0.03213262382316828
133,0.28817028243962345
134,0.30505525992632015
135,0.5486082685223088
136,0.5967048710601719
137,0.5124846500204665
138,0.0
139,0.5110519852640196
140,0.7453950061399919
141,0.5266066311911586
142,0.3413835448219403
143,0.7992222677036431
144,0.14203847728203028
145,0.42007777322963574
146,0.5322349570200573
147,0.6717151043798608
148,0.0
149,0.5379656160458453
150,0.35130986492018007
151,0.33729021694637745
152,0.8185632419156774
153,0.0778755628325829
154,0.47175603765861657
155,0.8608268522308637
156,0.582480556692591
157,0.6755014326647566
158,0.13415882112157185
159,0.6503274662300451
160,0.6245395006139991
161,0.7514326647564469
162,0.8316618911174785
163,0.8305362259516986
164,0.30065493246009006
165,0.5446172738436348
166,0.8402578796561604
167,0.7480556692591076
168,0.7078387228817027
169,0.11614817846909536
170,0.8346295538272617
171,0.8061809250920999
172,0.9372697503069995
173,0.8444535407286125
174,0.9162914449447401
175,0.8557101923864101
176,0.885898485468686
177,0.7880679492427345
178,0.5451289398280803
179,0.5879042161277117
180,0.0
181,0.4779983626688498
182,0.6156365124846501
183,0.744167007777323
184,0.6519647973802702
185,0.7336266884977487
186,0.4640810478919362
187,0.5151453131395827
188,0.7610519852640196
189,0.5741915677445764
190,0.5883135489152682
191,0.5866762177650431
192,0.5399099467867376
193,0.5646745804338928
194,0.7476463364715513
195,0.6707941056078592
196,0.8073065902578795
197,0.4352230863692182
198,0.6567744576340564
199,0.765963978714695
200,0.518931641424478
201,0.6157388456815391
202,0.563548915268113
203,0.5322349570200573
204,0.7353663528448628
205,0.7139787146950471
206,0.7235980352026197
207,0.8246009005321326
208,0.4714490380679493
209,0.734138354482194
210,0.030290626279164956
211,0.7243143675808432
212,0.7616659844453539
213,0.7549119934506754
214,0.8462955382726156
215,0.8175399099467868
216,0.7596193205075727
217,0.7131600491199344
218,0.7943102742529677
219,0.7747646336471552
220,0.5913835448219402
221,0.7952312730249693
222,0.8251125665165779
223,0.8695251739664347
224,0.8855914858780187
225,0.8749488334015556
226,0.8409742120343839
227,0.8692181743757674
228,0.8306385591485879
229,0.7910356119525175
230,0.7769136307818256
231,0.7028243962341383
232,0.3920384772820304
233,0.5999795333606222
234,0.6255628325828899
235,0.5782848956201392
236,0.3637945149406468
237,0.547891936144085
238,0.7506139991813345
239,0.654625460499386
240,0.6341588211215718
241,0.624232501023332
242,0.6135898485468687
243,0.4832173557101925
244,0.5455382726156366
245,0.5897462136717151
246,0.07552189930413428
247,0.6035611952517397
248,0.6221858370855506
249,0.6213671715104379
250,0.4640810478919362
251,0.3399508800654933
252,0.6225951698731069
253,0.6712034383954155
254,0.4708350388866149
255,0.6944330740892344
256,0.6041751944330742
257,0.6243348342202211
258,0.42846909537453953
259,0.5688702415063447
260,0.7589029881293492
261,0.49959066721244366
262,0.5550552599263201
263,0.5975235366352845
264,0.6036635284486287
265,0.6061195251739664
266,0.5528039295947604
267,0.7335243553008595
268,0.7966639377814162
269,0.0
270,0.3019852640196479
271,0.061092918542775265
272,0.2680106426524765
273,0.2071223905034793
274,0.43041342611543193
275,0.21827670896438806
276,0.31999590667212446
277,0.5121776504297995
278,0.4119934506753991
279,0.22155137126483831
280,0.28817028243962345
281,0.20405239459680719
282,0.09332787556283262
283,0.3019852640196479
284,0.4371674171101106
285,0.2721039705280393
286,0.4128121162505117
287,0.18123209169054444
288,0.4025787965616046
289,0.5903602128530496
290,0.5321326238231683
291,0.16782644289807613
292,0.049222267703643074
293,0.1960704052394598
294,0.24989766680311093
295,0.09731887024150637
296,0.3350388866148179
297,0.3197912402783463
298,0.42857142857142855
299,0.33739255014326647
300,0.5124846500204665
301,0.10028653295128942
302,0.27773229635693825
303,0.22380270159639787
304,0.42498976668031113
305,0.49447400736799024
306,0.7012893982808022
307,0.7385386819484241
308,0.784588620548506
309,0.7176627097830537
310,0.7226770364306181
311,0.5303929594760541
312,0.632623823168236
313,0.6136921817437577
314,0.7874539500614
315,0.7267703643061809
316,0.7955382726156364
317,0.7764019647973803
318,0.737003683995088
319,0.8397462136717151
320,0.8144699140401146
321,0.31293491608677854
322,0.23772001637331158
323,0.33074089234547693
324,0.4446377404830127
325,0.47677036430618097
326,0.5064469914040115
327,0.7068153909128121
328,0.683688088415882
329,0.6482808022922637
330,0.6173761768317643
331,0.7705689725747031
332,0.25593532541956615
333,0.2988129349160868
334,0.38037249283667623
335,0.41905444126074504
336,0.524559967253377
337,0.5301882930822759
338,0.6080638559148588
339,0.7220630372492836
340,0.6266884977486697
341,0.7275890298812935
342,0.6628121162505118
343,0.3801678264428981
344,0.5369422840769547
345,0.5324396234138353
346,0.6732501023331969
347,0.7522513303315597
348,0.699242734343021
349,0.753069995906672
350,0.8789398280802292
351,0.6967867376176831
352,0.49263200982398697
353,0.5750102333196889
354,0.7104993860008186
355,0.6157388456815391
356,0.7001637331150226
357,0.6727384363487516
358,0.720937372083504
359,0.7355710192386411
360,0.6120548505935326
361,0.8210192386410151
362,0.6606631191158412
363,0.6560581252558331
364,0.752865329512894
365,0.7109087187883749
366,0.6493041342611545
367,0.7851002865329513
368,0.8086369218174374
369,0.06252558329922231
370,0.24212034383954156
371,0.22912402783462954
372,0.3483422022103971
373,0.5206713057715922
374,0.15462546049938602
375,0.4024764633647155
376,0.6719197707736391
377,0.2423250102333197
378,0.24140401146131812
379,0.37443716741711014
380,0.5758288988948015
381,0.2821326238231682
382,0.42754809660253784
383,0.5971142038477284
384,0.21643471142038478
385,0.26432664756446994
386,0.2959476054031928
387,0.424785100286533
388,0.5343839541547277
389,0.2527629963160049
390,0.43655341792877617
391,0.6268931641424478
392,0.0
393,0.4639787146950471
394,0.47717969709373725
395,0.6049938600081868
396,0.64869013507982
397,0.4014531313958249
398,0.5403192795742939
399,0.7307613589848547
400,0.4143471142038478
401,0.2492836676217765
402,0.4699140401146132
403,0.5757265656979125
404,0.6219811706917724
405,0.651555464592714
406,0.4570200573065903
407,0.6312934916086779
408,0.7760949652067131
409,0.24887433483422033
410,0.37996316004911995
411,0.2706713057715923
412,0.244269340974212
413,0.29124027834629557
414,0.049222267703643074
415,0.4224314367580843
416,0.4794310274252968
417,0.5351002865329513
418,0.2195047073270569
419,0.2823372902169465
420,0.5679492427343431
421,0.17396643471142043
422,0.27476463364715514
423,0.32736389684813755
424,0.10120753172329106
425,0.42263610315186245
426,0.33145722472370037
427,0.5198526401964798
428,0.0
429,0.3280802292263611
430,0.4715513712648383
431,0.33821121571837903
432,0.3087392550143267
