DT,XGB,LGBM,RF,MLP,kNN,PLS,MLR,lasso
0.029073956346683583,0.03249470529275372,0.00980956536509825,0.029586423677331664,0.05386737478438097,0.028770579856241485,0.04428332260397083,0.04525137727908629,0.009163217288435999
0.050407925407925464,0.13677722594575825,0.1642388142395429,0.12507169598078632,0.18286360731199297,0.16571364164987212,0.10983371943290965,0.11008584044246406,0.06802849116105963
0.2606272515363424,0.2320958984102781,0.22042215855609987,0.2695051917779198,0.2147510012974812,0.425963677542748,0.3239313144829164,0.32767672699564365,0.36087683949034444
0.1143250688705233,0.08357039175439773,0.07296352442327869,0.0741329377693023,0.11569941925866478,0.46311502822189204,0.1391425458495451,0.14116470580686613,0.176530678663949
0.028042664406300766,0.1218838422044301,0.09376513482636434,0.08265557674648655,0.05687658430192649,0.07122756835158767,0.022621633020894538,0.02399668117069559,0.027853152717632668
0.054434202161474904,0.05975108684643923,0.03281166311651561,0.04362294271385171,0.008464890541737241,0.1171974586225569,0.0598687862214356,0.05817620070186444,0.07248683575173523
0.0968425513880059,0.10638266708050576,0.09329391844169893,0.12254079254079225,0.11216381529284947,0.16143138959926173,0.07240180301373567,0.0739970322813697,0.12986622517004615
0.0071342798615526,0.009697481857237344,0.01529534306271918,0.020000353182171332,0.012478615741789545,0.035066864413223486,0.09553861867731506,0.09303553337333653,0.09893830442453061
0.034117397753761436,0.08627704541216868,0.12760561122152708,0.0772254008617651,0.022974420222378278,0.015130686224045953,0.10448962973016146,0.09950391794897512,0.048592639658015024
0.04002436956982425,0.056478352939761445,0.039071239483238096,0.04786324786324836,0.1698276896259533,0.46377484751502795,0.3130200314840176,0.31591293704059276,0.3623363659668226
0.011089920180829438,0.08460072691497689,0.12359904072083217,0.09602705375432585,0.13689873335951264,0.07424567394035397,0.13029266661020772,0.12780758925044405,0.11677810983797537
0.10590167408349227,0.08269962000882236,0.06633924590300655,0.10179663770573033,0.08794802015191439,0.1325236847914243,0.015092024211940336,0.016735670773061928,0.015376343099143708
0.07897859716041528,0.04608961465525957,0.03028505473659293,0.04920251465706155,0.06777542324975494,0.000998337112746439,0.0018380911976479952,0.005656250395726314,0.002530299289536575
