MAE,,,,,,,,
,HEK293,HepG2,N2a,ARPE19,B16,PC3,Average,Std
RF,0.0801,0.0658,0.0584,0.0922,0.0498,0.0652,0.0686,0.0153
MLR,0.1442,0.1255,0.1297,0.1783,0.0984,0.1151,0.1319,0.0274
lasso,0.1497,0.1260,0.1257,0.1827,0.1010,0.1148,0.1333,0.0290
PLS,0.1438,0.1260,0.1279,0.1783,0.0999,0.1148,0.1318,0.0271
kNN,0.1044,0.0806,0.0837,0.1056,0.0658,0.0770,0.0862,0.0158
LGBM,0.0781,0.0685,0.0594,0.0869,0.0485,0.0597,0.0669,0.0140
XGB,0.0783,0.0678,0.0501,0.0942,0.0457,0.0620,0.0664,0.0181
DT,0.0973,0.0714,0.0685,0.1087,0.0582,0.0715,0.0793,0.0194
,,,,,,,,
,,,,,,,,
Spearman,,,,,,,,
,HEK293,HepG2,N2a,ARPE19,B16,PC3,Average,Std
RF,0.863,0.802,0.880,0.858,0.909,0.735,0.841,0.063
MLR,0.383,0.378,0.561,0.352,0.670,0.592,0.489,0.135
lasso,0.322,0.373,0.578,0.495,0.665,0.589,0.504,0.133
PLS,0.447,0.382,0.588,0.352,0.665,0.524,0.493,0.122
kNN,0.715,0.683,0.814,0.811,0.841,0.669,0.756,0.075
LGBM,0.855,0.791,0.878,0.872,0.906,0.767,0.845,0.054
XGB,0.842,0.805,0.913,0.838,0.911,0.749,0.843,0.063
DT,0.789,0.709,0.832,0.812,0.863,0.612,0.770,0.093
,,,,,,,,
Pearsons,,,,,,,,
,HEK293,HepG2,N2a,ARPE19,B16,PC3,Average,Std
RF,0.851,0.886,0.881,0.863,0.924,0.899,0.884,0.026
MLR,0.367,0.487,0.496,0.384,0.674,0.645,0.509,0.128
lasso,0.295,0.490,0.511,0.478,0.673,0.647,0.516,0.136
PLS,0.417,0.487,0.513,0.384,0.676,0.665,0.523,0.123
kNN,0.706,0.831,0.802,0.783,0.859,0.860,0.807,0.058
LGBM,0.846,0.888,0.907,0.876,0.927,0.900,0.891,0.028
XGB,0.837,0.890,0.935,0.855,0.933,0.904,0.892,0.040
DT,0.778,0.844,0.874,0.802,0.891,0.824,0.835,0.043
