,Model,Cell_Type,Valid Score,Test Score,Spearmans Rank,Pearsons Correlation,Model Parms,Score_difference
0,DT,PC3,0.07194624222243534,0.07148636273883947,"SignificanceResult(statistic=0.6118710515502943, pvalue=1.415942175084916e-23)","PearsonRResult(statistic=0.8236426614763332, pvalue=1.271158786650098e-54)","{'splitter': 'best', 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': None, 'max_depth': None, 'criterion': 'poisson', 'ccp_alpha': 0}",0.00045987948359586805
1,DT,B16,0.059098656932992544,0.058173608889530985,"SignificanceResult(statistic=0.8629951140892999, pvalue=2.2026354754258215e-65)","PearsonRResult(statistic=0.891216625091742, pvalue=2.038123259691448e-75)","{'splitter': 'best', 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0}",0.0009250480434615585
2,DT,ARPE19,0.10930534773162526,0.10870566631164714,"SignificanceResult(statistic=0.8118215154855744, pvalue=5.428576894042275e-35)","PearsonRResult(statistic=0.802485103545502, pvalue=1.1841910230846431e-33)","{'splitter': 'best', 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None, 'criterion': 'poisson', 'ccp_alpha': 0}",0.0005996814199781125
3,DT,N2a,0.06221585915379206,0.06845580829675238,"SignificanceResult(statistic=0.8321129377532112, pvalue=3.5428416046906285e-38)","PearsonRResult(statistic=0.8738029892765318, pvalue=2.6337301086787533e-46)","{'splitter': 'best', 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None, 'criterion': 'squared_error', 'ccp_alpha': 0}",0.006239949142960319
4,DT,HepG2,0.0754661507737559,0.07144005947186641,"SignificanceResult(statistic=0.7094612786014695, pvalue=2.3020088610232894e-34)","PearsonRResult(statistic=0.8435782039296437, pvalue=1.0589722850262961e-59)","{'splitter': 'best', 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': None, 'criterion': 'poisson', 'ccp_alpha': 0}",0.004026091301889495
5,DT,HEK293,0.09365012475362766,0.09727755217091676,"SignificanceResult(statistic=0.7893165448141162, pvalue=3.1897054561031506e-47)","PearsonRResult(statistic=0.7780235675075587, pvalue=4.3861196130218494e-45)","{'splitter': 'best', 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 1.0, 'max_depth': None, 'criterion': 'poisson', 'ccp_alpha': 0}",0.0036274274172890947
6,XGB,PC3,0.06298826569881152,0.06203311768988901,"SignificanceResult(statistic=0.748692471506412, pvalue=4.494552545888411e-40)","PearsonRResult(statistic=0.9040784122776173, pvalue=5.900634197335301e-81)","{'subsample': 0.5, 'reg_lambda': 0.001, 'reg_alpha': 0.01, 'n_estimators': 400, 'min_child_weight': 2.0, 'max_depth': 9, 'max_delta_step': 10, 'learning_rate': 0.01, 'gamma': 0, 'booster': 'dart'}",0.0009551480089225114
7,XGB,B16,0.04537738282581646,0.045702286016262854,"SignificanceResult(statistic=0.9107187958122326, pvalue=3.9428309584981293e-84)","PearsonRResult(statistic=0.9328489607319882, pvalue=7.654826790645072e-97)","{'subsample': 0.6, 'reg_lambda': 0.1, 'reg_alpha': 0.1, 'n_estimators': 400, 'min_child_weight': 4.0, 'max_depth': 10, 'max_delta_step': 4, 'learning_rate': 0.05, 'gamma': 0, 'booster': 'dart'}",0.00032490319044639615
8,XGB,ARPE19,0.09253643212723524,0.09423181075265741,"SignificanceResult(statistic=0.8376455162857894, pvalue=4.038737792313351e-39)","PearsonRResult(statistic=0.8549661577033846, pvalue=2.5595205460077662e-42)","{'subsample': 0.8, 'reg_lambda': 0.001, 'reg_alpha': 0.1, 'n_estimators': 150, 'min_child_weight': 5.0, 'max_depth': 5, 'max_delta_step': 10, 'learning_rate': 0.3, 'gamma': 0, 'booster': 'gbtree'}",0.0016953786254221698
9,XGB,N2a,0.055663776462878005,0.050072516658448,"SignificanceResult(statistic=0.9126709330756562, pvalue=4.8178013058026096e-57)","PearsonRResult(statistic=0.9348787581252294, pvalue=9.562442929145197e-66)","{'subsample': 0.7, 'reg_lambda': 0.001, 'reg_alpha': 0.1, 'n_estimators': 300, 'min_child_weight': 1.0, 'max_depth': 10, 'max_delta_step': 8, 'learning_rate': 0.05, 'gamma': 0, 'booster': 'dart'}",0.005591259804430003
