,HEK293,HepG2,N2a,ARPE19,B16,PC3
RF,0.8633368431428351,0.8021343094056715,0.8801091593157357,0.8583233697763821,0.9091443728521501,0.7345139134451342
MLR,0.3828238844740897,0.3777533175731313,0.5609702921052835,0.3523307817250376,0.6697038244512863,0.591585185588079
lasso,0.321815958938319,0.37337890604039176,0.5784972167063192,0.49529750248275467,0.6648884067388672,0.5891032020920776
PLS,0.446550131476617,0.38151894388982854,0.588055025859636,0.3523307817250376,0.6650569885389819,0.5240914109450614
kNN,0.7151657394998084,0.6832490866781785,0.8141241164042508,0.8109043855300839,0.8409163994382102,0.6694213030217382
LGBM,0.8550460725715248,0.7905040916783226,0.8782437104576728,0.8717772372228985,0.9064947196828551,0.7669860514990771
XGB,0.8423047806342866,0.805129094943854,0.9126709330756562,0.8376455162857894,0.9107187958122326,0.748692471506412
DT,0.7893165448141162,0.7094612786014695,0.8321129377532112,0.8118215154855744,0.8629951140892999,0.6118710515502943
