,P_charged_centers,N_charged_centers,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Zeta
270,1,1,2,4,50,60,100,-3.816666667
271,1,1,2,8,50,60,100,0.242266667
272,1,1,2,12,50,60,100,-1.88
273,1,1,2,4,50,80,100,-15.9
274,1,1,2,8,50,80,100,-5.523333333
275,1,1,2,12,50,80,100,-2.94
276,1,1,2,4,10,20,100,-5.373333333
277,1,1,2,8,10,20,100,-2.173333333
278,1,1,2,12,10,20,100,-0.284166667
279,1,1,2,4,10,40,100,-0.60825
280,1,1,2,8,10,40,100,-3.73
281,1,1,2,12,10,40,100,0.813333333
282,1,1,2,4,10,60,100,1.84
283,1,1,2,8,10,60,100,-0.397333333
284,1,1,2,12,10,60,100,-0.254666667
285,1,1,2,4,10,80,100,-12.13333333
286,1,1,2,8,10,80,100,-6.06
287,1,1,2,12,10,80,100,-0.9158
288,1,1,2,4,1,20,100,-3.646666667
289,1,1,2,8,1,20,100,1.916666667
290,1,1,2,12,1,20,100,0.651
291,1,1,2,4,1,40,100,-1.32
292,1,1,2,8,1,40,100,2.876666667
293,1,1,2,12,1,40,100,-3.013333333
294,1,1,2,4,1,60,100,0.54
295,1,1,2,8,1,60,100,4.106666667
296,1,1,2,12,1,60,100,1.651
297,1,1,2,4,1,80,100,-0.074666667
298,1,1,2,8,1,80,100,-5.6
299,1,1,2,12,1,80,100,6.683333333
300,1,1,2,4,200,20,10,-9.106666667
301,1,1,2,8,200,20,10,-4.033333333
302,1,1,2,12,200,20,10,-5.893333333
303,1,1,2,4,200,40,10,-5.413333333
304,1,1,2,8,200,40,10,-1.593333333
305,1,1,2,12,200,40,10,-1.943333333
306,1,1,2,4,200,60,10,-3.223333333
307,1,1,2,8,200,60,10,-1.48
308,1,1,2,12,200,60,10,-2.086666667
309,1,1,2,4,200,80,10,-3.64
310,1,1,2,8,200,80,10,-33.9
311,1,1,2,12,200,80,10,-2.783333333
312,1,1,2,4,100,20,10,-6.903333333
313,1,1,2,8,100,20,10,-2.48
314,1,1,2,12,100,20,10,-1.81
315,1,1,2,4,100,40,10,-6.893333333
316,1,1,2,8,100,40,10,-3.68
317,1,1,2,12,100,40,10,-2.296666667
318,1,1,2,4,100,60,10,-3.093333333
319,1,1,2,8,100,60,10,-2.686666667
320,1,1,2,12,100,60,10,-1.29
321,1,1,2,4,100,80,10,-3.763333333
322,1,1,2,8,100,80,10,-36.3
323,1,1,2,12,100,80,10,-1.66
324,1,1,2,4,50,20,10,-8.986666667
325,1,1,2,8,50,20,10,-6.63
326,1,1,2,12,50,20,10,-6.54
327,1,1,2,4,50,40,10,-2.723333333
328,1,1,2,8,50,40,10,-2.203333333
329,1,1,2,12,50,40,10,-2.146666667
330,1,1,2,4,50,60,10,-2.57
331,1,1,2,8,50,60,10,-1.666333333
332,1,1,2,12,50,60,10,-2.12
333,1,1,2,4,50,80,10,-3.51
334,1,1,2,8,50,80,10,-36.66666667
335,1,1,2,12,50,80,10,-2.383333333
336,1,1,2,4,10,20,10,-9.563333333
337,1,1,2,8,10,20,10,-5.376666667
338,1,1,2,12,10,20,10,-7.476666667
339,1,1,2,4,10,40,10,-5.483333333
340,1,1,2,8,10,40,10,-2.596666667
341,1,1,2,12,10,40,10,-1.983333333
342,1,1,2,4,10,60,10,-3.656666667
343,1,1,2,8,10,60,10,-1.370333333
344,1,1,2,12,10,60,10,-2.37
345,1,1,2,4,10,80,10,-4.92
346,1,1,2,8,10,80,10,-31.9
347,1,1,2,12,10,80,10,-2.056666667
348,1,1,2,4,1,20,10,-8.333333333
349,1,1,2,8,1,20,10,-7.673333333
350,1,1,2,12,1,20,10,-9.613333333
351,1,1,2,4,1,40,10,-3.126666667
352,1,1,2,8,1,40,10,-1.383333333
353,1,1,2,12,1,40,10,-1.873333333
354,1,1,2,4,1,60,10,-2.37
355,1,1,2,8,1,60,10,-1.059
356,1,1,2,12,1,60,10,-1.533333333
357,1,1,2,4,1,80,10,-3.313333333
358,1,1,2,8,1,80,10,15.6
359,1,1,2,12,1,80,10,-1.012333333
360,1,0,2,4,200,20,500,5.9
361,1,0,2,8,200,20,500,5.12
362,1,0,2,12,200,20,500,9.113333333
363,1,0,2,4,200,40,500,12.9
364,1,0,2,8,200,40,500,1.866666667
365,1,0,2,12,200,40,500,6.673333333
366,1,0,2,4,200,60,500,16.2
367,1,0,2,8,200,60,500,13.33333333
368,1,0,2,12,200,60,500,15.63333333
369,1,0,2,4,200,80,500,-10.96666667
370,1,0,2,8,200,80,500,5.703333333
371,1,0,2,12,200,80,500,-30.56666667
372,1,0,2,4,100,20,500,1.823
373,1,0,2,8,100,20,500,7.926666667
374,1,0,2,12,100,20,500,2.883333333
375,1,0,2,4,100,40,500,12.1
376,1,0,2,8,100,40,500,4.013333333
377,1,0,2,12,100,40,500,2.956666667
378,1,0,2,4,100,60,500,22.76666667
379,1,0,2,8,100,60,500,9.33
380,1,0,2,12,100,60,500,19.53333333
381,1,0,2,4,100,80,500,7.633333333
382,1,0,2,8,100,80,500,7.98
383,1,0,2,12,100,80,500,-25.13333333
384,1,0,2,4,50,20,500,18.9
385,1,0,2,8,50,20,500,21.16666667
386,1,0,2,12,50,20,500,2.883333333
387,1,0,2,4,50,40,500,17.63333333
388,1,0,2,8,50,40,500,0.663333333
389,1,0,2,12,50,40,500,3.57
390,1,0,2,4,50,60,500,24.03333333
391,1,0,2,8,50,60,500,9.956666667
