,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,cTPSA,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,RLU_ARPE19
0,181,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,500,5.568
1,182,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,500,6.561
2,183,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,500,6.384
3,184,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,500,4.977
4,185,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,500,6.205
5,186,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,40,500,6.83
6,187,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,60,500,5.429
7,188,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,60,500,3.258
8,189,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,60,500,5.153
9,190,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,80,500,1.609
10,191,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,80,500,1.792
11,192,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,80,500,2.398
12,193,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,20,500,6.5
13,194,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,20,500,6.692
14,195,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,20,500,6.635
15,196,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,40,500,5.182
16,197,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,40,500,5.521
17,198,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,40,500,6.198
18,199,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,60,500,4.234
19,200,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,60,500,4.06
20,201,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,60,500,5.318
21,202,DOPE,1,1,9.784,134.0,2,9,36,2,4,100,80,500,2.833
22,203,DOPE,1,1,9.784,134.0,2,9,36,2,8,100,80,500,2.079
23,204,DOPE,1,1,9.784,134.0,2,9,36,2,12,100,80,500,3.526
24,205,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,20,500,6.641
25,206,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,20,500,4.949
26,207,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,20,500,6.292
27,208,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,40,500,4.19
28,209,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,40,500,4.443
29,210,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,40,500,4.357
30,211,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,60,500,2.639
31,212,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,60,500,3.178
32,213,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,60,500,4.025
33,214,DOPE,1,1,9.784,134.0,2,9,36,2,4,50,80,500,2.398
34,215,DOPE,1,1,9.784,134.0,2,9,36,2,8,50,80,500,2.079
35,216,DOPE,1,1,9.784,134.0,2,9,36,2,12,50,80,500,3.332
36,217,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,20,500,4.419
37,218,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,20,500,4.595
38,219,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,20,500,4.949
39,220,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,40,500,4.007
40,221,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,40,500,4.431
41,222,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,40,500,5.209
42,223,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,60,500,3.466
43,224,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,60,500,3.434
44,225,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,60,500,3.912
45,226,DOPE,1,1,9.784,134.0,2,9,36,2,4,10,80,500,4.127
46,227,DOPE,1,1,9.784,134.0,2,9,36,2,8,10,80,500,4.82
47,228,DOPE,1,1,9.784,134.0,2,9,36,2,12,10,80,500,5.472
48,229,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,20,500,7.904
49,230,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,20,500,6.518
50,231,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,20,500,5.832
51,232,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,40,500,6.913
52,233,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,40,500,5.781
53,234,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,40,500,5.684
54,235,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,60,500,4.19
55,236,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,60,500,7.149
56,237,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,60,500,7.487
57,238,DOPE,1,1,9.784,134.0,2,9,36,2,4,1,80,500,7.888
58,239,DOPE,1,1,9.784,134.0,2,9,36,2,8,1,80,500,7.405
59,240,DOPE,1,1,9.784,134.0,2,9,36,2,12,1,80,500,7.815
60,241,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,20,100,7.561
61,242,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,20,100,6.252
62,243,DOPE,1,1,9.784,134.0,2,9,36,2,12,200,20,100,5.966
63,244,DOPE,1,1,9.784,134.0,2,9,36,2,4,200,40,100,7.285
64,245,DOPE,1,1,9.784,134.0,2,9,36,2,8,200,40,100,7.834
