,XGB,RF,LGBM,DT,kNN,PLS,MLR,lasso
0,0.028183664700843325,0.005513497485902741,0.08176349334337224,0.05964865107107653,0.014569376524949385,0.2256858431769077,0.008805737372935662,0.029202318184074483
1,0.06858111466410077,0.03081195982022855,0.0038023923381724223,0.00930357623016942,0.018908078198576983,0.08394088997774507,0.0015171943888773742,0.03567024239954064
2,0.0009314534516063899,0.042986035619320795,0.10746505187103106,0.011535358967464382,0.10978110415226461,0.08528186466455523,0.055349936256193055,0.10774907142520829
3,0.14571579415316083,0.10780111074298884,0.1521120844061497,0.05522990051089005,0.14437804561908435,0.3304271222411388,0.2214790047179901,0.14449019876748864
4,0.08701176598816351,0.13897941451884893,0.026151494348513105,0.0024468943264318588,0.34632965851035213,0.19125127240844675,0.23067827022072596,0.24055111621620945
5,0.15311592410219133,0.09177511388517373,0.12011101623527062,0.04479698843775215,0.08462205479397894,0.18425048508494024,0.07854842825264735,0.004009738550828118
6,0.021533993390594364,0.019638162780573367,0.0371001899333885,0.004033342296316189,0.030016788094542435,0.0050362822190379575,0.0040361254885920295,0.06334855733409042
7,0.10710396832213287,0.015487262027469402,0.06972749722027954,0.014143586985748746,0.0,0.15046832195881682,0.04547937508007217,0.006020257566576592
8,0.15977807691194057,0.02870009539174637,0.019808340954510062,0.0,0.04983843555279132,0.17791207583859847,0.011972477926327545,0.04857639615614093
9,0.04797741819626866,0.047614795537288146,0.04682135031565851,0.053475396611992465,0.0975428347882989,0.08436469521980916,0.07745412657542008,0.13226913671241908
10,0.21208918553810346,0.13869456275048342,0.1838071756833618,0.013343640763646136,0.12512608771430134,0.27357314554133577,0.05469195108491981,0.13339057872467772
11,0.11621789701140739,0.013122982261830132,0.021109809852504123,0.0,0.11932724067618214,0.09352527992230492,0.028686538531497108,0.07753077527246952
12,0.07386125300833857,0.021650698419100584,0.020503569753934154,0.013343640763646136,0.059058609313098726,0.0913021771302858,0.028488443309501524,0.08078902065770771
13,0.040374464046637804,0.00862224068169886,0.0029092599697077733,0.003818230707179359,0.035946704723139634,0.08249125050043224,0.16776631040579035,0.2365357834986904
14,0.17075321476973648,0.02650221571920954,0.004758720460451854,0.0647485883301963,0.01115436577996714,0.15418314070333208,0.17643526540576807,0.24940840209009793
15,0.08440755307674408,0.035575122115791676,0.08845518263452772,0.0560903468674375,0.019759465963419605,0.12625344006720274,0.15377666674570803,0.24879843455236716
16,0.06546150892972946,0.16982723090244434,0.10546283448521708,0.00986824415165367,0.11329960942136914,0.10826570776695996,0.14383837364703098,0.2284992885242632
17,0.0379817858368407,0.11845367618343372,0.07844494858768614,0.0,0.09697811992269606,0.1141629133480851,0.11116725291641855,0.05667108429991874
