group1,group2,meandiff,p-adj,lower,upper,reject
DT,LGBM,-0.6911,1.0,-5.673,4.2907,False
DT,MLP,2.7009,0.7555,-2.281,7.6827,False
DT,MLR,4.7112,0.0807,-0.2707,9.693,False
DT,PLS,4.7153,0.0802,-0.2665,9.6971,False
DT,RF,-0.448,1.0,-5.4298,4.5339,False
DT,XGB,-0.7124,1.0,-5.6942,4.2694,False
DT,kNN,3.6885,0.342,-1.2933,8.6703,False
DT,lasso,4.7082,0.0812,-0.2737,9.69,False
LGBM,MLP,3.392,0.4624,-1.5898,8.3738,False
LGBM,MLR,5.4023,0.0221,0.4205,10.3841,True
LGBM,PLS,5.4064,0.0219,0.4246,10.3882,True
LGBM,RF,0.2432,1.0,-4.7387,5.225,False
LGBM,XGB,-0.0213,1.0,-5.0031,4.9606,False
LGBM,kNN,4.3796,0.1377,-0.6022,9.3615,False
LGBM,lasso,5.3993,0.0222,0.4175,10.3811,True
MLP,MLR,2.0103,0.9438,-2.9715,6.9921,False
MLP,PLS,2.0144,0.9432,-2.9674,6.9962,False
MLP,RF,-3.1488,0.5684,-8.1307,1.833,False
MLP,XGB,-3.4133,0.4533,-8.3951,1.5686,False
MLP,kNN,0.9876,0.9995,-3.9942,5.9695,False
MLP,lasso,2.0073,0.9443,-2.9745,6.9891,False
MLR,PLS,0.0041,1.0,-4.9777,4.986,False
MLR,RF,-5.1591,0.0358,-10.1409,-0.1773,True
MLR,XGB,-5.4235,0.0211,-10.4054,-0.4417,True
MLR,kNN,-1.0227,0.9994,-6.0045,3.9592,False
MLR,lasso,-0.003,1.0,-4.9848,4.9788,False
PLS,RF,-5.1632,0.0355,-10.1451,-0.1814,True
PLS,XGB,-5.4277,0.0209,-10.4095,-0.4458,True
PLS,kNN,-1.0268,0.9994,-6.0086,3.9551,False
PLS,lasso,-0.0071,1.0,-4.9889,4.9747,False
RF,XGB,-0.2644,1.0,-5.2463,4.7174,False
RF,kNN,4.1365,0.1958,-0.8454,9.1183,False
RF,lasso,5.1561,0.036,0.1743,10.138,True
XGB,kNN,4.4009,0.1333,-0.5809,9.3827,False
XGB,lasso,5.4206,0.0212,0.4387,10.4024,True
kNN,lasso,1.0197,0.9994,-3.9622,6.0015,False
