,Formula label,Helper_lipid,P_charged_centers,N_charged_centers,cLogP,Hbond_D,Hbond_A,Total_Carbon_Tails,Double_bonds,NP_ratio,Dlin-MC3_Helper lipid_ratio,Dlin-MC3+Helper lipid percentage,Chol_DMG-PEG_ratio,Size,PDI,Zeta,RLU_PC3
110,111,18PG,0,1,9.3028,3,10,36,1,12,1,20,100,185.1,0.109,-3.736666667,3.0
111,112,18PG,0,1,9.3028,3,10,36,1,4,1,40,100,196.1666667,0.203333333,-7.57,3.0
112,113,18PG,0,1,9.3028,3,10,36,1,8,1,40,100,298.0333333,0.1,-4.593333333,3.0
113,114,18PG,0,1,9.3028,3,10,36,1,12,1,40,100,189.2333333,0.111,-1.266666667,3.0
114,115,18PG,0,1,9.3028,3,10,36,1,4,1,60,100,241.5,0.106333333,-16.4,3.0
115,116,18PG,0,1,9.3028,3,10,36,1,8,1,60,100,249.8,0.209,-1.483333333,3.0
116,117,18PG,0,1,9.3028,3,10,36,1,12,1,60,100,346.5,0.061666667,-0.622,3.0
117,118,18PG,0,1,9.3028,3,10,36,1,4,1,80,100,364.1333333,0.201,-8.473333333,3.0
118,119,18PG,0,1,9.3028,3,10,36,1,8,1,80,100,812.3666667,0.132666667,-5.833333333,3.0
119,120,18PG,0,1,9.3028,3,10,36,1,12,1,80,100,409.6,0.290333333,-6.46,3.0
120,121,18PG,0,1,9.3028,3,10,36,1,4,200,20,10,113.3,0.238333333,-1.485333333,3.0
121,122,18PG,0,1,9.3028,3,10,36,1,8,200,20,10,179.0666667,0.428333333,-0.415666667,3.0
123,124,18PG,0,1,9.3028,3,10,36,1,4,200,40,10,108.3166667,0.307333333,-1.42,3.0
124,125,18PG,0,1,9.3028,3,10,36,1,8,200,40,10,153.9,0.435666667,-0.845333333,3.0
125,126,18PG,0,1,9.3028,3,10,36,1,12,200,40,10,120.1,0.400666667,-1.69,3.0
127,128,18PG,0,1,9.3028,3,10,36,1,8,200,60,10,192.9,0.356666667,-1.398,3.0
128,129,18PG,0,1,9.3028,3,10,36,1,12,200,60,10,260.3666667,0.331,-0.940666667,3.0
129,130,18PG,0,1,9.3028,3,10,36,1,4,200,80,10,230.6333333,0.313333333,8.696666667,3.0
130,131,18PG,0,1,9.3028,3,10,36,1,8,200,80,10,237.4,0.258666667,-0.939,3.0
131,132,18PG,0,1,9.3028,3,10,36,1,12,200,80,10,208.8333333,0.286,-0.976,3.0
132,133,18PG,0,1,9.3028,3,10,36,1,4,100,20,10,129.5333333,0.231666667,-1.733333333,3.0
135,136,18PG,0,1,9.3028,3,10,36,1,4,100,40,10,181.4666667,0.334,-1.7,3.0
136,137,18PG,0,1,9.3028,3,10,36,1,8,100,40,10,144.4,0.396,-0.988333333,3.0
137,138,18PG,0,1,9.3028,3,10,36,1,12,100,40,10,123.8,0.366333333,-2.643333333,3.0
139,140,18PG,0,1,9.3028,3,10,36,1,8,100,60,10,212.9666667,0.330666667,-0.511666667,3.0
140,141,18PG,0,1,9.3028,3,10,36,1,12,100,60,10,219.6333333,0.313,-1.116666667,3.0
141,142,18PG,0,1,9.3028,3,10,36,1,4,100,80,10,243.4333333,0.302666667,2.933333333,3.0
142,143,18PG,0,1,9.3028,3,10,36,1,8,100,80,10,226.2666667,0.251333333,0.520333333,3.0
143,144,18PG,0,1,9.3028,3,10,36,1,12,100,80,10,262.2333333,0.095333333,-2.67,3.0
144,145,18PG,0,1,9.3028,3,10,36,1,4,50,20,10,135.9333333,0.257333333,-1.596666667,3.0
146,147,18PG,0,1,9.3028,3,10,36,1,12,50,20,10,1599.666667,0.223666667,-2.373333333,3.0
147,148,18PG,0,1,9.3028,3,10,36,1,4,50,40,10,113.75,0.3625,-1.247666667,3.0
148,149,18PG,0,1,9.3028,3,10,36,1,8,50,40,10,142.2666667,0.315,-1.014,3.0
149,150,18PG,0,1,9.3028,3,10,36,1,12,50,40,10,142.3333333,0.393333333,-3.99,3.0
150,151,18PG,0,1,9.3028,3,10,36,1,4,50,60,10,256.9666667,0.289333333,-10.79333333,3.0
151,152,18PG,0,1,9.3028,3,10,36,1,8,50,60,10,205.9333333,0.315,-1.503333333,3.0
152,153,18PG,0,1,9.3028,3,10,36,1,12,50,60,10,184.7,0.339666667,-1.180333333,3.0
153,154,18PG,0,1,9.3028,3,10,36,1,4,50,80,10,244.4333333,0.245,1.269666667,3.0
154,155,18PG,0,1,9.3028,3,10,36,1,8,50,80,10,247.3666667,0.241333333,-1.149666667,3.0
155,156,18PG,0,1,9.3028,3,10,36,1,12,50,80,10,250.6333333,0.152666667,-1.219666667,3.0
159,160,18PG,0,1,9.3028,3,10,36,1,4,10,40,10,111.6666667,0.341,-1.019766667,3.0
161,162,18PG,0,1,9.3028,3,10,36,1,12,10,40,10,118.0,0.328666667,-1.693333333,3.0
162,163,18PG,0,1,9.3028,3,10,36,1,4,10,60,10,233.5,0.391333333,-0.879,3.0
163,164,18PG,0,1,9.3028,3,10,36,1,8,10,60,10,264.6666667,0.407666667,-0.790333333,3.0
164,165,18PG,0,1,9.3028,3,10,36,1,12,10,60,10,220.9,0.306,-1.506666667,3.0
165,166,18PG,0,1,9.3028,3,10,36,1,4,10,80,10,256.1,0.264333333,0.606333333,3.0
166,167,18PG,0,1,9.3028,3,10,36,1,8,10,80,10,278.3,0.217333333,-1.317,3.0
167,168,18PG,0,1,9.3028,3,10,36,1,12,10,80,10,265.9,0.18,-0.951333333,3.0
169,170,18PG,0,1,9.3028,3,10,36,1,8,1,20,10,682.8333333,0.205,-31.73333333,3.0
171,172,18PG,0,1,9.3028,3,10,36,1,4,1,40,10,163.5666667,0.133666667,-1.746666667,3.0
172,173,18PG,0,1,9.3028,3,10,36,1,8,1,40,10,459.9666667,0.154666667,-1.683333333,3.0
174,175,18PG,0,1,9.3028,3,10,36,1,4,1,60,10,194.8666667,0.121,-1.74,3.0
176,177,18PG,0,1,9.3028,3,10,36,1,12,1,60,10,1021.5,0.392,-1.422666667,3.0
177,178,18PG,0,1,9.3028,3,10,36,1,4,1,80,10,201.0,0.139666667,-1.713333333,3.0
178,179,18PG,0,1,9.3028,3,10,36,1,8,1,80,10,456.4,0.434666667,-2.203333333,3.0
179,180,18PG,0,1,9.3028,3,10,36,1,12,1,80,10,398.5,0.280666667,-1.184333333,3.0
181,182,DOPE,1,1,9.784,2,9,36,2,8,200,20,500,533.7,0.403333333,-3.523333333,3.0
183,184,DOPE,1,1,9.784,2,9,36,2,4,200,40,500,237.1333333,0.211,-4.23,3.0
184,185,DOPE,1,1,9.784,2,9,36,2,8,200,40,500,185.1333333,0.237333333,-1.803333333,3.0
186,187,DOPE,1,1,9.784,2,9,36,2,4,200,60,500,206.6,0.246666667,-5.31,3.0
187,188,DOPE,1,1,9.784,2,9,36,2,8,200,60,500,173.1333333,0.215,0.721666667,3.784
188,189,DOPE,1,1,9.784,2,9,36,2,12,200,60,500,183.6666667,0.260333333,-0.501666667,3.0
189,190,DOPE,1,1,9.784,2,9,36,2,4,200,80,500,166.6333333,0.219666667,-24.63333333,3.0
190,191,DOPE,1,1,9.784,2,9,36,2,8,200,80,500,137.6333333,0.164666667,-6.11,3.0
191,192,DOPE,1,1,9.784,2,9,36,2,12,200,80,500,158.8,0.225333333,-0.955,3.0
192,193,DOPE,1,1,9.784,2,9,36,2,4,100,20,500,577.6666667,0.252,-11.77666667,3.584
193,194,DOPE,1,1,9.784,2,9,36,2,8,100,20,500,562.7666667,0.344333333,-3.553333333,5.05
194,195,DOPE,1,1,9.784,2,9,36,2,12,100,20,500,288.1666667,0.316,-1.593,3.0
195,196,DOPE,1,1,9.784,2,9,36,2,4,100,40,500,240.3,0.260333333,-3.686666667,3.0
196,197,DOPE,1,1,9.784,2,9,36,2,8,100,40,500,191.7333333,0.264,0.269333333,3.0
197,198,DOPE,1,1,9.784,2,9,36,2,12,100,40,500,189.9666667,0.325666667,-2.24,3.0
198,199,DOPE,1,1,9.784,2,9,36,2,4,100,60,500,192.8,0.182,-3.663333333,3.0
199,200,DOPE,1,1,9.784,2,9,36,2,8,100,60,500,170.3,0.242,0.073,3.0
200,201,DOPE,1,1,9.784,2,9,36,2,12,100,60,500,181.6333333,0.328333333,-1.161666667,3.0
201,202,DOPE,1,1,9.784,2,9,36,2,4,100,80,500,172.9333333,0.206666667,-26.66666667,3.0
202,203,DOPE,1,1,9.784,2,9,36,2,8,100,80,500,148.0,0.187666667,-6.033333333,3.0
