,HepG2,PC3,HEK293,B16,N2a,ARPE19
HepG2,1.0,0.38854152209622617,0.554504513911466,0.5985062891580946,0.6007008959920226,0.35445179575886676
PC3,0.38854152209622617,1.0,0.3204219714731889,0.4157530109225724,0.36274922547677824,0.3266042541056888
HEK293,0.554504513911466,0.32042197147318885,1.0,0.7021590967695467,0.48420068798248955,0.39414542277626846
B16,0.5985062891580946,0.41575301092257233,0.7021590967695467,1.0,0.5197277795190186,0.4441846365820055
N2a,0.6007008959920226,0.36274922547677824,0.4842006879824896,0.5197277795190186,1.0,0.7597231968258081
ARPE19,0.35445179575886676,0.3266042541056887,0.3941454227762685,0.4441846365820055,0.759723196825808,1.0
