,HepG2,PC3,HEK293,B16,N2a,ARPE19
RF,0.7315350202354095,0.5488813487056715,0.7954602895908305,0.8643737542066883,0.8605794647214052,0.8062824257242613
MLR,0.4133655531026164,0.5208349644314656,0.44417268281713856,0.6605033258355517,0.5328459975202997,0.35612594795219443
lasso,0.42074863221037817,0.5953043980226712,0.4228869598982494,0.6594785239308096,0.5610378865030637,0.5388388304417213
PLS,0.5145617914060612,0.5171608648311115,0.49722772707577106,0.6969439579372071,0.522599152373135,0.35922545560080354
kNN,0.3887651727128804,0.344755719865321,0.4885962358387314,0.6674289073103854,0.7257130093084875,0.7251896770691149
LGBM,0.7272825046553409,0.6208670936786609,0.8043601415477387,0.862747550111036,0.8834497034265804,0.8445425322692014
XGB,0.71443271683938,0.6141383617769347,0.7764954123909779,0.8707027440156703,0.8623459988587583,0.8190274677348508
DT,0.5785640745387103,0.5924912901455067,0.6791181795029466,0.848036300411371,0.8792526318638036,0.770758481478263
