,HepG2,PC3,HEK293,B16,N2a,ARPE19
HepG2,1.0,-0.014856606681386036,-0.04897139692459672,0.05856477112129425,,
PC3,-0.014856606681386038,1.0,0.3479410079473487,0.35314884246232275,,
HEK293,-0.04897139692459671,0.34794100794734867,1.0,0.4318434158341474,,
B16,0.05856477112129424,0.35314884246232275,0.4318434158341474,1.0,,
N2a,,,,,1.0,
ARPE19,,,,,,1.0
