,HepG2,PC3,HEK293,B16,N2a,ARPE19
HepG2,1.0,-0.03651478839594872,0.6860875808532186,0.21460079340594512,0.40201107940399705,0.24840613906757353
PC3,-0.036514788395948725,1.0,-0.03145830609517169,0.21390829774055972,-0.003749499458902448,-0.00016708956680696647
HEK293,0.6860875808532187,-0.03145830609517169,1.0,0.22974239944615693,0.6303554418178617,0.35877899814940456
B16,0.21460079340594512,0.21390829774055972,0.22974239944615688,1.0,0.33588684532115165,0.5686265372288585
N2a,0.40201107940399705,-0.0037494994589024476,0.6303554418178617,0.33588684532115165,1.0,0.5082936933613443
ARPE19,0.24840613906757356,-0.00016708956680696647,0.35877899814940456,0.5686265372288586,0.5082936933613443,1.0
