,0,1,2,3,4,5,6,7,8,9
4,0.011298883962206699,0.0956162299080994,0.02316929587466863,0.012231214265817516,0.03196801460892072,0.03315834875263933,0.02495178420842306,0.03776056400842955,0.009752057811128673,0.015246924901296477
21,0.001446299012161843,0.0012308680995864025,0.0011498126027839888,0.001570916487906062,0.0014193675915283887,0.0016018009179052475,0.001222897586126724,0.0014726591150196003,0.0014757346916860585,0.001269753529561079
39,0.001969165736602439,0.0024829134757476893,0.0015508422357769214,0.0018250279930952997,0.0013334373512327333,0.0014638932755303325,0.002181461804426877,0.0014417269920994186,0.0015246442836509377,0.0022111131911907007
56,0.0030922706949575583,0.0038500481612514575,0.003270944202199299,0.003441390635747536,0.0033433629367708453,0.003178297895558028,0.0037040219337408633,0.0032593123617402054,0.0029260785268535525,0.00465719990437055
74,0.005044880878579662,0.005557777099207078,0.0049802614872133605,0.005482656179845098,0.0050300257953746165,0.0050816349964039696,0.005779730854299933,0.005776017668641782,0.005318917073135093,0.006379558502756693
92,0.008017579533557395,0.009127792529380568,0.007453915231226476,0.008204665914814101,0.006670333711277043,0.007267562319047745,0.007479920444646121,0.006806584781439177,0.007940297546237615,0.008977713026225038
109,0.011272291715044824,0.01066546850013186,0.01017910902204698,0.010723674041913385,0.009323883973227084,0.009620670512363209,0.010490957457427244,0.010519830538955267,0.010483543365741508,0.01199939028755136
127,0.014379021292688181,0.01587338201376324,0.013700556767053663,0.013225765101723925,0.011859296745621088,0.012311586748170057,0.01243367110902036,0.012654038572941062,0.014078923520793938,0.015312641467954377
144,0.01756749117902233,0.016831018610573588,0.015346824059142321,0.01507466952449255,0.015150044020803286,0.014576868601958323,0.014454449581073569,0.0148571295816118,0.015087190093181602,0.016639006381710647
162,0.019135824973418654,0.020458625875214277,0.020045392647181755,0.017377599795419616,0.0177476793175035,0.0178994643718805,0.017441038859106018,0.01813724892555335,0.01779770947509395,0.020684850573209002
179,0.02035844489295971,0.02272219161837514,0.021293014471370792,0.02143761983955254,0.01982620573455566,0.020822837648572578,0.020983806097578654,0.0212300861977159,0.019043807160382543,0.021141483764083462
197,0.02473069713689115,0.025379188030477083,0.02589311593524163,0.022298572896616353,0.024227966743536458,0.023599638576654657,0.022332955488690312,0.02236297734501731,0.021694149294555758,0.022259373354576072
214,0.02590839078344766,0.02561231758839762,0.02789398478829872,0.02474503250903376,0.025681874381042524,0.024904946433144348,0.02533566598781376,0.02393024991225318,0.024173589653147226,0.02547582072965928
232,0.027201552278703033,0.028643148727534658,0.03095185185454643,0.02640182602928341,0.027546878216991744,0.02756293256186021,0.02816766530933884,0.025529470762558737,0.02593073035743404,0.027483650498673833
249,0.030039674909279685,0.0306032649933763,0.03309214824096786,0.028211898382834284,0.028931410281470005,0.029462374943319585,0.029377961168090362,0.027814483663194056,0.028483141198493593,0.03064092134397684
267,0.0318973964271713,0.03225060333490219,0.032531497330921165,0.029826831105210533,0.029969667389943826,0.031015150937481823,0.03080031077882156,0.030550383117577285,0.030318102433796585,0.03219021921562784
285,0.03353300942182875,0.03396000636688803,0.03515617861713396,0.03212506388476943,0.03148006818781478,0.032990365128790375,0.03180922339753928,0.03245758455003106,0.03336914220189001,0.03391264604543319
302,0.034533800315470826,0.0349682772137812,0.0348375985046484,0.033304181240145024,0.033877863619790435,0.03244687397173215,0.033916324134928635,0.032763399697019864,0.03400323969417862,0.03488751133653421
320,0.03659002350555596,0.0366332979036043,0.038933447150630185,0.035751242390160934,0.03471316802928036,0.03488381350323759,0.03627172875342753,0.0349760971363364,0.03514908614821162,0.03777594918711472
337,0.038020538718548276,0.036685607630505254,0.039951825250648575,0.03585991810364652,0.03548390193986979,0.0367494478892433,0.038354684990507065,0.036555678126508166,0.037161498685987684,0.03826086145932146
355,0.03881038546941568,0.03888068147894826,0.03987071679576487,0.036535974385669606,0.03733187441897947,0.03842178669009397,0.038744478202368274,0.03900674725585298,0.038056295096420986,0.03900325989833581
372,0.039013415630559455,0.03946066734042976,0.04130648517573855,0.038698529823675,0.039014015281936654,0.03964843396519552,0.040011241673746104,0.039591235271656554,0.03989156848422712,0.04121411808408622
390,0.0413751976769248,0.041283246422430295,0.04235455253475019,0.03949020727828444,0.04089753257989576,0.04047031510523365,0.04118920711986198,0.04120089796494755,0.04145594961399713,0.04314665343596362
407,0.04207162605097259,0.043284041309600646,0.04499562628179269,0.04148286029558243,0.04137134184901733,0.04102343765053878,0.04269756590452699,0.04250817928866401,0.041843787303278424,0.04257856294311944
425,0.04313242915014738,0.04288883214291272,0.04544172927841933,0.04199142213687628,0.042977531284753324,0.04268952736718268,0.04388743887706328,0.04273107771593786,0.043959347253938685,0.044033110805159544
442,0.044289274785200394,0.04497263492482587,0.04636881044865321,0.04341707449785902,0.043333178861286584,0.0431577290979784,0.04376336088371695,0.04488575187430206,0.04609606799343992,0.044572777254110796
460,0.04415972534232637,0.045692668879625545,0.047519379368594516,0.04534356227174334,0.045878031260497665,0.04453408294951052,0.046400802646523596,0.04577533492881028,0.04649655112476347,0.04567799014598489
478,0.045727500162536565,0.04720307953570313,0.04890081889352181,0.04690808923360439,0.04620383376985377,0.045638582865450694,0.04679737701409841,0.0471196219790289,0.0482072384469792,0.04696831802740126
495,0.04656738141978049,0.04662172644417224,0.04980615379753088,0.047009250169205374,0.046419433571089797,0.04598553496521296,0.047802891120825794,0.04815139935597919,0.048698041972601726,0.04765093037547798
513,0.048096126491304535,0.0487694205537031,0.05102915691285984,0.047407718958847565,0.048949916565843396,0.047712404632717434,0.04847388389767442,0.04936617120078688,0.0501153130423166,0.048068959406803176
530,0.049497257848730894,0.04953877795868029,0.050931199459520494,0.04835444770618676,0.04884079645010714,0.04809234522679605,0.049880961780024075,0.05163964121961363,0.04995144098830702,0.049957775322611635
548,0.049611814969572024,0.049534928931204605,0.05195519013683729,0.05004823266199715,0.05006443135123508,0.049940591216069356,0.050559386183852695,0.05103712150809425,0.05134036589255127,0.050757268070248565
565,0.050143844556864436,0.05047487567331632,0.05247115059528855,0.050974780089537576,0.050677756266271454,0.05075307451277278,0.051976109012076735,0.051440620790908984,0.05211169638661848,0.052246923832063766
583,0.05135244850318923,0.05128234575488879,0.05262672119570805,0.051732251270573536,0.0521821482440191,0.05145622542651629,0.05190988145446325,0.05282596486398474,0.0526483457888967,0.05241133950030282
600,0.052518778598232105,0.05239312123510616,0.0527521578063051,0.052918450127610525,0.052050962172144666,0.05226015635120834,0.05336922251133138,0.05324119988466484,0.053037819668733985,0.05266314567479743
618,0.05215878204184614,0.05392429637857486,0.05423969708969774,0.053256660324728956,0.053990195216416056,0.051017952547598666,0.054037002215888565,0.05392951555330446,0.05446182210959514,0.054154790925352095
635,0.0528916762964585,0.05426548609277171,0.05443868322964155,0.055317950520225326,0.05422800374284807,0.05269961606442205,0.05411699562265772,0.054819934373827726,0.05415732776147253,0.053729204867312405
653,0.05463244301376759,0.05451090381420768,0.055620971972142906,0.05482814590758854,0.05464441321532128,0.05326946760814277,0.05518010894629768,0.05633660167007446,0.054971458474344904,0.05469541812474822
671,0.05474027619173118,0.05503280166537903,0.05617059598802937,0.05569557338051832,0.05560365881093075,0.0545198440666949,0.05640506076066386,0.05587411813815787,0.05559361068932099,0.055881383396434225
688,0.055125606959670316,0.055886637661418645,0.05596633974697969,0.05675242180274851,0.05575112547443123,0.05507038174048438,0.056866293854639885,0.05600220490260168,0.05652660624804269,0.055687491464218565
706,0.055564043533676534,0.055534307816321946,0.05676022852756805,0.05653726710305081,0.0565624749931954,0.05564683983849126,0.057425057832395654,0.0570428098108122,0.05639142488529838,0.05622684249510392
