,HEK293,HepG2,N2a,ARPE19,B16,PC3
RF,0.8017984962191678,0.7247020464544649,0.8384523756185533,0.8124645930586645,0.8555502827761441,0.6744699776843722
MLR,0.6611279040758843,0.38594683538170405,0.5407450556271167,0.3591713831966962,0.5879012405677199,0.6221542385672572
lasso,0.6732188306394356,0.3850132577316765,0.5687462940723381,0.35481518236007614,0.5760016791224348,0.6915293871983165
PLS,0.6616287806098271,0.391840044297503,0.5454259223237315,0.3591713831966962,0.5896020099960229,0.6283840446542788
kNN,0.5451336814879941,0.5376532035111818,0.7499672027056364,0.7857431653619166,0.7063106320031148,0.6205385110909006
LGBM,0.8165976505534568,0.7327521255913858,0.8023698202307453,0.8107509978748642,0.8444771992184503,0.7682963417080896
XGB,0.7747453392405087,0.7414922227507107,0.8670291225248659,0.819329870057261,0.8619746710005999,0.662384102843179
DT,0.6564389836726957,0.5686334746336968,0.843440789103298,0.7675435878283761,0.8047101070248354,0.6576904717106159
